,Country,Year,Total inland transport infrastructure investment,Rail infrastructure maintenance,Total inland passenger transport,Road passenger transport,Total inland freight transport in tonne-km per one thousand units of current USD GDP,Road motor vehicles per one million units of current USD GDP,CO2 emissions from transport in tonnes per one million units of current USD GDP,Road traffic in vehicle-km per one thousand units of current USD GDP,Density of road (km per one hundred sq. km),Share of household expenditure for purchase of vehicles in total household expenditure for transport,Total passengers - Number (1 000),Total of train movements - Train-km [IV-07] (1 000),Total Lines - Length operated at 31.12 (km),Total Tracks - Length operated at 31.12 (km),Total mopeds - Number at 31.12 (Unit),Total motorways - Length operated at 31.12 (km),Total oil pipeline transport - Tonnes (1 000),Total vehicle movements - Vehicle-km (millions),Total gas pipelines - length at 31.12 - km,Total Locomotives - Number at 31.12,Total pipelines operated - Length at 31.12 (km),Total goods - Tonnes (1 000),Total inland waterways - Length at 31.12 (km),Total railway enterprises - Number at 31.12,Total self-propelled vessels - Number at 31.12 (Units),Road casualties (injured + killed),Road injury accident,Road fatalities per one million inhabitant,Total injury accidents - Number at 31.12 (Unit),Killed - rate per population,Killed
0,Lithuania,2010,530000000.0,160000000.0,35290.0,34917.0,899.7,559.9,115.1,468.7,1.9,16.0,3795.0,14594.0,1768.0,2184.0,17276.0,309.0,14653.0,10014.0,1900.0,271.0,500.0,99.0,448.0,1.0,35.0,4529.0,3530.0,96.5,3530.0,9.5,299.0
1,Lithuania,2011,461000000.0,153000000.0,32697.0,32308.0,853.4,577.1,97.5,422.9,1.5,16.2,4127.0,15555.0,1768.0,2184.0,18775.0,309.0,14724.0,10149.0,1900.0,265.0,500.0,95.0,451.0,1.0,31.0,4215.0,3266.0,97.8,3266.0,9.7,296.0
2,Lithuania,2012,383000000.0,123000000.0,36981.0,36578.0,890.8,601.7,99.7,461.0,1.1,16.6,4251.0,14859.0,1768.0,2189.0,20644.0,309.0,14827.0,10196.0,1900.0,253.0,500.0,89.0,452.0,1.0,33.0,4253.0,3391.0,101.1,3391.0,10.0,301.0
3,Lithuania,2013,393000000.0,127000000.0,36237.0,35846.0,865.2,618.7,92.0,446.9,1.1,16.6,4346.0,14145.0,1768.0,2189.0,21169.0,309.0,14433.0,10344.0,2007.0,267.0,500.0,36.0,452.0,1.0,33.0,4263.0,3391.0,86.6,3391.0,8.7,258.0
4,Lithuania,2014,491000000.0,143000000.0,27411.0,27038.0,884.0,413.6,98.0,330.0,1.3,15.6,4126.0,14296.0,1768.0,2189.0,9789.0,309.0,13026.0,10859.0,2007.0,239.0,500.0,47.0,452.0,1.0,36.0,4014.0,3225.0,91.1,3225.0,9.1,267.0
5,Lithuania,2015,439000000.0,159000000.0,27683.0,27322.0,989.9,432.9,122.0,385.0,1.2,16.8,3790.0,14137.0,1877.0,2336.0,11102.0,309.0,13397.0,11134.0,2113.0,229.0,500.0,68.0,446.0,1.0,35.0,3836.0,3033.0,83.3,3033.0,8.2,239.0
6,Lithuania,2016,427000000.0,152000000.0,28611.0,28215.0,1049.3,455.8,126.3,400.2,1.1,19.8,3916.0,14462.0,1911.0,2336.0,10929.0,314.0,12930.0,11687.0,2113.0,230.0,500.0,52.0,485.0,1.0,35.0,3941.0,3201.0,66.9,3201.0,6.5,188.0
7,Lithuania,2017,394000000.0,151000000.0,34259.0,33835.0,1149.6,479.8,119.1,429.6,0.9,20.4,4176.0,15346.0,1911.0,2336.0,11018.0,324.0,13209.0,12136.0,2113.0,216.0,500.0,15.0,488.0,1.0,30.0,3752.0,3055.0,67.5,3055.0,6.7,191.0
8,Lithuania,2018,390000000.0,144000000.0,33170.0,32702.0,1131.8,515.0,112.6,399.8,0.9,20.9,4666.0,16294.0,1911.0,2335.0,11601.0,324.0,12326.0,12483.0,2113.0,216.0,500.0,13.0,493.0,1.0,27.0,3563.0,2925.0,61.8,2926.0,6.2,173.0
9,Lithuania,2019,438000000.0,147000000.0,33170.0,32702.0,1274.3,541.9,114.8,422.9,0.9,21.9,4127.0,14594.0,1768.0,2189.0,11601.0,309.0,13397.0,10859.0,2007.0,239.0,500.0,52.0,452.0,1.0,33.0,3955.0,3188.0,66.6,3225.0,6.7,186.0
10,Lithuania,2020,647000000.0,140000000.0,33170.0,32702.0,1277.0,563.0,113.69999999999999,422.9,1.3,22.6,4127.0,14594.0,1768.0,2189.0,11601.0,309.0,13397.0,10859.0,2007.0,239.0,500.0,52.0,452.0,1.0,33.0,3369.0,2817.0,63.0,3225.0,6.3,175.0
