,Country,Year,Total inland transport infrastructure investment,Rail infrastructure maintenance,Total inland passenger transport,Road passenger transport,Total inland freight transport in tonne-km per one thousand units of current USD GDP,Road motor vehicles per one million units of current USD GDP,CO2 emissions from transport in tonnes per one million units of current USD GDP,Road traffic in vehicle-km per one thousand units of current USD GDP,Density of road (km per one hundred sq. km),Share of household expenditure for purchase of vehicles in total household expenditure for transport,Total passengers - Number (1 000),Total of train movements - Train-km [IV-07] (1 000),Total Lines - Length operated at 31.12 (km),Total Tracks - Length operated at 31.12 (km),Total mopeds - Number at 31.12 (Unit),Total motorways - Length operated at 31.12 (km),Total oil pipeline transport - Tonnes (1 000),Total vehicle movements - Vehicle-km (millions),Total gas pipelines - length at 31.12 - km,Total Locomotives - Number at 31.12,Total pipelines operated - Length at 31.12 (km),Total goods - Tonnes (1 000),Total inland waterways - Length at 31.12 (km),Total railway enterprises - Number at 31.12,Total self-propelled vessels - Number at 31.12 (Units),Road casualties (injured + killed),Road injury accident,Road fatalities per one million inhabitant,Total injury accidents - Number at 31.12 (Unit),Killed - rate per population,Killed,NaNs_at_this_row
1,Czech Republic,2010,2340524791.0,669805763.0,80977.0,74386.0,324.5,423.4,79.4,222.5,1.5,32.3,164802.0,153792.0,9568.0,15666.0,478000.0,734.0,11205.0,46381.0,,2085.0,674.0,833.0,676.0,24.0,46.0,25186.0,19676.0,76.6,19676.0,7.7,802.0,6
20,Czech Republic,2011,1762359084.0,569721666.0,81471.0,74757.0,309.9,428.4,71.8,207.1,1.1,31.4,167932.0,153704.0,9572.0,15656.0,481000.0,745.0,10404.0,47541.0,,2076.0,674.0,911.0,676.0,28.0,44.0,26322.0,20487.0,73.6,20487.0,7.4,773.0,6
39,Czech Republic,2012,1275083712.0,570711610.0,80540.0,73275.0,322.9,435.9,77.3,224.4,0.8,30.0,172801.0,162821.0,9570.0,15636.0,481000.0,751.0,11392.0,46875.0,,2088.0,674.0,838.0,676.0,30.0,40.0,26257.0,20504.0,70.6,20504.0,7.1,742.0,6
58,Czech Republic,2013,989333210.0,513098756.0,81277.0,73676.0,334.5,447.6,75.6,222.8,0.6,30.4,174486.0,157003.0,9560.0,15607.0,479864.0,776.0,10266.0,47156.0,,1932.0,674.0,608.0,687.0,32.0,32.0,25942.0,20342.0,62.2,20342.0,6.2,654.0,6
77,Czech Republic,2014,1067809906.0,587126577.0,84067.0,76270.0,338.0,449.3,78.9,230.9,0.7,30.6,176050.0,155602.0,9559.0,15578.0,478771.0,776.0,12029.0,48335.0,,1895.0,674.0,802.0,687.0,34.0,33.0,27046.0,21054.0,65.4,21054.0,6.5,688.0,7
96,Czech Republic,2015,2065420561.0,684442001.0,87999.0,79701.0,404.3,458.3,92.1,270.9,1.2,35.1,176624.0,157416.0,9566.0,15570.0,485226.0,776.0,11040.0,50934.0,,1920.0,642.0,850.0,720.0,43.0,30.0,27704.0,21561.0,70.0,21561.0,7.0,735.0,6
115,Czech Republic,2016,1540500551.0,767272566.0,91355.0,82512.0,344.2,484.1,91.7,269.6,0.9,38.5,179172.0,160406.0,9564.0,15539.0,485045.0,1223.0,7356.0,52775.0,,2003.0,642.0,832.0,720.0,47.0,30.0,27692.0,21386.0,57.8,21386.0,5.8,611.0,6
134,Czech Republic,2017,1557020876.0,721269258.0,95002.0,85505.0,285.0,501.0,84.8,250.6,0.8,40.9,183024.0,163696.0,9567.0,15519.0,484957.0,1240.0,13453.0,54558.0,,2010.0,642.0,510.0,720.0,47.0,33.0,27656.0,21263.0,54.5,21263.0,5.5,577.0,6
153,Czech Republic,2018,1788590303.0,871462499.0,99207.0,88921.0,240.1,521.0,75.0,226.8,0.8,39.8,189536.0,169196.0,9572.0,15488.0,484691.0,1252.0,13839.0,56401.0,,1999.0,642.0,390.0,720.0,49.0,39.0,28336.0,21889.0,61.7,21889.0,6.2,658.0,6
171,Czech Republic,2019,2197017507.0,982477464.0,102657.0,91726.0,228.7,538.6,75.4,229.3,1.0,38.4,,,,,,,,,,,,,,,,26663.0,20806.0,57.9,,5.8,617.0,22
188,Czech Republic,2020,2819716127.0,883823780.0,81045.0,74380.0,299.9,553.8,,213.5,1.3,42.3,,,,,,,,,,,,,,,,23205.0,18419.0,48.4,,4.8,517.0,23
