,Country,Year,Total inland transport infrastructure investment,Rail infrastructure maintenance,Total inland passenger transport,Road passenger transport,Total inland freight transport in tonne-km per one thousand units of current USD GDP,Road motor vehicles per one million units of current USD GDP,CO2 emissions from transport in tonnes per one million units of current USD GDP,Road traffic in vehicle-km per one thousand units of current USD GDP,Density of road (km per one hundred sq. km),Share of household expenditure for purchase of vehicles in total household expenditure for transport,Total passengers - Number (1 000),Total of train movements - Train-km [IV-07] (1 000),Total Lines - Length operated at 31.12 (km),Total Tracks - Length operated at 31.12 (km),Total mopeds - Number at 31.12 (Unit),Total motorways - Length operated at 31.12 (km),Total oil pipeline transport - Tonnes (1 000),Total vehicle movements - Vehicle-km (millions),Total gas pipelines - length at 31.12 - km,Total Locomotives - Number at 31.12,Total pipelines operated - Length at 31.12 (km),Total goods - Tonnes (1 000),Total inland waterways - Length at 31.12 (km),Total railway enterprises - Number at 31.12,Total self-propelled vessels - Number at 31.12 (Units),Road casualties (injured + killed),Road injury accident,Road fatalities per one million inhabitant,Total injury accidents - Number at 31.12 (Unit),Killed - rate per population,Killed,NaNs_at_this_row
2,Finland,2010,1280000000.0,667000000.0,76244.0,72285.0,161.0,536.4,50.0,215.8,0.7,25.9,68950.0,51000.0,5919.0,8862.0,260000.0,779.0,,54715.0,1186.0,476.0,,303.0,8006.0,2.0,153.0,7945.0,6072.0,50.7,6072.0,5.1,272.0,4
21,Finland,2011,1329000000.0,658000000.0,76912.0,73030.0,132.1,552.9,44.6,197.6,0.7,27.5,68376.0,51070.0,5944.0,8885.0,279000.0,790.0,,55360.0,1197.0,469.0,,340.0,8013.0,2.0,153.0,8223.0,6408.0,54.2,6408.0,5.4,292.0,4
40,Finland,2012,1580000000.0,525000000.0,76845.0,72810.0,135.0,564.7,46.4,210.0,0.8,24.9,69331.0,50890.0,5944.0,8883.0,293000.0,780.0,,55396.0,1286.0,469.0,,471.0,8014.0,2.0,152.0,7343.0,5725.0,47.1,5725.0,4.7,255.0,4
59,Finland,2013,1756000000.0,511000000.0,76708.0,72655.0,125.4,574.9,43.6,199.6,0.9,23.9,69318.0,50461.0,5944.0,8523.0,303000.0,810.0,,55331.0,1287.0,376.0,,485.0,8052.0,2.0,151.0,6939.0,5334.0,47.4,5334.0,4.8,258.0,3
78,Finland,2014,1883000000.0,506000000.0,76934.0,73060.0,120.5,585.0,38.9,198.6,0.9,24.3,68262.0,49670.0,5944.0,8485.0,311097.0,881.0,,55741.0,1287.0,371.0,,509.0,8052.0,3.0,194.0,6934.0,5324.0,41.9,5324.0,4.2,229.0,3
97,Finland,2015,1812000000.0,508900000.0,77948.0,73835.0,141.1,594.6,45.6,235.1,0.9,26.1,75952.0,48554.0,5923.0,8483.0,317364.0,881.0,,56306.0,1287.0,369.0,,503.0,8127.0,2.0,197.0,6678.0,5185.0,49.3,5185.0,4.9,270.0,3
116,Finland,2016,1717000000.0,544000000.0,69130.0,65262.0,151.2,608.9,49.5,209.2,0.8,28.2,82115.0,46828.0,5926.0,8520.0,323854.0,890.0,,51522.0,1287.0,371.0,,412.0,8136.0,3.0,194.0,6169.0,4752.0,46.9,4752.0,4.7,258.0,3
135,Finland,2017,1760200000.0,548500000.0,79071.0,74800.0,150.4,621.4,44.2,196.5,0.8,27.3,85703.0,48098.0,5926.0,8513.0,332016.0,893.0,,51386.0,1193.0,383.0,,530.0,8136.0,3.0,185.0,5812.0,4432.0,43.2,4432.0,4.3,238.0,3
154,Finland,2018,2025100000.0,543000000.0,79334.0,74800.0,143.9,633.7,41.7,182.7,0.9,27.7,87502.0,50513.0,5926.0,8525.0,337671.0,926.0,,51597.0,1193.0,390.0,,580.0,8132.0,3.0,189.0,5542.0,4312.0,43.3,4287.0,4.3,239.0,3
172,Finland,2019,1987600000.0,494000000.0,79624.0,74700.0,145.9,647.5,41.3,187.3,0.8,27.2,,,,,,,,,,,,,,,,5224.0,4002.0,38.2,,3.8,211.0,21
189,Finland,2020,2131000000.0,674000000.0,73720.0,70900.0,147.4,656.8,,179.0,0.9,28.7,,,,,,,,,,,,,,,,4614.0,3591.0,40.1,,4.0,223.0,22
