,Country,Year,Total inland transport infrastructure investment,Rail infrastructure maintenance,Total inland passenger transport,Road passenger transport,Total inland freight transport in tonne-km per one thousand units of current USD GDP,Road motor vehicles per one million units of current USD GDP,CO2 emissions from transport in tonnes per one million units of current USD GDP,Road traffic in vehicle-km per one thousand units of current USD GDP,Density of road (km per one hundred sq. km),Share of household expenditure for purchase of vehicles in total household expenditure for transport,Total passengers - Number (1 000),Total of train movements - Train-km [IV-07] (1 000),Total Lines - Length operated at 31.12 (km),Total Tracks - Length operated at 31.12 (km),Total mopeds - Number at 31.12 (Unit),Total motorways - Length operated at 31.12 (km),Total oil pipeline transport - Tonnes (1 000),Total vehicle movements - Vehicle-km (millions),Total gas pipelines - length at 31.12 - km,Total Locomotives - Number at 31.12,Total pipelines operated - Length at 31.12 (km),Total goods - Tonnes (1 000),Total inland waterways - Length at 31.12 (km),Total railway enterprises - Number at 31.12,Total self-propelled vessels - Number at 31.12 (Units),Road casualties (injured + killed),Road injury accident,Road fatalities per one million inhabitant,Total injury accidents - Number at 31.12 (Unit),Killed - rate per population,Killed,NaNs_at_this_row
3,France,2010,19853503953.0,2431000000.0,866108.0,763941.0,87.0,517.4,46.6,217.0,1.0,27.4,1084774.0,457643.0,30335.0,,,11392.0,71254.0,560429.0,,3413.0,9195.0,69244.0,5110.0,36.0,890.0,88453.0,67288.0,61.4,67288.0,6.4,3992.0,7
22,France,2011,19928585274.0,2746000000.0,870125.0,764529.0,82.8,523.3,44.9,202.7,1.0,27.0,1125288.0,477209.0,30404.0,,,11413.0,,564963.0,,3500.0,,65666.0,5019.0,39.0,900.0,85214.0,65024.0,60.6,65024.0,6.3,3963.0,9
41,France,2012,21401415531.0,2851000000.0,921728.0,815772.0,82.5,527.7,47.5,217.6,1.0,25.1,1150295.0,473904.0,30581.0,,,11413.0,,563711.0,,3554.0,,65533.0,4996.0,52.0,905.0,79504.0,60437.0,55.6,60437.0,5.8,3653.0,9
60,France,2013,23455086552.0,2904000000.0,925789.0,820574.0,77.2,530.1,45.0,208.9,1.1,23.8,1164822.0,473312.0,30318.0,30318.0,,11552.0,,567829.0,,3601.0,,65827.0,5064.0,51.0,876.0,73875.0,56812.0,49.5,56812.0,5.1,3268.0,7
79,France,2014,19909054024.0,2760000000.0,937118.0,832529.0,73.6,535.5,44.3,208.6,0.9,23.8,1157679.0,452886.0,29335.0,29335.0,,11560.0,,572394.0,32500.0,3558.0,6400.0,62937.0,4718.0,58.0,851.0,76432.0,58191.0,51.0,58191.0,5.3,3384.0,5
98,France,2015,18751564322.0,2598230000.0,947085.0,842236.0,84.5,541.3,52.4,247.6,0.9,25.1,1204201.0,460005.0,28987.0,28987.0,,11599.0,,584914.0,,3569.0,,60854.0,4822.0,59.0,804.0,74263.0,56603.0,52.0,56603.0,5.4,3461.0,7
117,France,2016,18022900000.0,2430850000.0,958149.0,853942.0,83.2,547.6,51.9,248.2,0.8,26.3,1236523.0,444822.0,28364.0,28364.0,,11612.0,,599640.0,,3562.0,,64216.0,4773.0,64.0,744.0,76122.0,57522.0,52.1,57522.0,5.4,3477.0,7
136,France,2017,18449830000.0,2369230000.0,971363.0,860795.0,84.5,553.8,49.7,238.9,0.8,26.1,1277479.0,458288.0,28120.0,28120.0,,11618.0,,606042.0,,3490.0,,60533.0,5060.0,64.0,752.0,76832.0,58613.0,51.5,58613.0,5.3,3448.0,7
155,France,2018,19758540000.0,2370650000.0,966807.0,858872.0,78.8,556.2,45.2,222.4,0.8,25.2,1246804.0,426787.0,27594.0,27594.0,,11671.0,57378.0,606297.0,,3367.0,,57402.0,5065.0,,704.0,73135.0,55766.0,48.4,55766.0,5.0,3248.0,7
173,France,2019,21310278945.0,2327010000.0,963692.0,851214.0,81.8,558.4,46.3,226.6,0.9,24.8,,,,,,,,,,,,,,,,73734.0,56016.0,48.2,,5.0,3244.0,21
190,France,2020,20198744119.0,2194150000.0,742229.0,677340.0,81.6,553.6,,196.4,0.9,26.4,,,,,,,,,,,,,,,,58377.0,45121.0,37.7,,3.9,2541.0,22
