,Country,Year,Total inland transport infrastructure investment,Rail infrastructure maintenance,Total inland passenger transport,Road passenger transport,Total inland freight transport in tonne-km per one thousand units of current USD GDP,Road motor vehicles per one million units of current USD GDP,CO2 emissions from transport in tonnes per one million units of current USD GDP,Road traffic in vehicle-km per one thousand units of current USD GDP,Density of road (km per one hundred sq. km),Share of household expenditure for purchase of vehicles in total household expenditure for transport,Total passengers - Number (1 000),Total of train movements - Train-km [IV-07] (1 000),Total Lines - Length operated at 31.12 (km),Total Tracks - Length operated at 31.12 (km),Total mopeds - Number at 31.12 (Unit),Total motorways - Length operated at 31.12 (km),Total oil pipeline transport - Tonnes (1 000),Total vehicle movements - Vehicle-km (millions),Total gas pipelines - length at 31.12 - km,Total Locomotives - Number at 31.12,Total pipelines operated - Length at 31.12 (km),Total goods - Tonnes (1 000),Total inland waterways - Length at 31.12 (km),Total railway enterprises - Number at 31.12,Total self-propelled vessels - Number at 31.12 (Units),Road casualties (injured + killed),Road injury accident,Road fatalities per one million inhabitant,Total injury accidents - Number at 31.12 (Unit),Killed - rate per population,Killed,NaNs_at_this_row
6,Ireland,2010,1515666638.0,165000000.0,,,49.6,410.7,51.0,189.7,0.9,26.5,38070.0,21335.0,1927.0,2384.0,2700.0,900.0,,,13283.0,,,,,1.0,,8482.0,5780.0,46.5,5780.0,4.7,212.0,13
25,Ireland,2011,1160086989.0,159000000.0,,,42.2,412.2,45.2,175.2,0.7,24.8,37222.0,21066.0,1931.0,2384.0,2380.0,900.0,,41681.0,13445.0,,,,,1.0,,7421.0,5230.0,40.6,5230.0,4.1,186.0,12
44,Ireland,2012,950607367.0,139000000.0,,,44.4,409.3,46.9,180.7,0.5,22.5,66226.0,20704.0,1931.0,2421.0,2240.0,900.0,,38505.0,13548.0,56.0,,,,2.0,,8105.0,5610.0,35.4,5610.0,3.6,163.0,11
63,Ireland,2013,659741390.0,128000000.0,,,38.7,413.1,44.9,175.0,0.4,23.0,67251.0,22343.0,1931.0,2421.0,2140.0,897.0,,39626.0,13685.0,56.0,,,,2.0,,7068.0,4976.0,40.7,4976.0,4.1,188.0,11
82,Ireland,2014,2198069268.0,85000000.0,,,38.1,417.3,43.0,171.2,1.1,28.5,70416.0,22343.0,1931.0,2421.0,2060.0,897.0,,42738.0,13755.0,56.0,,,,2.0,,8271.0,5796.0,41.2,8079.0,4.1,192.0,10
101,Ireland,2015,675845201.0,82000000.0,,,34.1,422.2,38.7,158.0,0.3,33.7,74257.0,18203.0,1931.0,2421.0,2020.0,916.0,,44835.0,13772.0,56.0,,,,2.0,,8002.0,5831.0,34.5,7840.0,3.5,162.0,10
120,Ireland,2016,656831490.0,83000000.0,,,38.9,426.3,39.8,160.1,0.2,37.8,76842.0,17688.0,1931.0,2421.0,2030.0,916.0,,46836.0,13954.0,56.0,,,,2.0,,7955.0,5877.0,38.3,7773.0,3.9,182.0,10
139,Ireland,2017,615810087.0,81000000.0,,,34.9,429.8,34.4,143.7,0.2,36.0,83150.0,17877.0,1931.0,2421.0,1950.0,916.0,,47795.0,14172.0,56.0,,,,2.0,,7937.0,6019.0,32.2,7778.0,3.2,155.0,10
158,Ireland,2018,736610567.0,88000000.0,,,30.1,432.8,30.7,123.1,0.2,35.5,89797.0,17538.0,2045.0,2469.0,1940.0,916.0,,47545.0,14390.0,56.0,,,,2.0,,8150.0,6119.0,28.6,,2.8,137.0,11
176,Ireland,2019,908888996.0,75000000.0,,,31.3,440.7,29.6,118.1,0.3,35.9,,,,,,,,,,,,,,,,,5862.0,28.4,,2.9,140.0,24
193,Ireland,2020,,,,,,,,,,37.2,,,,,,,,,,,,,,,,,,,,3.0,147.0,33
