,Country,Year,Total inland transport infrastructure investment,Rail infrastructure maintenance,Total inland passenger transport,Road passenger transport,Total inland freight transport in tonne-km per one thousand units of current USD GDP,Road motor vehicles per one million units of current USD GDP,CO2 emissions from transport in tonnes per one million units of current USD GDP,Road traffic in vehicle-km per one thousand units of current USD GDP,Density of road (km per one hundred sq. km),Share of household expenditure for purchase of vehicles in total household expenditure for transport,Total passengers - Number (1 000),Total of train movements - Train-km [IV-07] (1 000),Total Lines - Length operated at 31.12 (km),Total Tracks - Length operated at 31.12 (km),Total mopeds - Number at 31.12 (Unit),Total motorways - Length operated at 31.12 (km),Total oil pipeline transport - Tonnes (1 000),Total vehicle movements - Vehicle-km (millions),Total gas pipelines - length at 31.12 - km,Total Locomotives - Number at 31.12,Total pipelines operated - Length at 31.12 (km),Total goods - Tonnes (1 000),Total inland waterways - Length at 31.12 (km),Total railway enterprises - Number at 31.12,Total self-propelled vessels - Number at 31.12 (Units),Road casualties (injured + killed),Road injury accident,Road fatalities per one million inhabitant,Total injury accidents - Number at 31.12 (Unit),Killed - rate per population,Killed,NaNs_at_this_row
7,Italy,2010,8204000000.0,6437000000.0,847781.0,800609.0,95.9,620.0,51.1,,0.5,24.0,622283.0,301816.0,16704.0,24216.0,2550000.0,6668.0,126184.0,,31680.0,2837.0,4291.0,1259.0,1562.0,,47.0,308834.0,212997.0,69.4,212997.0,7.0,4114.0,8
26,Italy,2011,8631000000.0,6220000000.0,814617.0,767772.0,75.3,625.0,47.6,,0.5,21.1,522948.0,275547.0,16726.0,24240.0,2550000.0,6668.0,116720.0,82357.0,32010.0,2488.0,4290.0,1224.0,1562.0,,109.0,295879.0,205638.0,65.0,205638.0,6.5,3860.0,7
45,Italy,2012,7397000000.0,7196000000.0,726939.0,680180.0,74.0,622.7,49.1,,0.5,19.0,815594.0,259294.0,16742.0,24277.0,2153000.0,6726.0,114419.0,76425.0,32245.0,2341.0,4290.0,654.0,1562.0,,113.0,270617.0,188228.0,63.0,188228.0,6.3,3753.0,7
64,Italy,2013,7080000000.0,9134000000.0,770877.0,722138.0,73.0,613.7,47.0,,0.4,18.4,814517.0,,16752.0,24292.0,2256000.0,6751.0,114533.0,75122.0,32306.0,,4303.0,762.0,1562.0,,58.0,261494.0,181660.0,56.5,181660.0,5.7,3401.0,8
83,Italy,2014,8960000000.0,9564000000.0,795683.0,745726.0,68.3,610.0,48.7,,0.6,18.7,821721.0,,,24278.0,2516612.0,6844.0,113497.0,76574.0,32339.0,2728.0,4308.0,481.0,1562.0,,66.0,254528.0,177031.0,55.6,177031.0,5.6,3381.0,7
102,Italy,2015,8521000000.0,9066000000.0,831065.0,778858.0,80.0,615.0,56.1,,0.5,21.5,829494.0,,,24286.0,2421947.0,6943.0,110369.0,79384.0,32508.0,3103.0,4022.0,379.0,1562.0,,67.0,250348.0,174539.0,56.4,174539.0,5.6,3428.0,7
121,Italy,2016,8065000000.0,8446000000.0,859033.0,806855.0,77.5,624.7,54.2,,0.5,23.9,869299.0,375175.0,16788.0,24435.0,2476819.0,6943.0,112031.0,82024.0,,,4012.0,407.0,1562.0,,63.0,252458.0,175791.0,54.2,175791.0,5.4,3283.0,7
140,Italy,2017,6944000000.0,8803000000.0,900829.0,847598.0,77.6,636.3,49.8,,0.4,24.9,864570.0,377637.0,16787.0,24483.0,2528419.0,6943.0,114124.0,83819.0,,2573.0,4016.0,434.0,1562.0,52.0,59.0,250128.0,174933.0,55.8,174933.0,5.6,3378.0,5
159,Italy,2018,9656000000.0,7352000000.0,880987.0,825494.0,75.2,645.8,47.9,,0.5,24.9,882243.0,388127.0,16781.0,24502.0,2574005.0,,115685.0,84127.0,32625.0,,4018.0,448.0,1562.0,,,245946.0,172344.0,55.0,172344.0,5.5,3334.0,8
177,Italy,2019,8635000000.0,6813000000.0,891949.0,835363.0,84.5,662.1,50.3,,0.5,25.1,,,,,,,,,,,,,,,,244557.0,172183.0,53.1,,5.3,3173.0,23
194,Italy,2020,,,,,,666.9,,,,28.5,,,,,,,,,,,,,,,,161644.0,118298.0,40.2,,4.0,2395.0,30
