,Country,Year,Total inland transport infrastructure investment,Rail infrastructure maintenance,Total inland passenger transport,Road passenger transport,Total inland freight transport in tonne-km per one thousand units of current USD GDP,Road motor vehicles per one million units of current USD GDP,CO2 emissions from transport in tonnes per one million units of current USD GDP,Road traffic in vehicle-km per one thousand units of current USD GDP,Density of road (km per one hundred sq. km),Share of household expenditure for purchase of vehicles in total household expenditure for transport,Total passengers - Number (1 000),Total of train movements - Train-km [IV-07] (1 000),Total Lines - Length operated at 31.12 (km),Total Tracks - Length operated at 31.12 (km),Total mopeds - Number at 31.12 (Unit),Total motorways - Length operated at 31.12 (km),Total oil pipeline transport - Tonnes (1 000),Total vehicle movements - Vehicle-km (millions),Total gas pipelines - length at 31.12 - km,Total Locomotives - Number at 31.12,Total pipelines operated - Length at 31.12 (km),Total goods - Tonnes (1 000),Total inland waterways - Length at 31.12 (km),Total railway enterprises - Number at 31.12,Total self-propelled vessels - Number at 31.12 (Units),Road casualties (injured + killed),Road injury accident,Road fatalities per one million inhabitant,Total injury accidents - Number at 31.12 (Unit),Killed - rate per population,Killed,NaNs_at_this_row
10,Norway,2010,3153260055.0,1361104172.0,65852.0,62718.0,56.7,472.2,33.1,99.3,1.0,38.7,58437.0,42505.0,3958.0,4199.0,169000.0,381.0,39600.0,43847.0,8085.0,,1244.0,,,16.0,,9338.0,6434.0,42.5,6434.0,4.3,208.0,7
29,Norway,2011,3372768917.0,1615361913.0,66777.0,63701.0,48.4,479.8,27.5,86.1,0.9,37.9,59385.0,43293.0,3910.0,4191.0,172000.0,393.0,38900.0,44208.0,8113.0,,1244.0,,,15.0,,8531.0,6079.0,33.9,6079.0,3.4,168.0,7
48,Norway,2012,3976857735.0,1746639021.0,67574.0,64482.0,48.6,486.8,26.3,86.3,1.0,37.9,62689.0,43613.0,3891.0,4136.0,175000.0,392.0,35000.0,45292.0,7141.0,,1245.0,,,16.0,,8340.0,6154.0,28.9,6154.0,2.9,145.0,7
67,Norway,2013,4682963703.0,1840975772.0,68484.0,65224.0,49.6,492.2,26.7,84.0,1.2,36.0,67251.0,45798.0,3897.0,4143.0,176087.0,,32100.0,45285.0,7131.0,,1245.0,,,16.0,,7029.0,5241.0,36.8,5241.0,3.7,187.0,7
86,Norway,2014,5022321696.0,1990042010.0,70713.0,67273.0,53.8,497.4,28.2,87.8,1.3,35.7,70340.0,46165.0,3906.0,4152.0,177502.0,,32500.0,45140.0,7141.0,,1245.0,,,15.0,,6438.0,4972.0,28.6,4972.0,2.9,147.0,7
105,Norway,2015,4840578414.0,1948287238.0,72344.0,68789.0,69.3,503.1,37.0,114.7,1.4,36.6,73836.0,48563.0,3896.0,4152.0,178382.0,,34500.0,45715.0,7141.0,,1245.0,,,15.0,,5804.0,4563.0,22.5,4563.0,2.3,117.0,8
124,Norway,2016,4843909736.0,,72946.0,69251.0,74.1,508.7,37.3,121.3,1.5,36.9,74293.0,48372.0,3895.0,4164.0,178382.0,,36300.0,46107.0,7141.0,,1288.0,,,14.0,,5674.0,4374.0,25.8,,2.6,135.0,10
143,Norway,2017,5062924769.0,,74132.0,70548.0,72.5,515.3,30.6,113.7,1.4,38.9,73561.0,49100.0,3895.0,4208.0,171998.0,523.0,39300.0,46791.0,7625.0,,1288.0,,,13.0,,5368.0,4086.0,20.1,,2.0,106.0,9
161,Norway,2018,5472574631.0,,74853.0,71131.0,65.1,518.1,28.4,105.3,1.5,37.1,77740.0,49168.0,3887.0,4177.0,163436.0,599.0,35400.0,47506.0,7625.0,,1288.0,,,13.0,,5049.0,3898.0,20.3,,2.0,108.0,10
179,Norway,2019,5716316233.0,,75494.0,71779.0,73.0,523.8,28.5,114.0,1.6,,,,,,,,,,,,,,,,,4466.0,3579.0,20.2,,2.0,108.0,23
196,Norway,2020,,,67403.0,65599.0,93.2,522.4,,119.9,,,,,,,,,,,,,,,,,,4529.0,3585.0,17.3,,1.7,93.0,27
