,Country,Year,Total inland transport infrastructure investment,Rail infrastructure maintenance,Total inland passenger transport,Road passenger transport,Total inland freight transport in tonne-km per one thousand units of current USD GDP,Road motor vehicles per one million units of current USD GDP,CO2 emissions from transport in tonnes per one million units of current USD GDP,Road traffic in vehicle-km per one thousand units of current USD GDP,Density of road (km per one hundred sq. km),Share of household expenditure for purchase of vehicles in total household expenditure for transport,Total passengers - Number (1 000),Total of train movements - Train-km [IV-07] (1 000),Total Lines - Length operated at 31.12 (km),Total Tracks - Length operated at 31.12 (km),Total mopeds - Number at 31.12 (Unit),Total motorways - Length operated at 31.12 (km),Total oil pipeline transport - Tonnes (1 000),Total vehicle movements - Vehicle-km (millions),Total gas pipelines - length at 31.12 - km,Total Locomotives - Number at 31.12,Total pipelines operated - Length at 31.12 (km),Total goods - Tonnes (1 000),Total inland waterways - Length at 31.12 (km),Total railway enterprises - Number at 31.12,Total self-propelled vessels - Number at 31.12 (Units),Road casualties (injured + killed),Road injury accident,Road fatalities per one million inhabitant,Total injury accidents - Number at 31.12 (Unit),Killed - rate per population,Killed,NaNs_at_this_row
11,Poland,2010,7224530663.0,2636295369.0,248382.0,230461.0,600.6,453.1,98.2,415.4,2.0,30.5,261314.0,219704.0,20228.0,37840.0,922000.0,857.0,56208.0,199303.0,10451.0,4263.0,2362.0,2753.0,3659.0,48.0,79.0,52859.0,38832.0,102.7,38832.0,10.2,3908.0,3
30,Poland,2011,9277684706.0,2679486246.0,247406.0,229229.0,562.2,476.2,90.3,393.0,2.4,26.5,263609.0,220763.0,20228.0,38053.0,1033000.0,1070.0,54482.0,207601.0,10537.0,4180.0,2444.0,3044.0,3659.0,57.0,67.0,53690.0,40065.0,110.1,40065.0,10.9,4189.0,3
49,Poland,2012,4813947375.0,428028583.0,246569.0,228743.0,612.5,492.4,92.0,416.5,1.2,24.9,273182.0,235053.0,20094.0,37642.0,1100000.0,1365.0,52985.0,207634.0,10717.0,4113.0,2444.0,2468.0,3659.0,58.0,71.0,49369.0,37062.0,94.0,37046.0,9.3,3571.0,3
68,Poland,2013,2727597627.0,438159682.0,247914.0,231117.0,636.2,509.7,82.9,407.2,0.7,27.2,269815.0,202911.0,19328.0,36939.0,1163441.0,1482.0,50656.0,212168.0,10761.0,4032.0,2444.0,3068.0,3655.0,69.0,71.0,47416.0,35847.0,88.2,35847.0,8.7,3357.0,2
87,Poland,2014,1835344725.0,383080416.0,252205.0,236190.0,616.2,526.3,80.7,401.3,0.4,27.2,268204.0,196769.0,19240.0,37455.0,1216578.0,1556.0,49810.0,217671.0,11007.0,4143.0,2483.0,5731.0,3655.0,69.0,79.0,45747.0,34970.0,84.2,34970.0,8.4,3202.0,2
106,Poland,2015,2511236492.0,415511141.0,255517.0,238150.0,727.8,545.5,97.6,464.8,0.6,27.8,277321.0,209138.0,19231.0,37572.0,1259187.0,1559.0,54850.0,222106.0,12420.0,4033.0,2483.0,4907.0,3655.0,72.0,89.0,42716.0,32967.0,77.3,32967.0,7.7,2938.0,2
125,Poland,2016,3402007517.0,418690989.0,269267.0,250092.0,798.2,570.8,112.7,486.5,0.8,28.9,291981.0,225832.0,19132.0,37386.0,1292200.0,1637.0,54058.0,,12412.0,4004.0,2483.0,3821.0,3655.0,75.0,91.0,43792.0,33664.0,79.7,40766.0,8.0,3026.0,3
144,Poland,2017,3719897564.0,516645913.0,277929.0,257610.0,807.8,592.6,116.9,452.5,0.8,28.4,303001.0,286941.0,19209.0,37195.0,1327872.0,1637.0,52393.0,,11743.0,3825.0,2483.0,3412.0,3654.0,79.0,89.0,42297.0,32760.0,74.5,39466.0,7.5,2831.0,6
162,Poland,2018,3130544994.0,464723278.0,289429.0,268386.0,781.8,617.0,107.8,416.6,0.6,28.1,309722.0,243816.0,19235.0,37087.0,1349912.0,1637.0,55287.0,,10743.0,3887.0,2483.0,2988.0,3654.0,78.0,89.0,40221.0,31674.0,75.4,37359.0,7.5,2862.0,7
180,Poland,2019,3126236184.0,480977312.0,302772.0,280716.0,797.1,641.6,107.9,418.9,0.6,27.6,,,,,,,,,,,,,,,,38386.0,30288.0,76.6,,7.7,2909.0,22
197,Poland,2020,3872434282.0,503691033.0,255998.0,243441.0,898.1,,,,0.7,27.1,,,,,,,,,,,,,,,,28954.0,23540.0,65.6,,6.6,2491.0,25
