,Country,Year,Total inland transport infrastructure investment,Rail infrastructure maintenance,Total inland passenger transport,Road passenger transport,Total inland freight transport in tonne-km per one thousand units of current USD GDP,Road motor vehicles per one million units of current USD GDP,CO2 emissions from transport in tonnes per one million units of current USD GDP,Road traffic in vehicle-km per one thousand units of current USD GDP,Density of road (km per one hundred sq. km),Share of household expenditure for purchase of vehicles in total household expenditure for transport,Total passengers - Number (1 000),Total of train movements - Train-km [IV-07] (1 000),Total Lines - Length operated at 31.12 (km),Total Tracks - Length operated at 31.12 (km),Total mopeds - Number at 31.12 (Unit),Total motorways - Length operated at 31.12 (km),Total oil pipeline transport - Tonnes (1 000),Total vehicle movements - Vehicle-km (millions),Total gas pipelines - length at 31.12 - km,Total Locomotives - Number at 31.12,Total pipelines operated - Length at 31.12 (km),Total goods - Tonnes (1 000),Total inland waterways - Length at 31.12 (km),Total railway enterprises - Number at 31.12,Total self-propelled vessels - Number at 31.12 (Units),Road casualties (injured + killed),Road injury accident,Road fatalities per one million inhabitant,Total injury accidents - Number at 31.12 (Unit),Killed - rate per population,Killed,NaNs_at_this_row
12,Slovenia,2010,352000000.0,137000000.0,29632.0,28819.0,118.4,520.2,108.1,369.8,1.0,27.3,16220.0,19412.0,1228.0,2187.0,42320.0,607.0,,17826.0,,162.0,,,,1.0,,10454.0,7560.0,67.4,7560.0,6.7,138.0,11
31,Slovenia,2011,218000000.0,122000000.0,,,114.9,520.5,107.9,257.1,0.6,25.3,15743.0,19880.0,1209.0,2177.0,42300.0,607.0,,,,156.0,,,,1.0,,9814.0,7218.0,68.7,7218.0,6.9,141.0,15
50,Slovenia,2012,174000000.0,120000000.0,,,114.2,521.9,119.9,277.3,0.5,20.4,15512.0,18974.0,1209.0,2177.0,42100.0,607.0,,,,156.0,,,,1.0,,9278.0,6864.0,63.2,6864.0,6.3,130.0,15
69,Slovenia,2013,244000000.0,123000000.0,,,117.5,520.9,109.2,262.5,0.7,19.3,16420.0,18815.0,1209.0,2178.0,41050.0,607.0,,,,156.0,,,,1.0,,8867.0,6542.0,60.7,6542.0,6.1,125.0,14
88,Slovenia,2014,398000000.0,113000000.0,,,123.4,519.6,106.1,258.4,1.1,19.5,14837.0,18291.0,1209.0,2178.0,41165.0,607.0,,,,156.0,,,,1.0,,8328.0,6264.0,52.4,6264.0,5.2,108.0,14
107,Slovenia,2015,521000000.0,100000000.0,,,144.8,521.9,122.4,469.9,1.3,24.3,14558.0,18617.0,1209.0,2178.0,42216.0,610.0,,20674.0,,156.0,,,,1.0,,8830.0,6585.0,58.2,6585.0,5.8,120.0,13
126,Slovenia,2016,233400000.0,104000000.0,,,145.1,526.7,126.1,446.5,0.6,26.2,14008.0,19359.0,1209.0,2178.0,42553.0,610.0,,20605.0,5827.0,156.0,,,,1.0,,8586.0,6495.0,63.0,6495.0,6.3,130.0,12
145,Slovenia,2017,317000000.0,117000000.0,,,153.1,535.1,118.8,430.3,0.7,29.6,13422.0,19767.0,1209.0,2178.0,60797.0,618.0,,21437.0,1158.0,155.0,,,,1.0,,8005.0,6185.0,50.3,6185.0,5.0,104.0,11
163,Slovenia,2018,483000000.0,115000000.0,,,136.8,544.0,106.1,398.7,1.1,28.3,13554.0,19063.0,1209.0,2178.0,63790.0,623.0,,,1174.0,155.0,,,,1.0,,7779.0,6014.0,43.9,6014.0,4.4,91.0,13
181,Slovenia,2019,514000000.0,122000000.0,,,140.3,552.6,102.1,407.4,1.1,29.2,,,,,,,,,,,,,,,,7672.0,6025.0,48.8,,4.9,102.0,24
198,Slovenia,2020,424000000.0,139000000.0,,,132.4,554.9,,404.0,0.9,30.8,,,,,,,,,,,,,,,,5784.0,4780.0,38.1,,3.8,80.0,25
