,Country,Year,Total inland transport infrastructure investment,Rail infrastructure maintenance,Total inland passenger transport,Road passenger transport,Total inland freight transport in tonne-km per one thousand units of current USD GDP,Road motor vehicles per one million units of current USD GDP,CO2 emissions from transport in tonnes per one million units of current USD GDP,Road traffic in vehicle-km per one thousand units of current USD GDP,Density of road (km per one hundred sq. km),Share of household expenditure for purchase of vehicles in total household expenditure for transport,Total passengers - Number (1 000),Total of train movements - Train-km [IV-07] (1 000),Total Lines - Length operated at 31.12 (km),Total Tracks - Length operated at 31.12 (km),Total mopeds - Number at 31.12 (Unit),Total motorways - Length operated at 31.12 (km),Total oil pipeline transport - Tonnes (1 000),Total vehicle movements - Vehicle-km (millions),Total gas pipelines - length at 31.12 - km,Total Locomotives - Number at 31.12,Total pipelines operated - Length at 31.12 (km),Total goods - Tonnes (1 000),Total inland waterways - Length at 31.12 (km),Total railway enterprises - Number at 31.12,Total self-propelled vessels - Number at 31.12 (Units),Road casualties (injured + killed),Road injury accident,Road fatalities per one million inhabitant,Total injury accidents - Number at 31.12 (Unit),Killed - rate per population,Killed,NaNs_at_this_row
13,Spain,2010,15520000000.0,,414987.0,392531.0,159.5,475.5,69.2,169.6,1.4,22.8,,206023.0,13853.0,18967.0,2290000.0,14262.0,27755.0,241131.0,8981.0,615.0,4365.0,,,15.0,,122823.0,85503.0,53.2,85503.0,5.3,2478.0,9
32,Spain,2011,13519000000.0,,412558.0,389763.0,152.0,476.6,62.1,158.5,1.3,19.2,,212021.0,13945.0,19166.0,2229000.0,14531.0,27544.0,234678.0,9280.0,606.0,4722.0,,,19.0,,117687.0,83027.0,44.1,83027.0,4.4,2060.0,9
51,Spain,2012,10666000000.0,,398052.0,375576.0,164.2,475.7,62.4,169.3,1.0,17.1,463674.0,211838.0,13976.0,19285.0,2169000.0,14701.0,26431.0,224285.0,9680.0,554.0,4743.0,,,18.0,,117793.0,83115.0,40.7,83115.0,4.1,1903.0,8
70,Spain,2013,7356000000.0,,394163.0,370375.0,155.4,472.4,60.2,162.6,0.7,18.6,,211205.0,15312.0,20861.0,2107000.0,14981.0,26169.0,220377.0,10678.0,534.0,4735.0,,,18.0,,126400.0,89519.0,36.0,89519.0,3.6,1680.0,8
89,Spain,2014,7400000000.0,,373245.0,348173.0,156.8,474.0,59.8,162.4,0.7,20.7,,212970.0,15182.0,20761.0,2061044.0,15049.0,27627.0,222689.0,10348.0,557.0,4735.0,,,18.0,,128320.0,91570.0,36.3,91570.0,3.6,1688.0,8
108,Spain,2015,6872000000.0,,390084.0,363942.0,192.6,481.3,71.2,193.1,0.6,24.0,,212005.0,15384.0,21122.0,2023211.0,15336.0,31031.0,230840.0,10348.0,,4736.0,,,18.0,,136144.0,97756.0,36.4,97756.0,3.6,1689.0,9
127,Spain,2016,5537000000.0,,404313.0,377643.0,192.7,492.1,71.6,194.1,0.5,26.8,,208722.0,16167.0,22080.0,1987470.0,15444.0,31004.0,239353.0,10348.0,390.0,4736.0,,,18.0,,142200.0,102362.0,38.9,,3.9,1810.0,10
146,Spain,2017,5905000000.0,,390855.0,363368.0,191.5,504.4,69.5,186.4,0.5,26.5,,214855.0,15949.0,21853.0,1961523.0,15523.0,32178.0,244661.0,10348.0,433.0,4736.0,,,18.0,,140992.0,102233.0,39.3,102233.0,3.9,1830.0,9
164,Spain,2018,5686000000.0,,401178.0,372744.0,182.6,514.4,64.9,175.9,0.5,27.0,,212516.0,15449.0,21882.0,1933445.0,15585.0,32060.0,250192.0,10348.0,455.0,4723.0,,,18.0,,140415.0,102299.0,38.6,102299.0,3.9,1806.0,9
182,Spain,2019,5663000000.0,,404090.0,375255.0,194.1,521.0,67.2,,0.5,26.2,,,,,,,,,,,,,,,,141113.0,104080.0,37.2,,3.7,1755.0,24
199,Spain,2020,6307848764.0,,,,,,,,0.6,28.0,,,,,,,,,,,,,,,,,,,,2.9,1370.0,32
