,Country,Year,Total inland transport infrastructure investment,Rail infrastructure maintenance,Total inland passenger transport,Road passenger transport,Total inland freight transport in tonne-km per one thousand units of current USD GDP,Road motor vehicles per one million units of current USD GDP,CO2 emissions from transport in tonnes per one million units of current USD GDP,Road traffic in vehicle-km per one thousand units of current USD GDP,Density of road (km per one hundred sq. km),Share of household expenditure for purchase of vehicles in total household expenditure for transport,Total passengers - Number (1 000),Total of train movements - Train-km [IV-07] (1 000),Total Lines - Length operated at 31.12 (km),Total Tracks - Length operated at 31.12 (km),Total mopeds - Number at 31.12 (Unit),Total motorways - Length operated at 31.12 (km),Total oil pipeline transport - Tonnes (1 000),Total vehicle movements - Vehicle-km (millions),Total gas pipelines - length at 31.12 - km,Total Locomotives - Number at 31.12,Total pipelines operated - Length at 31.12 (km),Total goods - Tonnes (1 000),Total inland waterways - Length at 31.12 (km),Total railway enterprises - Number at 31.12,Total self-propelled vessels - Number at 31.12 (Units),Road casualties (injured + killed),Road injury accident,Road fatalities per one million inhabitant,Total injury accidents - Number at 31.12 (Unit),Killed - rate per population,Killed,NaNs_at_this_row
14,Sweden,2010,3321727472.0,873791493.0,129090.0,117935.0,120.5,458.6,41.7,154.8,0.9,25.6,179000.0,140412.0,11160.0,15497.0,78348.0,1971.0,,76836.0,,677.0,,,,29.0,,23571.0,16500.0,28.4,16500.0,2.8,266.0,10
33,Sweden,2011,3500044309.0,856484558.0,130672.0,119294.0,104.2,458.8,35.5,135.5,0.8,26.3,187000.0,147191.0,11206.0,15601.0,75169.0,1957.0,,77789.0,,691.0,,,,33.0,,22679.0,16119.0,33.8,16119.0,3.4,319.0,11
52,Sweden,2012,3782225183.0,958801842.0,130271.0,118479.0,114.1,467.2,35.0,139.9,0.9,24.5,193163.0,145731.0,11136.0,15633.0,73163.0,2004.0,,77274.0,,674.0,,,,33.0,,23110.0,16458.0,29.9,16458.0,3.0,285.0,11
71,Sweden,2013,3402994047.0,1043639096.0,130410.0,118568.0,107.5,468.2,32.1,132.5,0.8,24.8,200706.0,151185.0,10957.0,15468.0,73176.0,2044.0,,77761.0,,647.0,,,,30.0,,20522.0,14815.0,27.1,14816.0,2.7,260.0,10
90,Sweden,2014,3345524299.0,1017489474.0,132785.0,120664.0,108.7,473.0,31.6,136.1,0.8,27.0,207280.0,152984.0,10881.0,15370.0,75211.0,2088.0,,79221.0,,648.0,,,,31.0,,17795.0,12926.0,27.8,12933.0,2.8,270.0,10
109,Sweden,2015,3491464001.0,1183601475.0,135042.0,122392.0,123.1,476.5,36.5,159.8,0.8,29.6,214434.0,152880.0,10908.0,15424.0,75678.0,2119.0,,80736.0,,622.0,,,,31.0,,19902.0,14672.0,26.4,14672.0,2.7,259.0,10
128,Sweden,2016,3587992353.0,1129994824.0,117043.0,104243.0,124.3,480.5,34.1,160.2,0.8,30.7,220945.0,157723.0,10882.0,15459.0,76704.0,2118.0,,82602.0,,621.0,,,,30.0,,18933.0,14051.0,27.2,14051.0,2.7,270.0,10
147,Sweden,2017,3899397109.0,1034876361.0,119419.0,106088.0,117.7,481.8,32.0,155.1,0.8,29.7,229816.0,160384.0,10874.0,15568.0,83079.0,2132.0,,83896.0,,621.0,,,,28.0,,19914.0,14849.0,25.1,14849.0,2.5,252.0,10
165,Sweden,2018,3921329472.0,1033080815.0,120621.0,107074.0,119.4,478.7,29.6,152.0,0.8,27.5,246490.0,165095.0,10906.0,15571.0,85878.0,2132.0,,84433.0,,651.0,,,,30.0,,18825.0,14233.0,31.8,14233.0,3.2,324.0,10
183,Sweden,2019,4194961603.0,999839421.0,121109.0,106492.0,122.1,475.5,30.8,157.6,0.9,28.3,,,,,,,,,,,,,,,,17940.0,13684.0,21.5,,2.2,221.0,21
200,Sweden,2020,5022406346.0,1027545504.0,107890.0,99761.0,121.6,477.5,,144.6,1.1,29.5,,,,,,,,,,,,,,,,15558.0,12243.0,19.7,,2.0,204.0,22
