,Country,Year,Total inland transport infrastructure investment,Rail infrastructure maintenance,Total inland passenger transport,Road passenger transport,Total inland freight transport in tonne-km per one thousand units of current USD GDP,Road motor vehicles per one million units of current USD GDP,CO2 emissions from transport in tonnes per one million units of current USD GDP,Road traffic in vehicle-km per one thousand units of current USD GDP,Density of road (km per one hundred sq. km),Share of household expenditure for purchase of vehicles in total household expenditure for transport,Total passengers - Number (1 000),Total of train movements - Train-km [IV-07] (1 000),Total Lines - Length operated at 31.12 (km),Total Tracks - Length operated at 31.12 (km),Total mopeds - Number at 31.12 (Unit),Total motorways - Length operated at 31.12 (km),Total oil pipeline transport - Tonnes (1 000),Total vehicle movements - Vehicle-km (millions),Total gas pipelines - length at 31.12 - km,Total Locomotives - Number at 31.12,Total pipelines operated - Length at 31.12 (km),Total goods - Tonnes (1 000),Total inland waterways - Length at 31.12 (km),Total railway enterprises - Number at 31.12,Total self-propelled vessels - Number at 31.12 (Units),Road casualties (injured + killed),Road injury accident,Road fatalities per one million inhabitant,Total injury accidents - Number at 31.12 (Unit),Killed - rate per population,Killed,NaNs_at_this_row
15,Switzerland,2010,6450586022.0,1998263638.0,111596.0,92419.0,46.8,520.9,28.5,97.7,1.4,,493777.0,210546.0,5124.0,,140000.0,1406.0,5143.0,60036.0,,,109.0,6518.0,,62.0,15.0,24564.0,19609.0,41.8,19609.0,4.2,327.0,11
34,Switzerland,2011,7232576985.0,2235008104.0,112871.0,93400.0,40.4,526.1,23.5,82.8,1.4,,513402.0,209954.0,,,143000.0,1415.0,5180.0,60868.0,,,109.0,5678.0,,63.0,15.0,23562.0,18990.0,40.4,18990.0,4.1,320.0,12
53,Switzerland,2012,7344229652.0,2413507011.0,114250.0,94988.0,41.0,532.0,24.8,88.1,1.4,,515455.0,211482.0,,,146000.0,1419.0,4226.0,62032.0,,,109.0,7211.0,,66.0,15.0,22557.0,18148.0,42.4,18148.0,4.3,339.0,12
72,Switzerland,2013,7397026566.0,2402307255.0,115809.0,96362.0,41.1,534.1,24.0,88.6,1.4,,541910.0,215506.0,,,147000.0,1419.0,5585.0,63130.0,,,109.0,6830.0,,71.0,14.0,21648.0,17473.0,33.3,17473.0,3.3,269.0,12
91,Switzerland,2014,7197431253.0,2420549975.0,117730.0,97720.0,41.0,535.4,23.0,87.5,1.3,,568539.0,220327.0,,,153000.0,1429.0,5618.0,64216.0,,,109.0,5982.0,,61.0,13.0,21764.0,17803.0,29.7,17803.0,3.0,243.0,12
110,Switzerland,2015,8419226449.0,2761333833.0,119547.0,99158.0,42.4,538.3,23.1,93.1,1.3,,587752.0,222651.0,5196.0,,156000.0,1440.0,3667.0,65351.0,,,109.0,6334.0,,63.0,13.0,21791.0,17736.0,30.5,17736.0,3.1,253.0,11
129,Switzerland,2016,7804189604.0,2699504678.0,122088.0,101276.0,42.4,540.3,23.1,95.9,1.2,,607328.0,227355.0,,,140000.0,1447.0,3823.0,66658.0,,,109.0,5897.0,,64.0,12.0,21608.0,17577.0,25.8,17577.0,2.6,216.0,12
148,Switzerland,2017,7050908988.0,2708708168.0,123969.0,103104.0,41.3,540.8,22.4,96.3,1.1,,612680.0,226135.0,,,135000.0,1458.0,3758.0,67822.0,,,109.0,5790.0,,67.0,10.0,21643.0,17799.0,27.2,17799.0,2.7,230.0,12
166,Switzerland,2018,6894743240.0,2593298121.0,124944.0,104331.0,40.2,540.6,21.5,93.3,1.1,,611331.0,226065.0,,,133000.0,1462.0,3924.0,68616.0,,,109.0,4698.0,,66.0,10.0,22064.0,18033.0,27.4,18033.0,2.7,233.0,12
184,Switzerland,2019,7735625134.0,2338456008.0,127024.0,105287.0,39.6,539.2,21.5,94.7,1.2,,,,,,,,,,,,,,,,,21467.0,17761.0,21.8,,2.2,187.0,23
201,Switzerland,2020,,,,,,539.4,,,,,,,,,,,,,,,,,,,,20022.0,16897.0,26.3,,2.6,227.0,31
