,Country,Year,Total inland transport infrastructure investment,Rail infrastructure maintenance,Total inland passenger transport,Road passenger transport,Total inland freight transport in tonne-km per one thousand units of current USD GDP,Road motor vehicles per one million units of current USD GDP,CO2 emissions from transport in tonnes per one million units of current USD GDP,Road traffic in vehicle-km per one thousand units of current USD GDP,Density of road (km per one hundred sq. km),Share of household expenditure for purchase of vehicles in total household expenditure for transport,Total passengers - Number (1 000),Total of train movements - Train-km [IV-07] (1 000),Total Lines - Length operated at 31.12 (km),Total Tracks - Length operated at 31.12 (km),Total mopeds - Number at 31.12 (Unit),Total motorways - Length operated at 31.12 (km),Total oil pipeline transport - Tonnes (1 000),Total vehicle movements - Vehicle-km (millions),Total gas pipelines - length at 31.12 - km,Total Locomotives - Number at 31.12,Total pipelines operated - Length at 31.12 (km),Total goods - Tonnes (1 000),Total inland waterways - Length at 31.12 (km),Total railway enterprises - Number at 31.12,Total self-propelled vessels - Number at 31.12 (Units),Road casualties (injured + killed),Road injury accident,Road fatalities per one million inhabitant,Total injury accidents - Number at 31.12 (Unit),Killed - rate per population,Killed,NaNs_at_this_row
16,United Kingdom,2010,12870017478.0,3917271032.0,758832.0,695784.0,73.7,466.6,47.1,197.0,0.7,27.3,1366485.0,550932.0,15884.0,31324.0,81000.0,3672.0,149280.0,495917.0,,,4446.0,3456.0,1050.0,,158.0,217605.0,160080.0,30.4,154414.0,3.0,1850.0,9
35,United Kingdom,2011,13097682646.0,3444324729.0,762388.0,696289.0,68.1,463.8,43.4,183.1,0.7,25.8,,,,,81000.0,3686.0,150333.0,488882.0,,,4446.0,3478.0,1050.0,,158.0,212710.0,157068.0,31.0,151474.0,3.1,1901.0,13
54,United Kingdom,2012,14323368265.0,3450578227.0,772212.0,703197.0,68.1,464.7,42.5,180.8,0.7,25.8,,,16195.0,31764.0,79000.0,3733.0,147595.0,487052.0,,,4446.0,3659.0,1050.0,,158.0,204733.0,151346.0,28.3,145571.0,2.8,1754.0,10
73,United Kingdom,2013,14456300047.0,3145366227.0,770187.0,699484.0,,468.3,41.0,180.2,0.7,27.6,1599484.0,542981.0,16195.0,31781.0,75000.0,3756.0,,,,,,5252.0,1050.0,39.0,158.0,192693.0,144426.0,27.6,,2.8,1713.0,11
92,United Kingdom,2014,18152263145.0,2881340526.0,789939.0,716224.0,,472.3,37.7,166.3,0.8,29.3,1679746.0,546065.0,16202.0,31809.0,,3760.0,,501511.0,,,,4956.0,1050.0,38.0,158.0,203865.0,152407.0,28.7,,2.8,1775.0,11
111,United Kingdom,2015,23733545455.0,3164292011.0,797445.0,721385.0,,478.7,40.5,185.6,0.9,30.1,1722081.0,568208.0,16241.0,31883.0,64000.0,3768.0,,509709.0,,,,3575.0,1050.0,37.0,158.0,195926.0,146203.0,27.7,,2.7,1730.0,9
130,United Kingdom,2016,22072500916.0,2505871291.0,809674.0,731444.0,,484.6,45.2,206.3,0.9,31.2,1772563.0,565660.0,16253.0,31910.0,58400.0,3764.0,,519728.0,,,,3394.0,1050.0,39.0,158.0,190975.0,142846.0,28.3,,2.8,1792.0,9
149,United Kingdom,2017,22246139710.0,2018065289.0,824851.0,745355.0,,486.8,45.9,211.3,0.9,29.2,1757359.0,566687.0,16320.0,31735.0,53000.0,3803.0,,526423.0,,,,3645.0,1050.0,38.0,158.0,180177.0,136063.0,28.1,,2.8,1793.0,10
167,United Kingdom,2018,22216153933.0,2331094033.0,837688.0,756707.0,,488.9,42.2,200.8,0.9,27.9,,,,,48849.0,,,,,,,3149.0,1050.0,,158.0,169137.0,128384.0,27.7,,2.8,1784.0,17
185,United Kingdom,2019,22940922147.0,2311819218.0,852744.0,770194.0,,,41.8,,0.9,28.6,,,,,,,,,,,,,,,,162030.0,123212.0,27.1,,2.7,1752.0,24
202,United Kingdom,2020,,,,,,,,,,32.6,,,,,,,,,,,,,,,,121820.0,95222.0,22.7,,2.2,1460.0,31
