,Country,Year,Total inland transport infrastructure investment,Rail infrastructure maintenance,Total inland passenger transport,Road passenger transport,Total inland freight transport in tonne-km per one thousand units of current USD GDP,Road motor vehicles per one million units of current USD GDP,CO2 emissions from transport in tonnes per one million units of current USD GDP,Road traffic in vehicle-km per one thousand units of current USD GDP,Density of road (km per one hundred sq. km),Share of household expenditure for purchase of vehicles in total household expenditure for transport,Total passengers - Number (1 000),Total of train movements - Train-km [IV-07] (1 000),Total Lines - Length operated at 31.12 (km),Total Tracks - Length operated at 31.12 (km),Total mopeds - Number at 31.12 (Unit),Total motorways - Length operated at 31.12 (km),Total oil pipeline transport - Tonnes (1 000),Total vehicle movements - Vehicle-km (millions),Total gas pipelines - length at 31.12 - km,Total Locomotives - Number at 31.12,Total pipelines operated - Length at 31.12 (km),Total goods - Tonnes (1 000),Total inland waterways - Length at 31.12 (km),Total railway enterprises - Number at 31.12,Total self-propelled vessels - Number at 31.12 (Units),Road casualties (injured + killed),Road injury accident,Road fatalities per one million inhabitant,Total injury accidents - Number at 31.12 (Unit),Killed - rate per population,Killed,NaNs_at_this_row
17,United States,2010,69596774194.0,29785197468.0,6021705.0,5989833.0,429.2,437.4,112.0,318.5,0.6,29.9,637806.0,986794.0,154014.0,260595.0,,99543.0,,4774110.0,3383443.0,23893.0,292878.0,,19300.0,565.0,,2272000.0,1572000.0,106.7,1572000.0,10.7,32999.0,8
36,United States,2011,67886038658.0,29892218150.0,6079080.0,6046500.0,403.5,407.5,105.1,305.0,0.6,28.2,654156.0,1011718.0,,,,101410.0,,4748200.0,3413680.0,24250.0,295443.0,,19300.0,,,2249000.0,1530000.0,104.2,1560000.0,10.4,32479.0,11
55,United States,2012,75246577474.0,33972464219.0,6155742.0,6121616.0,394.7,404.9,98.6,293.9,0.6,29.4,663286.0,1031898.0,153517.0,261206.0,,102438.0,982791.0,4777833.0,3440938.0,24707.0,299693.0,,40000.0,574.0,1595.0,2396000.0,1634000.0,106.9,1665000.0,10.8,33782.0,7
74,United States,2013,71293479898.0,34207950610.0,6198646.0,6162599.0,395.8,407.9,98.1,286.5,0.6,30.1,675181.0,1051155.0,153266.0,260682.0,,103029.0,1014568.0,4809227.0,3459607.0,25033.0,309657.0,591600.0,40000.0,,,2346000.0,1621000.0,103.5,1621000.0,10.4,32893.0,8
93,United States,2014,74289584588.0,35252107164.0,6218169.0,6181776.0,388.7,411.9,93.6,277.8,0.6,31.2,694624.0,1076113.0,151877.0,,,104467.0,1057352.0,4869321.0,3491110.0,25916.0,321536.0,623500.0,40000.0,,,2371000.0,1648000.0,102.6,1648000.0,10.3,32744.0,9
112,United States,2015,96149062725.0,39639509733.0,6429086.0,6393042.0,366.6,415.3,93.2,273.1,0.6,34.8,699528.0,1034103.0,150680.0,258609.0,,106279.0,1081087.0,4981519.0,3524459.0,26574.0,335738.0,589500.0,40000.0,,,2478000.0,1747000.0,110.6,1747000.0,11.1,35484.0,8
131,United States,2016,96257003434.0,48263148382.0,6547948.0,6512056.0,349.4,417.3,91.3,272.1,0.6,35.5,703101.0,1109910.0,150215.0,257722.0,,107544.0,1138232.0,5108714.0,3556742.0,26716.0,341349.0,568200.0,40000.0,,,3098000.0,2151000.0,116.0,2211000.0,11.7,37806.0,8
150,United States,2017,95869122465.0,,6591557.0,6558301.0,340.8,408.7,88.2,264.6,0.6,34.7,691301.0,1135771.0,149910.0,257532.0,,108394.0,1195189.0,5169772.0,3577599.0,26547.0,347404.0,,40000.0,613.0,,2783000.0,1923000.0,115.3,,11.5,37473.0,10
168,United States,2018,95482014388.0,,,,,406.4,85.5,252.1,0.5,33.7,676176.0,1143716.0,149407.0,256806.0,,,,5214800.0,3602373.0,26086.0,351460.0,,40000.0,,,2747000.0,,111.9,,11.3,36835.0,17
186,United States,2019,105844051447.0,,,,,395.9,82.0,245.2,0.6,32.9,,,,,,,,,,,,,,,,,,109.9,,11.1,36355.0,28
203,United States,2020,,,,,,,,217.6,,40.7,,,,,,,,,,,,,,,,,,117.4,,11.8,38824.0,32
