,Country,Year,Total inland transport infrastructure investment,Rail infrastructure maintenance,Total inland passenger transport,Road passenger transport,Total inland freight transport in tonne-km per one thousand units of current USD GDP,Road motor vehicles per one million units of current USD GDP,CO2 emissions from transport in tonnes per one million units of current USD GDP,Road traffic in vehicle-km per one thousand units of current USD GDP,Density of road (km per one hundred sq. km),Share of household expenditure for purchase of vehicles in total household expenditure for transport,Total passengers - Number (1 000),Total of train movements - Train-km [IV-07] (1 000),Total Lines - Length operated at 31.12 (km),Total Tracks - Length operated at 31.12 (km),Total mopeds - Number at 31.12 (Unit),Total motorways - Length operated at 31.12 (km),Total oil pipeline transport - Tonnes (1 000),Total vehicle movements - Vehicle-km (millions),Total gas pipelines - length at 31.12 - km,Total Locomotives - Number at 31.12,Total pipelines operated - Length at 31.12 (km),Total goods - Tonnes (1 000),Total inland waterways - Length at 31.12 (km),Total railway enterprises - Number at 31.12,Total self-propelled vessels - Number at 31.12 (Units),Road casualties (injured + killed),Road injury accident,Road fatalities per one million inhabitant,Total injury accidents - Number at 31.12 (Unit),Killed - rate per population,Killed,NaNs_at_this_row
0,Austria,2010,2337000000.0,559000000.0,,,116.6,521.3,57.4,181.4,0.8,28.5,242092.0,157571.0,5828.0,,304000.0,1719.0,32393.0,75957.0,509.0,1436.0,1214.0,11052.0,351.0,23.0,,46410.0,35348.0,66.0,35348.0,6.6,552.0,7
1,Czech Republic,2010,2340524791.0,669805763.0,80977.0,74386.0,324.5,423.4,79.4,222.5,1.5,32.3,164802.0,153792.0,9568.0,15666.0,478000.0,734.0,11205.0,46381.0,,2085.0,674.0,833.0,676.0,24.0,46.0,25186.0,19676.0,76.6,19676.0,7.7,802.0,6
2,Finland,2010,1280000000.0,667000000.0,76244.0,72285.0,161.0,536.4,50.0,215.8,0.7,25.9,68950.0,51000.0,5919.0,8862.0,260000.0,779.0,,54715.0,1186.0,476.0,,303.0,8006.0,2.0,153.0,7945.0,6072.0,50.7,6072.0,5.1,272.0,4
3,France,2010,19853503953.0,2431000000.0,866108.0,763941.0,87.0,517.4,46.6,217.0,1.0,27.4,1084774.0,457643.0,30335.0,,,11392.0,71254.0,560429.0,,3413.0,9195.0,69244.0,5110.0,36.0,890.0,88453.0,67288.0,61.4,67288.0,6.4,3992.0,7
4,Germany,2010,17157000000.0,,1046778.0,962892.0,146.8,510.4,43.6,207.3,0.7,31.8,2369019.0,1051036.0,37877.0,69278.0,,12819.0,88842.0,,,5127.0,2370.0,229607.0,7728.0,125.0,1336.0,374818.0,288297.0,44.6,288297.0,4.5,3648.0,8
5,Hungary,2010,1112898288.0,328639180.0,76537.0,68845.0,383.2,301.3,88.3,310.4,1.1,20.2,140519.0,100586.0,7352.0,9178.0,,1477.0,13942.0,,5577.0,1077.0,2209.0,9952.0,1864.0,16.0,80.0,21657.0,16308.0,74.0,16308.0,7.4,740.0,7
6,Ireland,2010,1515666638.0,165000000.0,,,49.6,410.7,51.0,189.7,0.9,26.5,38070.0,21335.0,1927.0,2384.0,2700.0,900.0,,,13283.0,,,,,1.0,,8482.0,5780.0,46.5,5780.0,4.7,212.0,13
7,Italy,2010,8204000000.0,6437000000.0,847781.0,800609.0,95.9,620.0,51.1,,0.5,24.0,622283.0,301816.0,16704.0,24216.0,2550000.0,6668.0,126184.0,,31680.0,2837.0,4291.0,1259.0,1562.0,,47.0,308834.0,212997.0,69.4,212997.0,7.0,4114.0,8
8,Lithuania,2010,530000000.0,160000000.0,35290.0,34917.0,899.7,559.9,115.1,468.7,1.9,16.0,3795.0,14594.0,1768.0,2184.0,17276.0,309.0,14653.0,10014.0,1900.0,271.0,500.0,99.0,448.0,1.0,35.0,4529.0,3530.0,96.5,3530.0,9.5,299.0,3
9,Netherlands,2010,3649000000.0,1209000000.0,,,116.4,458.8,40.2,172.1,0.6,30.1,,139685.0,3013.0,,1028096.0,2646.0,,130192.0,,,,304298.0,6104.0,,,4291.0,3853.0,38.5,,3.2,537.0,17
10,Norway,2010,3153260055.0,1361104172.0,65852.0,62718.0,56.7,472.2,33.1,99.3,1.0,38.7,58437.0,42505.0,3958.0,4199.0,169000.0,381.0,39600.0,43847.0,8085.0,,1244.0,,,16.0,,9338.0,6434.0,42.5,6434.0,4.3,208.0,7
11,Poland,2010,7224530663.0,2636295369.0,248382.0,230461.0,600.6,453.1,98.2,415.4,2.0,30.5,261314.0,219704.0,20228.0,37840.0,922000.0,857.0,56208.0,199303.0,10451.0,4263.0,2362.0,2753.0,3659.0,48.0,79.0,52859.0,38832.0,102.7,38832.0,10.2,3908.0,3
12,Slovenia,2010,352000000.0,137000000.0,29632.0,28819.0,118.4,520.2,108.1,369.8,1.0,27.3,16220.0,19412.0,1228.0,2187.0,42320.0,607.0,,17826.0,,162.0,,,,1.0,,10454.0,7560.0,67.4,7560.0,6.7,138.0,11
13,Spain,2010,15520000000.0,,414987.0,392531.0,159.5,475.5,69.2,169.6,1.4,22.8,,206023.0,13853.0,18967.0,2290000.0,14262.0,27755.0,241131.0,8981.0,615.0,4365.0,,,15.0,,122823.0,85503.0,53.2,85503.0,5.3,2478.0,9
14,Sweden,2010,3321727472.0,873791493.0,129090.0,117935.0,120.5,458.6,41.7,154.8,0.9,25.6,179000.0,140412.0,11160.0,15497.0,78348.0,1971.0,,76836.0,,677.0,,,,29.0,,23571.0,16500.0,28.4,16500.0,2.8,266.0,10
15,Switzerland,2010,6450586022.0,1998263638.0,111596.0,92419.0,46.8,520.9,28.5,97.7,1.4,,493777.0,210546.0,5124.0,,140000.0,1406.0,5143.0,60036.0,,,109.0,6518.0,,62.0,15.0,24564.0,19609.0,41.8,19609.0,4.2,327.0,11
16,United Kingdom,2010,12870017478.0,3917271032.0,758832.0,695784.0,73.7,466.6,47.1,197.0,0.7,27.3,1366485.0,550932.0,15884.0,31324.0,81000.0,3672.0,149280.0,495917.0,,,4446.0,3456.0,1050.0,,158.0,217605.0,160080.0,30.4,154414.0,3.0,1850.0,9
17,United States,2010,69596774194.0,29785197468.0,6021705.0,5989833.0,429.2,437.4,112.0,318.5,0.6,29.9,637806.0,986794.0,154014.0,260595.0,,99543.0,,4774110.0,3383443.0,23893.0,292878.0,,19300.0,565.0,,2272000.0,1572000.0,106.7,1572000.0,10.7,32999.0,8
18,Israel,2010,,,,,,272.5,,213.1,,24.4,,,,,,,,,,,,,,,,29526.0,15318.0,49.2,,4.9,375.0,29
19,Austria,2011,2448000000.0,494000000.0,,,108.2,529.2,50.3,167.8,0.8,28.9,243981.0,151931.0,5500.0,,302000.0,1719.0,32876.0,77258.0,509.0,1428.0,1214.0,9943.0,351.0,37.0,,45548.0,35129.0,62.3,35129.0,6.2,523.0,7
20,Czech Republic,2011,1762359084.0,569721666.0,81471.0,74757.0,309.9,428.4,71.8,207.1,1.1,31.4,167932.0,153704.0,9572.0,15656.0,481000.0,745.0,10404.0,47541.0,,2076.0,674.0,911.0,676.0,28.0,44.0,26322.0,20487.0,73.6,20487.0,7.4,773.0,6
21,Finland,2011,1329000000.0,658000000.0,76912.0,73030.0,132.1,552.9,44.6,197.6,0.7,27.5,68376.0,51070.0,5944.0,8885.0,279000.0,790.0,,55360.0,1197.0,469.0,,340.0,8013.0,2.0,153.0,8223.0,6408.0,54.2,6408.0,5.4,292.0,4
22,France,2011,19928585274.0,2746000000.0,870125.0,764529.0,82.8,523.3,44.9,202.7,1.0,27.0,1125288.0,477209.0,30404.0,,,11413.0,,564963.0,,3500.0,,65666.0,5019.0,39.0,900.0,85214.0,65024.0,60.6,65024.0,6.3,3963.0,9
23,Germany,2011,17446000000.0,,1057771.0,972357.0,135.4,527.0,40.0,191.4,0.6,32.0,2512521.0,984000.0,37846.0,69222.0,,12845.0,86572.0,,,,2370.0,221966.0,7728.0,,1331.0,396374.0,306266.0,49.9,306266.0,4.9,4009.0,10
24,Hungary,2011,647012280.0,256474885.0,76316.0,68510.0,360.2,297.6,76.4,286.2,0.6,18.8,145669.0,102323.0,7487.0,9446.0,,1516.0,13860.0,36742.0,5785.0,1190.0,2215.0,7175.0,1864.0,,77.0,20810.0,15827.0,64.0,15827.0,6.4,638.0,6
25,Ireland,2011,1160086989.0,159000000.0,,,42.2,412.2,45.2,175.2,0.7,24.8,37222.0,21066.0,1931.0,2384.0,2380.0,900.0,,41681.0,13445.0,,,,,1.0,,7421.0,5230.0,40.6,5230.0,4.1,186.0,12
26,Italy,2011,8631000000.0,6220000000.0,814617.0,767772.0,75.3,625.0,47.6,,0.5,21.1,522948.0,275547.0,16726.0,24240.0,2550000.0,6668.0,116720.0,82357.0,32010.0,2488.0,4290.0,1224.0,1562.0,,109.0,295879.0,205638.0,65.0,205638.0,6.5,3860.0,7
27,Lithuania,2011,461000000.0,153000000.0,32697.0,32308.0,853.4,577.1,97.5,422.9,1.5,16.2,4127.0,15555.0,1768.0,2184.0,18775.0,309.0,14724.0,10149.0,1900.0,265.0,500.0,95.0,451.0,1.0,31.0,4215.0,3266.0,97.8,3266.0,9.7,296.0,3
28,Netherlands,2011,3686000000.0,323000000.0,,,109.7,463.4,37.7,163.3,0.6,29.0,,,3013.0,,1061676.0,2651.0,,130550.0,,,,344095.0,,,,,,39.6,,3.3,546.0,21
29,Norway,2011,3372768917.0,1615361913.0,66777.0,63701.0,48.4,479.8,27.5,86.1,0.9,37.9,59385.0,43293.0,3910.0,4191.0,172000.0,393.0,38900.0,44208.0,8113.0,,1244.0,,,15.0,,8531.0,6079.0,33.9,6079.0,3.4,168.0,7
