,Country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
0,Albania,421.9,393.9,406.9,345.6,321.4,295.7,216.3,197.1,177.9,192.1,187.9,182.7,183.6,193.0,187.4,215.2,194.1,177.6,145.7,143.1
1,Australia,195.7,204.1,185.8,147.1,125.0,112.6,108.3,91.9,86.4,86.2,73.4,61.4,58.2,61.9,63.8,77.1,77.4,72.3,71.8,73.2
2,Austria,94.0,101.5,102.3,89.7,79.1,77.6,69.6,60.6,52.2,54.0,57.4,50.3,52.9,53.7,51.2,60.6,60.6,58.8,54.4,56.3
3,Azerbaijan,447.6,456.1,469.4,432.7,436.2,318.1,230.8,114.3,97.7,95.9,93.6,87.9,91.9,98.3,100.4,128.1,167.4,186.2,178.5,172.4
4,Belarus,619.5,495.4,452.6,382.6,301.8,257.3,247.1,205.2,173.7,189.7,178.8,176.0,177.7,161.3,147.1,183.9,226.3,205.7,197.2,183.2
5,Belgium,103.4,106.9,97.7,81.4,72.7,67.6,64.9,58.0,53.0,54.9,53.7,48.6,49.7,46.4,45.6,56.4,54.2,50.1,46.5,46.9
6,Bulgaria,410.0,395.1,355.4,303.6,265.7,259.9,238.2,178.5,152.6,153.3,154.0,138.3,152.0,130.7,143.0,176.3,168.1,155.8,141.9,138.9
7,Canada,201.4,200.0,210.0,181.2,162.1,145.4,128.4,119.7,112.1,123.1,108.0,97.6,96.7,98.4,99.7,115.5,117.9,112.4,111.6,110.0
8,Chile,218.2,226.4,237.7,215.9,170.5,150.9,118.1,114.1,114.6,120.1,98.1,86.7,84.0,88.0,90.5,103.4,105.3,98.8,95.3,102.9
9,China,205.1,189.8,188.0,188.6,189.8,173.8,158.0,132.0,110.4,101.4,93.4,82.4,80.4,77.4,73.5,74.9,75.3,71.3,65.0,63.1
10,Croatia,199.5,189.8,174.7,146.6,126.2,119.7,114.7,103.4,87.5,97.6,98.0,92.1,98.1,96.8,96.8,118.8,118.2,118.5,103.2,107.2
11,Czech Republic,192.0,188.0,161.7,151.1,132.3,125.0,111.7,96.8,77.1,85.0,79.4,71.8,77.3,75.6,78.9,92.1,91.7,84.8,75.0,75.4
12,Denmark,73.2,73.2,68.5,58.2,52.1,50.5,47.9,44.3,39.4,41.1,40.5,37.1,35.6,33.3,32.7,39.8,39.0,36.8,34.8,34.8
13,Estonia,289.2,314.3,282.2,202.8,168.3,152.3,135.9,108.8,97.0,107.8,113.9,95.8,98.1,88.1,83.2,99.6,96.6,90.0,80.4,76.6
14,Finland,93.2,91.8,86.0,71.5,63.8,61.6,59.0,51.3,43.8,47.2,50.0,44.6,46.4,43.6,38.9,45.6,49.5,44.2,41.7,41.3
15,France,97.0,97.4,89.3,72.0,62.8,59.5,56.5,49.0,42.4,45.5,46.6,44.9,47.5,45.0,44.3,52.4,51.9,49.7,45.2,46.3
16,Georgia,310.8,358.4,356.7,310.4,234.7,236.2,202.9,203.1,136.3,201.5,184.6,153.2,148.7,178.8,195.1,252.8,283.4,238.3,213.6,223.2
17,Germany,89.1,87.1,80.4,65.6,58.3,54.7,51.3,43.3,39.8,43.1,43.6,40.0,42.1,40.8,39.7,46.9,46.4,44.4,39.9,41.6
18,Greece,144.8,145.0,129.6,103.7,88.8,87.9,81.5,71.7,62.4,74.8,74.0,69.4,67.8,68.4,69.4,85.4,89.0,84.4,80.9,85.5
19,Hungary,187.9,173.8,147.2,122.0,104.7,104.4,109.0,92.7,81.5,97.9,88.3,76.4,81.8,72.3,77.6,95.4,93.1,89.0,84.3,87.7
20,Iceland,69.6,77.4,68.4,56.0,48.6,39.8,51.5,44.6,50.5,67.5,61.5,53.7,54.2,50.6,45.8,48.4,44.6,39.6,38.9,40.8
21,India,199.7,193.5,190.6,166.0,153.7,140.1,128.5,120.7,128.8,135.9,115.5,111.8,119.0,118.0,115.4,120.1,117.6,111.0,110.6,106.5
22,Ireland,103.8,99.6,86.2,68.5,61.7,59.8,59.8,52.6,48.5,51.3,51.0,45.2,46.9,44.9,43.0,38.7,39.8,34.4,30.7,29.6
23,Israel,..,..,113.8,112.3,104.4,94.4,89.3,81.0,..,..,..,..,..,54.3,51.7,56.4,54.9,50.9,48.7,45.9
24,Italy,101.5,101.4,94.6,77.2,68.7,66.2,63.7,56.4,49.0,50.8,51.1,47.6,49.1,47.0,48.7,56.1,54.2,49.8,47.9,50.3
25,Japan,53.4,61.2,62.9,57.7,53.3,53.4,55.2,53.8,46.4,43.5,40.1,36.2,35.6,42.3,43.7,48.1,42.4,42.6,41.3,39.7
26,Korea,134.9,147.9,137.8,125.7,112.2,92.1,81.7,75.6,80.2,90.1,75.7,67.9,68.5,66.3,62.3,67.1,67.6,63.7,58.9,64.5
27,Latvia,267.0,301.1,271.5,232.9,199.6,177.0,154.1,121.0,99.2,118.1,133.2,98.6,96.3,90.8,91.9,112.2,109.9,106.4,94.2,94.7
28,Lithuania,263.9,271.4,241.2,185.7,169.2,155.5,143.6,126.8,104.7,110.7,115.1,97.5,99.7,92.0,98.0,122.0,126.3,119.1,112.6,114.8
29,Luxembourg,227.7,239.4,223.7,197.8,196.5,192.9,162.5,129.9,119.8,120.0,123.0,115.6,116.9,105.0,93.5,99.6,91.8,88.6,85.6,87.3
30,Malta,..,..,..,..,..,78.6,76.4,67.1,64.0,59.1,62.4,57.5,57.5,51.6,47.4,53.1,50.2,46.1,45.4,48.4
31,Mexico,149.2,142.6,142.2,159.6,156.9,148.4,140.9,137.9,136.2,164.1,142.4,128.5,127.0,118.2,115.1,128.6,144.3,130.2,120.2,115.8
32,Moldova,549.4,480.3,579.4,569.8,484.5,397.2,350.9,297.8,263.1,277.8,249.3,221.1,187.7,181.4,187.8,251.4,253.4,212.8,183.1,180.6
33,"Montenegro, Republic of",..,..,..,..,..,208.6,170.5,164.6,..,150.3,166.9,142.1,150.4,111.6,106.0,137.9,150.8,..,..,..
34,Netherlands,76.9,75.0,69.9,58.0,51.9,50.2,48.1,40.8,36.7,38.4,40.2,37.7,39.0,36.3,33.0,39.1,38.4,36.9,33.7,33.5
35,New Zealand,222.1,224.6,202.1,156.8,131.4,117.9,122.7,100.6,104.3,112.2,92.9,81.1,76.8,71.7,68.6,80.8,77.8,75.7,75.5,76.0
36,North Macedonia,259.3,254.7,245.5,199.9,177.7,163.3,149.0,140.7,120.8,136.8,144.0,135.4,139.6,142.8,142.2,178.5,192.4,188.8,168.3,183.3
37,Norway,70.4,70.5,62.7,55.2,49.2,42.3,39.6,35.6,30.1,35.3,33.1,27.5,26.3,26.7,28.2,37.0,37.3,30.6,28.4,28.5
38,Poland,156.6,140.4,130.0,129.9,125.8,112.7,111.0,98.7,83.0,101.6,98.2,90.3,92.0,82.9,80.7,97.6,112.7,116.9,107.8,107.9
39,Portugal,148.5,146.8,137.2,117.6,105.1,96.7,91.1,79.7,73.0,77.5,77.8,70.2,73.2,68.9,68.2,79.1,79.2,75.4,69.4,71.8
40,Romania,253.7,285.9,255.9,214.9,171.9,122.6,102.6,76.0,69.3,85.5,83.1,76.6,89.8,78.2,76.4,86.6,87.5,83.1,74.9,74.3
