,Country,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
0,Argentina,(e) 12.6,(e) 12.3,(e) 12.3,(e) 12.3,12.4,..,12.7,(e) 12.7,(e) 12.3,(e) 10.9,..
1,Australia,6.1,5.7,5.7,5.1,4.9,5.1,5.4,(p) 5.0,(p) 4.5,(p) 4.7,..
2,Austria,6.6,6.2,6.3,5.4,5.1,5.6,5.0,4.7,4.6,4.7,3.9
3,Belgium,7.8,8.0,7.5,6.8,6.7,6.8,5.9,5.4,5.3,5.6,4.3
4,Canada,6.6,5.9,6.0,5.5,5.2,5.3,5.2,5.1,5.2,(p) 4.7,(e) 4.6
5,Chile,12.1,11.8,11.3,(e) 11.9,(e) 11.9,(e) 11.9,(e) 12.0,(e) 10.5,(e) 10.4,(eb) 10.3,(e) 9.2
6,Colombia,12.3,11.8,11.8,12.7,13.3,13.8,14.8,13.7,13.7,13.3,10.8
7,Czech Republic,7.7,7.4,7.1,6.2,6.5,7.0,5.8,5.5,6.2,5.8,4.8
8,Denmark,4.6,4.0,3.0,3.4,3.2,3.1,3.7,3.0,3.0,3.4,2.8
9,Finland,5.1,5.4,4.7,4.8,4.2,4.9,4.7,4.3,4.3,3.8,4.0
10,France,6.4,6.3,5.8,5.1,5.3,5.4,5.4,5.3,5.0,5.0,3.9
11,Germany,4.5,4.9,4.5,4.1,4.2,4.3,3.9,3.9,4.0,3.7,3.3
12,Greece,11.2,10.3,8.9,8.0,7.3,7.3,7.6,6.8,6.5,6.4,5.4
13,Hungary,7.4,6.4,6.1,6.0,6.3,6.6,6.2,6.4,6.5,6.2,4.7
14,Iceland,2.5,3.8,2.8,4.7,1.2,4.9,5.4,4.7,5.2,1.7,2.2
15,Ireland,4.7,4.1,3.6,4.1,4.1,3.5,3.9,3.2,(p) 2.8,(p) 2.9,(p) 3.0
16,Israel,4.9,4.9,3.7,3.8,3.9,4.2,4.4,4.2,3.6,3.9,..
17,Italy,7.0,6.5,6.3,5.7,5.6,5.6,5.4,5.6,5.5,5.3,4.0
18,Japan,4.6,4.3,4.1,4.1,3.8,3.8,3.7,3.5,3.3,3.1,..
19,Korea,11.1,10.5,10.7,10.1,9.4,9.1,8.4,8.1,7.3,6.5,6.0
20,Lithuania,9.5,9.7,(p) 10.0,8.7,9.1,8.2,6.5,6.7,6.2,6.7,(p) 6.3
21,Luxembourg,6.4,6.4,6.5,8.4,6.4,6.4,5.6,4.2,6.0,3.6,4.2
22,Netherlands,3.2,3.3,3.4,2.8,2.8,3.1,3.1,3.1,..,..,..
23,New Zealand,(e) 8.6,(e) 6.4,(e) 6.9,(e) 5.7,(e) 6.5,(e) 6.9,(e) 7.0,(e) 7.9,(e) 7.7,(e) 7.1,..
24,Norway,4.3,3.4,2.9,3.7,2.9,2.3,2.6,2.0,2.0,2.0,1.7
25,Poland,10.2,10.9,9.3,8.7,8.4,7.7,8.0,7.5,7.5,7.7,6.6
26,Portugal,8.9,8.4,6.8,6.1,6.1,5.7,5.4,5.8,6.6,(p) 6.0,..
27,Serbia,9.0,10.1,9.5,9.1,7.5,8.4,8.6,8.2,7.8,7.7,..
28,Slovenia,6.7,6.9,6.3,6.1,5.2,5.8,6.3,5.0,4.4,4.9,3.8
29,Spain,5.3,4.4,4.1,3.6,3.6,3.6,3.9,3.9,3.9,3.7,2.9
30,Sweden,2.8,3.4,3.0,2.7,2.8,2.7,2.7,2.5,3.2,2.2,2.0
31,Switzerland,4.2,4.1,4.3,3.3,3.0,3.1,2.6,2.7,2.7,2.2,2.6
32, United Kingdom,3.0,3.1,2.8,2.8,2.9,2.8,2.8,2.8,2.8,2.7,2.3
33,United Kingdom,3.0,3.1,2.8,2.8,2.8,2.7,2.8,2.8,2.8,2.7,2.2
34,Northern Ireland,3.0,3.3,2.6,3.1,4.3,4.0,3.7,3.4,2.9,3.0,3.0
35,United States,10.7,10.4,10.8,10.4,10.3,11.1,11.7,11.5,11.3,11.1,(p) 11.8
