,Country,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
0,Argentina,5 094,5 040,5 074,5 209,5 279,..,5 550,5 611,5 493,4 892,..
1,Australia,1 350,1 277,1 299,1 185,1 151,1 205,1 295,1 223,1 135,(p) 1 187,(p) 1 094
2,Austria,552,523,531,455,430,479,432,414,409,416,344
3,Belgium,850,884,827,764,745,762,670,609,604,644,499
4,Canada,2 238,2 023,2 075,1 951,1 841,1 887,1 900,1 861,1 939,(p) 1 762,(e) 1 746
5,Chile,2 070,2 044,1 979,2 103,2 116,2 136,2 178,1 925,1 955,(b) 1 973,1 794
6,Colombia,5 418,5 248,5 320,5 757,6 118,6 406,6 936,6 505,6 629,6 577,5 447
7,Czech Republic,802,773,742,654,688,735,611,577,658,617,517
8,Denmark,255,220,167,191,182,178,211,175,171,199,163
9,Finland,272,292,255,258,229,270,258,238,239,211,223
10,France,3 992,3 963,3 653,3 268,3 384,3 461,3 477,3 448,3 248,3 244,2 541
11,Germany,3 648,4 009,3 600,3 339,3 377,3 459,3 206,3 180,3 275,3 046,2 719
12,Greece,1 258,1 141,988,879,795,793,824,731,700,688,584
13,Hungary,740,638,605,591,626,648,608,625,634,602,462
14,Iceland,8,12,9,15,4,16,18,16,18,6,8
15,Ireland,212,186,163,188,192,162,182,155,(p) 137,(p) 140,(p) 147
16,Israel,375,382,290,309,319,356,377,364,316,355,305
17,Italy,4 114,3 860,3 753,3 401,3 381,3 428,3 283,3 378,3 334,3 173,2 395
18,Japan,5 828,5 535,5 261,5 165,4 838,4 885,4 698,4 431,4 166,3 920,3 416
19,Korea,5 505,5 229,5 392,5 092,4 762,4 621,4 292,4 185,3 781,3 349,3 081
20,Lithuania,299,296,(p) 301,258,267,239,188,191,173,186,(p) 175
21,Luxembourg,32,33,34,45,35,36,32,25,36,22,26
22,Netherlands,537,546,562,476,476,531,533,535,..,..,..
23,New Zealand,375,284,308,253,293,318,327,378,378,352,(p) 306
24,Norway,208,168,145,187,147,117,135,106,108,108,93
25,Poland,3 908,4 189,3 571,3 357,3 202,2 938,3 026,2 831,2 862,2 909,2 491
26,Portugal,937,891,718,637,638,593,563,602,675,(p) 621,..
27,Serbia,660,731,688,650,536,599,607,579,548,534,..
28,Slovenia,138,141,130,125,108,120,130,104,91,102,80
29,Spain,2 478,2 060,1 903,1 680,1 688,1 689,1 810,1 830,1 806,1 755,1 370
30,Sweden,266,319,285,260,270,259,270,252,324,221,204
31,Switzerland,327,320,339,269,243,253,216,230,233,187,227
32, United Kingdom,1 905,1 960,1 802,1 770,1 854,1 804,1 860,1 856,1 839,1 808,1 516
33,United Kingdom,1 850,1 901,1 754,1 713,1 775,1 730,1 792,1 793,1 784,1 752,1 460
34,Northern Ireland,55,59,48,57,79,74,68,63,55,56,56
35,United States,32 999,32 479,33 782,32 893,32 744,35 484,37 806,37 473,36 835,36 355,(p) 38 824
