,Country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
0,Albania,620,547,478,510,1 110,1 180,1 342,1 728,1 554,1 833,2 069,2 472,2 569,2 798,2 617,2 692,2 779,2 611,2 291,2 044,1 598
1,Argentina,..,..,..,..,..,..,..,..,..,95 665,96 510,98 076,122 062,118 925,85 984,..,..,(P) 118 593,..,..,..
2,Armenia,1 377,1 495,1 448,1 546,1 751,2 084,2 421,3 091,(E) 3 532,(E) 3 078,(E) 2 964,(E) 3 681,(E) 4 050,(E) 4 310,4 776,5 084,4 718,5 458,..,..,..
3,Australia,28 591,29 066,29 483,29 891,30 330,32 069,33 740,34 005,34 839,35 039,34 008,35 233,35 367,36 322,36 707,38 252,40 204,..,..,..,..
4,Austria,55 905,57 223,57 640,57 812,56 735,54 002,52 660,53 902,51 200,49 791,46 410,45 548,(B) 51 426,48 499,48 100,47 845,48 825,47 672,46 934,45 556,38 074
5,Azerbaijan,2 199,2 787,3 128,3 415,3 577,4 733,4 633,4 539,4 284,3 974,3 796,4 047,4 165,4 112,3 800,3 159,2 762,2 469,2 433,2 523,2 106
6,Belarus,8 088,7 997,9 200,9 125,9 210,9 720,10 558,9 508,9 141,8 520,8 022,7 534,6 608,5 927,5 611,5 088,4 511,4 209,4 229,4 323,4 307
7,Belgium,69 431,66 780,66 342,66 602,64 155,64 244,64 558,65 445,63 941,62 338,59 872,62 195,57 146,53 876,53 982,52 593,51 928,49 081,49 357,47 832,37 112
8,Bosnia-Herzegovina,..,..,..,..,..,..,10 397,12 320,12 318,11 434,10 421,10 395,9 478,10 052,10 364,10 205,11 509,10 527,10 680,10 552,8 819
9,Bulgaria,9 042,8 995,9 059,9 448,10 251,11 069,11 258,10 833,11 013,9 575,8 854,8 958,8 794,9 376,9 299,9 679,10 082,9 362,9 077,9 127,7 584
10,Canada,225 752,219 300,225 586,218 900,208 839,207 599,202 847,195 498,178 825,172 986,174 319,169 764,168 802,166 476,158 398,162 693,160 754,154 634,151 004,(P) 142 563,..
11,Chile,48 356,46 906,45 666,47 038,48 265,49 416,48 676,55 646,57 066,53 681,54 554,55 779,54 746,61 209,59 505,59 588,65 227,63 644,59 442,(B) 59 462,43 634
12,China,..,..,..,..,587 941,568 649,520 594,462 091,378 403,342 884,319 299,299 808,284 324,272 263,270 405,257 902,289 523,273 426,321 726,318 864,..
13,Croatia,21 156,22 740,24 550,26 854,24 879,22 370,23 750,25 711,23 059,22 471,18 759,18 483,16 403,15 642,14 530,15 372,14 903,14 939,14 306,13 182,10 272
14,Czech Republic,33 925,35 010,35 820,36 885,35 636,33 497,29 177,30 465,29 577,28 145,25 186,26 322,26 257,25 942,27 046,27 704,27 692,27 656,28 336,26 663,23 205
15,Denmark,9 590,8 896,9 254,8 844,7 915,6 919,6 821,7 062,6 329,5 250,4 408,4 259,3 778,3 585,3 375,3 334,3 439,3 318,3 458,3 275,..
16,Estonia,2 047,2 642,3 091,2 704,3 045,3 197,3 712,3 467,2 530,2 031,1 799,1 980,1 794,1 761,1 790,1 792,1 917,1 773,1 899,1 785,1 637
17,Finland,8 904,8 844,8 571,(B) 9 467,9 166,9 362,8 916,8 826,8 857,8 336,7 945,8 223,7 343,6 939,6 934,6 678,6 169,5 812,5 542,5 224,(P) 4 614
18,France,169 760,161 665,145 081,121 660,113 959,113 394,106 834,107 821,98 073,95 207,88 453,85 214,79 504,73 875,76 432,74 263,76 122,76 832,73 135,73 734,58 377
19,Georgia,2 582,2 926,3 024,3 157,4 706,6 127,7 759,8 086,9 930,8 999,8 245,7 164,8 339,8 559,9 047,9 789,10 532,8 978,9 506,8 402,7 090
20,Germany,511 577,501 752,483 255,468 783,445 968,438 804,427 428,436 368,413 524,401 823,374 818,396 374,387 978,377 481,392 912,396 891,399 872,393 492,399 293,387 276,330 269
21,Greece,32 800,28 216,24 093,22 342,21 849,23 706,22 332,21 378,20 563,20 097,20 366,18 400,16 628,16 054,15 359,14 889,14 649,14 002,13 849,13 690,(P) 11 326
22,Hungary,23 898,25 388,27 407,27 953,29 350,28 783,29 280,28 684,26 365,24 096,21 657,20 810,19 584,20 681,20 750,21 543,21 936,22 076,22 632,22 198,18 176
23,Iceland,1 520,1 302,1 514,1 244,1 179,1 032,1 358,1 673,1 585,1 299,1 261,1 217,1 044,1 232,1 172,1 324,1 429,1 387,1 289,1 136,1 015
24,India,..,..,..,..,..,560 250,602 230,627 784,643 053,641 118,662 025,653 897,647 925,632 465,633 145,646 412,645 409,618 888,..,..,..
25,Ireland,12 458,10 633,9 582,8 597,8 241,9 714,8 940,8 144,8 200,9 980,8 482,7 421,8 105,7 068,8 271,8 002,7 955,7 937,(P) 8 150,..,..
26,Israel,42 164,38 741,39 612,38 413,38 168,36 921,37 313,34 265,33 349,33 235,29 526,28 643,25 394,(B) 26 364,23 840,24 248,24 191,24 987,23 019,22 986,18 226
27,Italy,374 135,380 382,385 471,363 038,349 301,340 676,338 624,330 981,315 470,311 495,308 834,295 879,270 617,261 494,254 528,250 348,252 458,250 128,245 946,244 557,161 644
28,Japan,1 164 780,1 189 796,1 176 425,1 189 449,1 191 053,1 164 050,1 104 979,1 040 448,950 912,916 194,901 245,859 304,829 830,785 880,715 487,670 140,622 757,584 544,529 378,464 990,372 315
29,Kazakhstan,..,..,..,19 705,21 930,20 796,23 660,23 316,19 751,17 686,16 675,25 351,20 510,32 909,28 527,26 508,25 779,24 342,22 541,17 367,19 841
30,Korea,437 220,394 636,355 371,383 715,353 550,348 609,346 556,342 072,344 832,367 713,357 963,346 620,349 957,333 803,342 259,355 021,336 012,327 014,326 818,345 061,309 275
31,Latvia,6 037,6 369,6 818,7 132,6 932,6 042,5 811,6 507,5 724,4 184,4 241,4 403,4 356,4 517,4 815,4 754,4 806,4 954,4 946,4 688,4 205
32,Liechtenstein,156,171,138,152,124,111,97,116,110,112,114,107,109,113,101,113,105,89,121,103,110
33,Lithuania,7 601,7 809,8 125,7 975,8 614,9 239,9 012,8 783,6 317,4 796,4 529,4 215,4 253,4 263,4 014,3 836,3 941,3 752,3 563,3 955,3 369
34,Luxembourg,1 333,1 248,1 165,1 105,1 040,1 100,1 132,1 371,1 274,1 204,1 217,1 341,1 412,1 297,1 261,1 384,1 235,1 307,1 254,..,..
35,Malta,1 184,1 231,1 312,1 188,1 281,1 156,1 196,1 209,1 172,1 069,1 079,1 577,1 599,1 582,1 796,1 711,1 852,1 873,..,..,..
36,Mexico,43 658,43 823,40 318,36 114,35 877,36 978,38 144,38 978,38 148,36 525,33 241,30 454,29 284,24 878,21 288,19 285,14 551,11 831,11 755,11 545,..
37,Moldova,3 553,3 810,3 917,3 641,3 293,3 161,3 189,3 448,4 015,3 784,4 197,3 978,3 951,3 521,3 404,3 334,3 239,3 293,3 397,3 308,2 510
38,"Montenegro, Republic of",..,..,..,..,..,2 037,2 342,2 918,2 585,2 578,2 194,2 133,1 768,1 886,1 900,2 224,2 423,2 711,..,..,..
39,Netherlands,12 673,12 112,12 084,11 684,10 368,10 218,9 862,10 474,(E) 9 500,(E) 7 676,(E) 4 291,..,..,..,..,..,..,..,..,..,..
40,New Zealand,11 524,12 932,14 468,14 989,14 535,15 059,15 789,16 628,15 724,15 087,14 504,12 960,12 528,12 187,11 595,12 665,13 108,14 417,15 076,15 101,(P) 13 153
41,North Macedonia,2 502,1 937,2 600,2 868,3 077,4 319,5 076,6 306,6 886,6 891,6 357,7 025,6 281,6 682,6 186,6 061,6 136,6 379,5 993,5 296,5 866
42,Norway,12 003,11 797,12 705,12 131,12 378,11 438,11 368,12 315,11 123,10 056,9 338,8 531,8 340,7 029,6 438,5 804,5 674,5 368,5 049,4 466,4 529
43,Poland,77 932,73 728,73 325,69 540,70 373,66 635,64 366,68 807,67 534,60 618,52 859,53 690,49 369,47 416,45 747,42 716,43 792,42 297,40 221,38 386,28 954
44,Portugal,61 553,58 510,58 054,56 614,53 144,50 343,47 987,47 172,44 709,47 151,47 302,42 851,38 823,39 390,39 653,41 549,41 668,44 495,44 005,45 977,..
45,Romania,8 814,8 424,8 175,7 773,8 012,8 509,(B) 28 711,32 404,39 996,38 320,34 791,35 509,36 251,33 325,34 152,38 790,41 475,42 162,40 576,41 533,..
46,Russian Federation,208 995,218 706,248 921,279 521,285 892,308 821,318 086,325 514,300 819,283 143,277 202,279 801,286 609,285 462,278 751,254 311,241 448,234 462,233 067,227 858,199 192
47,"Serbia, Republic of",17 658,21 146,15 585,16 787,18 510,17 713,19 305,23 163,23 172,22 320,19 982,20 040,19 090,19 118,18 529,19 909,21 212,21 717,21 198,20 725,17 596
48,Slovak Republic,10 722,11 464,10 889,11 974,11 798,11 090,11 300,11 971,11 646,8 918,8 503,7 382,6 790,6 562,6 912,7 059,7 216,7 160,7 175,6 835,5 623
49,Slovenia,11 887,12 951,14 198,16 945,18 997,14 572,16 337,16 330,12 623,12 285,10 454,9 814,9 278,8 867,8 328,8 830,8 586,8 005,7 779,7 672,5 784
50,Spain,155 557,155 116,152 264,156 034,143 124,137 251,147 554,146 344,134 047,127 680,122 823,117 687,117 793,126 400,128 320,136 144,142 200,140 992,140 415,141 113,..
51,Sweden,22 623,22 913,25 307,27 632,27 062,26 899,27 081,27 220,26 645,25 639,(B) 23 571,22 679,23 110,20 522,17 795,19 902,18 933,19 914,18 825,17 940,15 558
52,Switzerland,30 650,30 704,30 287,30 644,29 256,27 163,27 088,27 516,25 913,25 479,24 564,23 562,22 557,21 648,21 764,21 791,21 608,21 643,22 064,21 467,20 022
53,Turkey,142 261,120 589,120 505,122 160,140 864,158 591,173 713,194 064,188 704,205 704,215 541,241 909,271 829,278 514,288 583,(B) 311 951,311 112,307 810,313 746,288 707,231 132
54,Ukraine,41 821,44 180,43 898,54 607,60 602,63 228,67 610,88 102,70 972,51 023,43 850,43 086,42 650,42 354,(B) 36 448,35 603,37 023,38 109,..,..,..
55,United Kingdom,335 003,326 451,314 519,300 932,290 347,279 176,267 586,257 216,240 456,231 913,217 605,212 710,204 733,192 693,203 865,195 926,190 975,180 177,169 137,162 030,(P) 121 820
56,United States,(E) 3 231 000,(E) 3 075 000,(E) 2 969 000,(E) 2 932 000,(E) 2 831 000,(E) 2 742 000,(E) 2 575 000,(E) 2 532 000,(E) 2 383 000,(E) 2 251 000,(E) 2 272 000,(E) 2 249 000,(E) 2 396 000,(E) 2 346 000,(E) 2 371 000,(E) 2 478 000,(B) 3 098 000,(E) 2 783 000,(PE) 2 747 000,..,..
57,Uzbekistan,13 806,13 963,13 511,13 421,13 470,13 969,14 009,13 959,13 832,13 768,13 713,13 389,13 091,12 751,12 870,12 782,12 418,12 110,10 720,10 017,8 553
