,Country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
0,Albania,90.6,97.1,81.9,85.5,104.1,102.3,92.6,129.3,102.8,129.1,121.2,110.8,115.2,101.9,91.4,93.7,93.5,77.3,74.3,79.5,63.8
1,Armenia,69.7,77.7,77.5,83.5,86.3,104.0,112.2,126.5,140.0,112.5,(E) 102.2,(E) 113.7,(E) 107.8,(E) 109.1,102.0,118.3,90.9,94.7,..,..,..
2,Australia,85.0,81.6,77.6,72.6,71.7,72.2,70.2,69.8,61.9,62.1,56.0,51.5,56.1,54.6,49.2,49.1,52.0,49.7,48.6,47.2,42.5
3,Austria,121.8,119.1,118.3,114.6,107.4,93.3,88.3,83.3,81.6,75.9,66.0,62.3,(B) 63.0,53.7,50.3,55.4,49.4,47.1,46.3,46.8,38.6
4,Azerbaijan,74.1,68.9,78.6,87.9,97.6,126.9,121.0,129.0,120.0,103.9,102.2,110.8,125.6,123.6,117.9,92.6,77.8,76.1,72.6,81.9,68.8
5,Belarus,159.7,160.7,175.2,180.1,173.5,173.1,179.7,158.8,164.1,139.1,125.4,126.7,109.8,94.4,79.9,70.0,61.9,62.0,57.9,53.6,61.2
6,Belgium,143.4,144.5,130.9,117.2,111.6,107.9,104.9,103.0,91.5,88.5,78.0,80.1,74.5,68.5,66.5,67.6,59.1,53.5,52.9,56.1,43.2
7,Bosnia-Herzegovina,..,..,..,122.3,116.1,102.0,107.0,114.3,115.6,102.2,97.7,97.2,84.1,94.3,85.3,99.4,94.8,88.9,83.3,79.1,74.4
8,Bulgaria,123.9,126.2,122.4,123.5,122.2,125.0,137.2,133.3,141.6,121.0,104.9,89.4,82.3,82.7,91.4,98.6,99.3,96.4,87.0,90.0,66.8
9,Canada,94.6,88.9,93.1,87.8,85.6,89.9,88.1,83.7,73.1,65.9,65.8,58.9,59.8,55.6,52.0,52.9,52.6,50.9,52.3,(P) 46.9,..
10,Chile,143.9,130.9,128.2,139.7,142.5,130.5,131.2,129.4,138.7,116.0,121.3,118.6,113.7,119.7,119.2,118.9,119.6,104.2,104.4,(B) 104.1,93.8
11,Croatia,146.6,150.5,145.7,162.9,141.2,138.5,142.4,143.6,154.1,127.3,99.2,97.6,92.1,86.5,72.7,82.8,73.5,80.3,77.5,73.1,58.6
12,Czech Republic,144.9,130.6,140.3,141.9,135.5,125.9,103.8,118.7,103.6,86.3,76.6,73.6,70.6,62.2,65.4,70.0,57.8,54.5,61.7,57.9,48.4
13,Denmark,93.3,80.4,86.1,80.1,68.3,61.1,56.3,74.3,73.9,54.9,46.0,39.5,29.9,34.0,32.2,31.3,36.8,30.4,29.5,34.2,..
14,Estonia,146.0,143.4,161.7,119.6,124.8,125.5,151.5,146.2,98.7,74.9,59.3,76.1,65.8,61.5,59.3,50.9,54.0,36.4,50.7,39.2,45.1
15,Finland,76.5,83.5,79.8,(B) 72.7,71.7,72.2,63.8,71.9,64.7,52.3,50.7,54.2,47.1,47.4,41.9,49.3,46.9,43.2,43.3,38.2,(P) 40.1
16,France,132.6,133.0,123.9,97.3,89.2,84.2,74.0,72.2,66.4,66.0,61.4,60.6,55.6,49.5,51.0,52.0,52.1,51.5,48.4,48.2,37.7
17,Georgia,122.6,139.0,129.4,144.7,162.2,148.9,174.0,190.9,225.3,193.5,180.9,140.0,162.2,138.3,137.4,161.6,155.9,138.7,123.2,129.3,121.2
18,Germany,91.3,84.7,82.9,80.1,70.8,65.0,61.8,60.2,54.5,50.7,44.6,49.9,44.8,41.4,41.7,42.3,38.9,38.5,39.5,36.7,32.7
19,Greece,188.5,173.1,149.9,146.9,152.4,150.9,150.4,145.9,140.2,131.1,113.1,102.7,89.5,80.2,73.0,73.3,76.5,68.0,65.2,64.2,(P) 54.6
20,Hungary,117.5,121.6,140.7,130.9,128.2,126.7,129.4,122.5,99.2,82.0,74.0,64.0,61.0,59.7,63.4,65.4,61.9,63.9,64.8,61.6,47.2
21,Iceland,113.8,84.2,100.9,79.4,78.7,64.0,102.0,48.1,37.8,53.4,25.2,37.6,28.1,46.3,12.2,48.4,53.7,46.6,51.0,16.6,21.8
22,India,74.7,75.2,77.4,77.4,82.0,82.8,90.7,96.7,99.8,103.2,109.0,114.0,109.2,107.4,107.8,111.5,113.8,110.5,..,..,..
23,Ireland,109.1,106.3,95.6,83.8,91.9,95.2,85.4,76.8,62.1,52.5,46.5,40.6,35.4,40.7,41.2,34.5,38.3,32.2,(P) 28.6,(P) 28.4,..
24,Israel,82.0,87.7,83.4,71.8,74.2,67.1,62.2,57.8,59.2,46.2,49.2,49.2,36.7,(B) 38.3,38.8,42.5,44.1,41.8,35.6,39.2,33.1
25,Italy,124.0,124.5,122.3,114.5,106.1,100.4,97.5,87.8,80.3,71.7,69.4,65.0,63.0,56.5,55.6,56.4,54.2,55.8,55.0,53.1,40.2
