,Country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
0,Albania,428,400,328,363,801,850,1 015,1 254,1 208,1 465,1 564,1 876,1 870,2 075,1 914,1 992,2 033,1 978,1 718,1 498,1 234
1,Argentina,..,..,..,..,..,..,..,..,197 061,180 029,174 828,187 204,116 988,161 920,129 076,..,..,(P) 102 623,..,..,..
2,Armenia,937,1 021,1 002,1 025,1 164,1 312,1 574,1 943,2 202,2 002,(E) 1 974,(E) 2 319,(E) 2 602,(E) 2 824,3 156,3 399,3 203,3 535,..,..,..
3,Austria,42 126,43 073,43 175,43 426,42 657,40 896,39 884,41 096,39 173,37 925,35 348,35 129,(B) 40 831,38 502,37 957,37 960,38 466,37 402,36 846,35 736,30 670
4,Azerbaijan,1 987,1 985,2 193,2 311,2 388,3 179,3 197,3 104,2 970,2 792,2 721,2 890,2 892,2 846,2 635,2 220,2 006,1 833,1 817,1 870,1 587
5,Belarus,6 410,6 329,7 204,7 194,7 218,7 717,8 283,7 501,7 238,6 739,6 363,5 897,5 187,4 730,4 550,4 151,3 654,3 418,3 399,3 567,3 599
6,Belgium,49 065,47 444,47 619,50 479,48 670,48 968,49 008,49 618,48 703,47 619,45 745,47 761,44 259,41 347,41 474,40 300,40 123,38 025,38 453,37 719,30 232
7,Bosnia-Herzegovina,..,..,..,35 658,36 367,35 233,36 090,39 899,40 859,40 237,38 935,37 928,34 884,35 725,36 225,38 659,39 543,37 628,36 672,34 519,29 703
8,Bulgaria,6 886,6 709,6 769,6 997,7 612,8 224,8 222,8 010,8 045,7 068,6 609,6 639,6 717,7 015,7 018,7 225,7 404,6 888,6 684,6 730,5 710
9,Canada,155 838,151 438,156 415,152 980,147 588,148 110,145 103,141 070,129 764,125 456,125 636,124 199,124 682,122 143,116 292,119 550,118 321,114 412,111 334,(P) 105 792,..
10,Chile,(B) 30 772,29 714,28 373,29 323,29 927,30 268,29 795,34 525,35 668,33 567,34 331,35 156,34 591,39 301,38 476,38 734,42 285,41 743,39 194,(B) 39 246,28 870
