,Country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
0,Albania,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,151.6,146.9,160.5,175.0,..
1,Australia,..,506.7,514.0,521.0,528.1,534.3,540.6,550.3,555.5,554.3,556.9,558.4,559.3,562.1,566.4,568.9,571.1,572.3,573.6,571.8,571.5
2,Austria,500.5,509.4,517.4,(B) 490.9,496.1,499.4,502.7,506.9,510.2,513.6,521.3,529.2,535.4,540.6,543.1,543.2,543.5,548.1,554.1,560.7,565.1
3,Azerbaijan,41.2,42.3,43.0,44.9,..,57.1,..,..,79.9,84.9,90.1,95.0,103.1,..,..,117.1,..,116.4,117.8,..,..
4,Belarus,..,..,..,..,..,..,..,..,..,..,274.1,290.4,290.4,293.5,310.6,320.1,322.8,325.8,333.2,343.0,..
5,Belgium,456.3,460.8,463.3,464.6,467.7,469.3,471.8,475.1,479.0,480.9,484.3,489.8,490.1,492.3,495.6,498.8,504.1,508.6,512.3,512.6,509.6
6,Bosnia-Herzegovina,..,..,..,..,..,..,..,..,..,..,195.6,200.8,208.5,219.1,230.1,241.7,244.6,263.9,277.0,..,..
7,Bulgaria,243.9,260.5,277.4,297.0,315.9,331.4,(B) 232.6,275.9,315.8,336.1,351.8,366.8,384.2,400.6,417.2,440.5,441.0,391.6,394.8,405.7,..
8,Canada,455.8,466.1,460.6,474.2,451.0,454.4,455.7,472.7,486.7,(B) 591.1,596.0,600.1,594.9,606.0,613.2,618.1,620.6,620.6,624.2,624.4,..
9,Chile,..,..,..,..,..,..,..,109.1,115.3,118.9,127.3,137.1,148.3,158.6,168.6,173.9,180.0,186.6,195.7,201.8,196.6
10,Croatia,256.0,278.0,289.2,300.6,310.7,321.3,333.2,346.0,358.5,356.0,352.8,354.7,338.6,340.3,347.9,356.8,372.0,387.0,407.7,424.3,..
11,Czech Republic,335.4,336.6,346.2,357.8,363.4,373.7,386.7,399.0,412.1,423.5,423.4,428.4,435.9,447.6,449.3,458.3,484.1,501.0,521.0,538.6,553.8
