,Country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
0,Albania,(E) 5 299,(E) 5 370,(E) 6 065,(E) 6 495,(E) 6 481,(E) 6 925,(E) 7 350,(E) 7 040,(E) 6 437,(E) 7 370,(E) 7 905,(E) 7 980,(E) 7 637,(E) 8 650,..,..,..,..,..,..,..
1,Argentina,25 464,25 287,24 808,28 190,30 231,32 981,36 055,36 460,37 328,38 028,43 970,43 220,44 054,42 921,43 361,44 538,46 839,48 784,..,..,..
2,Armenia,1 437,1 678,1 813,1 959,(E) 2 066,(E) 2 223,(E) 2 436,(E) 2 521,(E) 2 521,..,..,..,..,..,..,..,..,..,..,..,..
3,Australia,256 806,254 427,260 519,267 143,279 136,279 905,275 481,278 957,280 756,279 947,281 770,284 789,287 595,290 398,294 665,300 053,307 192,312 475,313 901,..,..
4,Azerbaijan,9 153,9 442,9 603,9 861,10 279,10 892,11 786,12 893,14 041,15 291,16 633,18 264,20 034,21 880,22 992,23 825,24 429,24 886,25 276,25 950,16 974
5,Belgium,119 400,121 470,123 960,124 730,126 800,126 960,127 990,130 810,130 620,131 060,126 773,127 640,128 046,121 530,123 980,122 240,119 500,..,..,..,..
6,Canada,502 000,481 000,493 000,485 000,488 368,512 736,510 103,503 471,..,..,..,..,..,..,..,..,..,..,..,..,..
7,Czech Republic,(E) 73 291,(E) 74 078,(E) 74 958,(E) 76 809,(E) 76 086,(E) 77 248,(E) 79 131,(E) 81 059,(E) 81 749,(E) 81 784,(BE) 74 386,(E) 74 757,(E) 73 275,(E) 73 676,(E) 76 270,(E) 79 701,(E) 82 512,(E) 85 505,(E) 88 921,(E) 91 726,(E) 74 380
8,Denmark,64 194,63 386,63 473,64 016,65 452,65 517,66 191,67 815,67 791,67 236,66 612,66 612,67 039,67 551,67 027,67 544,66 544,..,..,..,..
9,Finland,63 400,64 700,66 000,67 260,68 545,69 450,69 995,71 325,70 940,71 870,72 285,73 030,72 810,72 655,73 060,73 835,(B) 65 262,(B) 74 800,74 800,74 700,70 900
10,France,747 054,770 918,777 226,779 163,777 323,767 290,765 879,771 178,756 610,757 177,763 941,764 529,(B) 815 772,820 574,832 529,842 236,853 942,860 795,858 872,851 214,(P) 677 340
11,Georgia,4 510,4 764,4 920,5 150,5 200,5 252,5 269,5 416,5 568,5 724,5 885,6 049,6 219,6 393,6 572,6 756,6 945,7 140,7 340,7 545,5 856
12,Germany,900 300,921 300,930 500,925 200,(B) 951 493,939 389,945 052,947 807,950 882,959 694,962 892,972 357,972 319,980 246,995 190,1 008 771,1 027 755,977 430,978 702,(P) 981 219,..
13,Greece,(E) 40 458,(E) 41 083,(E) 41 811,(E) 42 029,(E) 42 596,(E) 42 484,(E) 42 309,(E) 42 577,(E) 42 182,..,..,..,..,..,..,..,..,..,..,..,..
14,Hungary,64 622,64 506,64 702,66 122,67 529,66 638,69 630,70 447,70 984,70 477,68 845,68 510,68 661,68 788,(E) 70 163,(E) 72 221,(E) 74 977,(E) 78 745,(E) 82 607,(E) 85 756,(E) 77 150
15,Iceland,4 250,(E) 4 458,(E) 4 583,(E) 4 711,(E) 4 855,(E) 5 145,(E) 5 455,(E) 5 730,(E) 5 587,(E) 5 647,(E) 5 596,(E) 5 392,(E) 5 454,(E) 5 611,(E) 5 899,(E) 6 296,7 301,7 984,8 235,8 139,..
16,India,2 076 000,2 413 000,2 815 000,3 070 000,3 469 000,4 252 000,4 657 000,5 482 000,6 182 000,7 192 000,8 409 000,9 478 000,10 393 000,11 756 000,13 403 000,15 415 000,(E) 17 496 000,(E) 19 718 000,..,..,..
17,Italy,(B) 807 481,813 276,808 678,809 307,815 820,777 968,779 304,779 713,778 797,821 618,800 609,767 772,680 180,722 138,745 726,778 858,806 855,847 598,825 494,(E) 835 363,..
18,Japan,(B) 951 251,954 293,955 412,954 186,947 563,933 005,917 938,919 062,905 907,898 720,876 951,867 573,892 157,889 795,876 322,879 935,891 479,904 967,917 921,909 598,..
19,Kazakhstan,..,..,..,..,..,..,..,104 435,107 298,110 631,126 145,163 982,183 385,203 429,215 239,221 238,235 716,240 485,246 813,260 581,91 298
20,Korea,..,267 525,244 955,238 861,190 183,(B) 200 779,204 339,205 158,306 660,310 787,378 863,363 318,355 200,359 928,368 516,378 044,373 919,381 854,387 268,387 957,..
21,Lithuania,..,..,18 542,21 976,28 939,38 060,42 755,42 289,40 943,38 437,34 917,32 308,36 578,35 846,27 038,27 322,28 215,33 835,32 702,..,..
22,Malta,..,..,..,..,..,..,..,..,..,..,..,..,..,..,(P) 1 940,(P) 1 954,(P) 1 968,(P) 1 982,..,..,..
23,"Montenegro, Republic of",..,134,121,99,101,85,115,141,123,102,81,80,111,109,108,110,114,114,..,..,..
24,Netherlands,(E) 156 553,(E) 157 083,(E) 159 627,(E) 161 700,(E) 167 449,(E) 164 834,(E) 163 630,(E) 166 605,(E) 163 236,..,..,..,..,..,..,..,..,..,..,..,..
25,New Zealand,..,..,..,..,..,48 623,48 508,48 367,48 817,48 029,46 995,47 782,47 903,48 988,..,..,..,(B) 47 765,50 045,(P) 51 120,..
26,North Macedonia,(E) 6 519,(E) 6 337,(E) 6 591,(E) 6 784,(E) 6 022,(E) 5 722,(E) 5 387,(E) 5 518,(E) 6 000,(E) 6 009,(E) 6 667,(E) 7 530,(E) 7 110,(E) 7 944,(E) 9 243,(E) 9 263,(E) 9 261,11 499,11 698,11 731,..
27,Norway,55 314,56 463,57 612,58 007,58 573,58 339,59 196,60 943,62 103,62 744,(B) 62 718,(E) 63 701,(E) 64 482,(E) 65 224,(E) 67 273,(E) 68 789,(E) 69 251,(E) 70 548,(E) 71 131,(E) 71 779,(E) 65 599
28,Poland,(BE) 189 373,(E) 187 737,(E) 187 875,(E) 192 944,(E) 197 895,(E) 201 465,(E) 205 289,(E) 209 959,(E) 220 343,(E) 226 661,(E) 230 461,(BE) 229 229,(E) 228 743,(E) 231 117,(E) 236 190,(E) 238 150,(E) 250 092,(E) 257 610,(E) 268 386,(E) 280 716,(E) 243 441
