,Country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
0,Australia,481.6,521.4,469.0,404.3,342.3,311.5,293.0,245.7,227.9,229.4,191.7,159.1,152.1,(E) 161.5,(E) 168.9,(E) 203.5,(E) 206.5,(E) 192.7,(E) 190.7,(E) 193.0,..
1,Austria,324.4,330.7,313.4,262.6,231.8,221.7,212.0,186.3,163.7,174.4,181.4,167.8,176.8,170.3,169.8,201.8,200.6,194.1,184.9,..,..
2,Belgium,380.2,386.4,358.7,292.6,256.1,246.1,236.2,209.8,188.4,203.3,205.0,190.4,199.9,187.3,185.3,216.4,213.6,205.2,..,..,..
3,Canada,418.1,421.9,417.8,351.6,307.4,272.0,250.3,229.1,212.6,242.1,(B) 207.7,(E) 188.2,(E) 186.2,(E) 190.8,(E) 198.5,(E) 235.0,(E) 245.2,(E) 231.9,(E) 227.0,(E) 229.4,..
4,Chile,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,112.0,163.4,..
5,Croatia,640.1,662.0,623.5,525.2,466.9,439.8,407.0,359.6,311.3,340.4,350.0,329.5,359.1,347.4,354.6,428.0,424.8,410.0,381.9,399.7,354.7
6,Czech Republic,654.8,604.2,525.5,456.4,394.8,366.5,310.4,264.6,219.2,258.2,222.5,207.1,224.4,222.8,230.9,270.9,269.6,250.6,226.8,229.3,213.5
7,Denmark,284.8,284.5,268.4,..,190.7,176.2,(B) 168.4,(E) 153.7,(E) 139.8,(E) 142.7,(E) 140.2,(E) 134.3,(E) 150.1,(E) 143.9,(E) 143.6,(E) 172.3,(E) 170.1,(E) 162.5,(E) 153.0,157.3,..
8,Estonia,1 130.3,1 044.5,928.2,750.9,650.1,571.9,511.9,430.8,384.5,435.3,424.2,361.4,382.8,360.5,353.3,432.6,427.9,401.1,365.5,..,..
9,Finland,370.7,367.9,347.2,290.1,257.7,252.2,240.2,207.7,185.4,210.5,215.8,197.6,210.0,199.6,198.6,235.1,209.2,196.5,182.7,187.3,179.0
10,France,379.5,391.2,364.9,299.6,262.8,252.3,239.3,211.1,188.6,209.1,217.0,202.7,(B) 217.6,208.9,208.6,247.6,248.2,238.9,222.4,226.6,196.4
11,Germany,340.5,350.9,330.7,272.7,247.4,240.4,229.5,202.0,184.3,204.9,207.3,191.4,203.9,194.4,190.4,224.1,221.7,(B) 203.6,189.5,(P) 195.5,..
12,Hungary,698.3,613.9,492.2,409.6,351.7,330.4,342.4,295.9,273.5,324.7,310.4,286.2,313.0,296.4,..,..,..,..,..,288.5,..
13,Iceland,258.4,291.4,268.3,224.9,191.6,166.6,170.5,144.4,168.6,234.2,222.0,193.3,201.7,189.8,180.1,196.1,191.6,176.2,171.3,178.8,..
14,Ireland,359.6,346.3,282.0,230.8,205.7,198.6,195.2,178.5,158.4,190.5,189.7,(E) 175.2,(E) 180.7,(E) 175.0,(E) 171.2,(E) 158.0,(E) 160.1,(E) 143.7,(E) 123.1,118.1,..
15,Israel,274.9,287.3,312.7,305.9,293.7,292.5,280.5,251.3,218.0,235.0,213.1,194.2,194.8,175.0,169.0,182.7,179.6,169.0,165.2,160.1,..
