,Country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
0,Australia,30.4,30.5,30.5,30.4,28.1,26.4,25.5,24.6,20.7,21.3,19.8,19.5,20.8,20.4,21.3,22.9,22.7,21.7,20.4,21.2,..
1,Austria,32.5,32.3,31.1,32.0,31.9,30.3,29.7,28.3,27.3,30.3,28.5,28.9,27.3,26.3,25.4,26.5,27.7,27.7,26.7,25.8,29.1
2,Belgium,27.9,26.5,28.0,27.3,27.8,26.4,28.6,28.3,27.8,28.3,28.9,28.1,25.4,25.7,25.7,26.3,28.5,28.2,27.6,27.7,(P) 30.1
3,Bosnia-Herzegovina,15.7,15.5,15.7,16.0,15.1,18.3,17.3,16.9,15.8,16.4,15.1,14.4,13.7,13.6,13.7,14.1,13.3,12.8,13.8,13.5,11.9
4,Bulgaria,9.8,7.1,8.1,9.6,11.8,16.4,19.1,21.9,23.9,22.6,22.7,20.5,19.0,20.9,12.0,11.6,12.0,13.8,13.0,13.5,13.8
5,Canada,45.5,46.0,48.4,47.8,45.4,44.0,43.3,42.8,40.2,40.6,40.7,38.1,39.1,39.8,40.6,43.4,44.8,45.1,43.5,43.2,49.3
6,Croatia,28.1,29.8,32.9,33.3,31.8,34.8,34.4,30.6,25.5,24.6,24.3,23.9,23.7,21.5,22.0,22.6,25.5,25.2,24.9,25.2,(P) 20.8
7,Czech Republic,30.8,30.8,31.1,33.3,32.2,32.3,33.2,35.4,35.2,33.5,32.3,31.4,30.0,30.4,30.6,35.1,38.5,40.9,39.8,38.4,42.3
8,Denmark,34.8,32.9,36.1,32.9,39.6,43.0,44.5,42.8,36.9,30.1,30.2,29.8,29.9,30.7,31.3,33.1,33.8,33.6,34.6,35.3,..
9,Estonia,18.7,19.1,21.5,24.4,23.2,24.7,25.5,26.2,22.7,15.6,15.3,18.0,18.0,18.4,18.1,20.0,20.7,20.8,20.3,19.9,20.4
10,Finland,35.0,31.2,34.6,37.3,34.8,33.7,32.1,29.2,28.7,24.0,25.9,27.5,24.9,23.9,24.3,26.1,28.2,27.3,27.7,27.2,28.7
11,France,30.7,31.9,31.2,29.9,29.7,29.1,27.9,28.1,26.0,28.5,27.4,27.0,25.1,23.8,23.8,25.1,26.3,26.1,25.2,(P) 24.8,(P) 26.4
12,Germany,35.6,36.7,36.6,36.2,36.7,35.7,36.6,33.4,32.5,37.4,31.8,32.0,30.9,31.0,31.4,33.0,34.1,34.2,(P) 33.7,(P) 35.6,(P) 38.9
13,Greece,42.0,35.9,37.3,38.2,38.7,34.7,36.9,37.3,36.0,36.3,(B) 24.1,18.2,15.5,13.3,14.1,16.3,18.7,18.4,21.3,(P) 24.3,(P) 33.3
14,Hungary,29.8,30.9,34.2,41.3,38.8,37.0,35.0,34.1,31.9,23.9,20.2,18.8,18.9,19.4,20.1,21.3,23.1,22.0,23.1,25.4,(P) 29.1
15,Iceland,36.5,24.3,23.7,30.2,35.4,43.7,40.3,40.5,24.4,7.4,7.2,9.8,13.6,12.3,15.0,21.4,24.9,26.6,23.2,18.4,23.6
16,Ireland,49.4,44.1,42.8,41.4,41.4,42.3,41.0,40.3,35.6,23.7,26.5,24.8,22.5,23.0,28.5,33.7,37.8,36.0,35.5,35.9,37.2
17,Israel,31.0,27.7,26.8,22.7,24.1,22.3,21.8,26.6,25.8,23.0,24.4,23.4,21.8,23.7,26.8,24.2,29.9,23.9,24.1,25.0,33.4
18,Italy,28.8,28.1,28.1,27.8,28.0,27.3,27.5,28.3,24.5,27.3,24.0,21.1,19.0,18.4,18.7,21.5,23.9,24.9,24.9,25.1,28.5
19,Latvia,14.5,13.6,15.5,18.5,16.8,22.7,27.9,28.0,18.2,9.0,13.7,15.5,18.6,18.8,21.4,20.7,19.9,22.7,20.5,20.6,21.0
20,Lithuania,16.6,17.4,18.5,18.2,18.0,20.5,20.2,20.9,18.0,16.4,16.0,16.2,16.6,16.6,15.6,16.8,19.8,20.4,20.9,21.9,22.6
21,Luxembourg,32.8,34.9,37.2,37.2,36.6,34.4,36.2,35.5,30.2,33.7,30.5,26.4,25.5,23.1,23.7,26.1,30.7,29.2,29.5,29.1,29.0
22,Malta,40.2,36.3,34.0,34.2,33.7,31.6,28.1,35.1,31.8,31.7,30.2,29.9,27.6,25.6,25.3,27.0,28.5,26.9,26.3,25.0,28.5
23,Mexico,26.7,26.3,27.9,26.7,24.5,25.6,25.4,25.2,23.9,18.6,21.8,22.0,22.6,22.3,22.6,26.5,28.8,28.7,26.0,(P) 24.4,(P) 26.4
