,Country,2010,2011,2012,2013,2014,2015,2016,2017,2018
0,Albania,..,..,..,..,..,..,334,334,334
1,Armenia,..,..,703,703,703,703,703,703,..
2,Austria,5 828,5 500,5 566,5 531,5 531,5 522,5 491,5 527,5 526
3,Azerbaijan,2 079,2 079,2 068,..,..,2 068,..,..,2 133
4,Belarus,..,20 000,5 462,5 469,5 471,5 470,5 459,5 459,5 459
5,Bosnia-Herzegovina,1 027,1 027,1 027,..,1 027,1 027,1 018,1 018,1 018
6,Bulgaria,4 098,4 072,4 070,4 032,4 023,4 019,4 029,4 030,4 030
7,Canada,..,..,63 015,62 250,62 216,63 476,61 765,61 859,..
8,Croatia,2 722,2 722,2 722,2 722,2 604,2 604,2 604,2 604,2 604
9,Czech Republic,9 568,9 572,9 570,9 560,9 559,9 566,9 564,9 567,9 572
10,Denmark,..,..,..,2 095,2 095,2 031,2 045,1 987,1 987
11,Estonia,1 196,1 196,1 196,1 166,1 166,1 164,1 161,1 161,1 161
12,Finland,5 919,5 944,5 944,5 944,5 944,(B) 5 923,5 926,5 926,5 926
13,France,30 335,30 404,30 581,30 318,29 335,28 987,28 364,28 120,27 594
14,Georgia,..,..,1 418,1 578,1 576,..,1 576,..,..
15,Germany,37 877,37 846,37 941,37 860,37 775,38 466,38 623,38 594,38 416
16,Greece,2 552,2 554,2 554,2 586,2 238,2 240,2 240,2 240,..
17,Hungary,7 352,7 487,7 486,7 357,7 193,7 197,7 811,7 918,7 732
18,Ireland,1 927,1 931,1 931,1 931,1 931,1 931,1 931,1 931,2 045
19,Italy,16 704,16 726,16 742,16 752,..,..,16 788,16 787,16 781
20,Kazakhstan,15 016,14 892,15 333,14 767,..,14 767,15 530,16 040,16 061
21,Latvia,1 897,1 865,1 859,1 859,1 860,1 860,1 860,1 860,1 860
22,Lithuania,1 768,1 768,1 768,1 768,1 768,1 877,1 911,1 911,1 911
23,Luxembourg,275,275,275,275,275,275,275,271,271
24,Moldova,1 157,1 157,1 157,1 157,1 156,1 151,1 151,1 151,1 150
25,"""Montenegro, Republic of""",..,..,..,..,..,..,250,250,250
26,Netherlands,3 013,3 013,3 013,3 013,3 032,3 031,3 058,3 055,3 220
27,North Macedonia,699,699,699,699,699,699,683,683,683
28,Norway,3 958,3 910,3 891,3 897,3 906,3 896,3 895,3 895,3 887
29,Poland,20 228,20 228,20 094,19 328,19 240,19 231,19 132,19 209,19 235
30,Portugal,2 843,2 794,2 541,2 544,2 546,2 546,2 546,2 546,2 546
31,Romania,10 785,10 777,10 777,10 768,10 777,10 770,10 774,10 774,10 765
32,Russian Federation,85 652,85 526,85 607,85 266,85 266,86 251,86 364,86 534,86 614
33,"""Serbia, Republic of""",3 809,3 819,..,3 819,3 819,3 766,..,3 764,..
34,Slovak Republic,3 622,3 624,3 631,3 631,3 627,3 626,3 626,3 626,3 627
35,Slovenia,1 228,1 209,1 209,1 209,1 209,1 209,1 209,1 209,1 209
36,Spain,13 853,13 945,13 976,15 312,15 182,15 384,16 167,15 949,15 449
37,Sweden,11 160,11 206,11 136,10 957,10 881,10 908,10 882,10 874,10 906
38,Switzerland,5 124,..,..,..,..,5 196,..,..,..
39,Turkey,9 594,9 642,9 642,9 718,10 087,10 131,10 131,10 207,10 315
40,Ukraine,..,..,21 619,21 605,20 948,20 954,20 952,19 770,19 765
41,United Kingdom,15 884,..,16 195,16 195,16 202,16 241,16 253,16 320,..
42,United States,154 014,..,153 517,153 266,151 877,150 680,150 215,149 910,149 407
