,Country,2010,2011,2012,2013,2014,2015,2016,2017,2018
0,Albania,..,..,..,..,..,..,38,38,34
1,Austria,1 436,1 428,1 479,1 366,1 367,1 314,1 272,1 258,1 206
2,Azerbaijan,428,324,333,..,..,..,251,..,..
3,Belarus,..,..,832,829,826,788,765,768,763
4,Bosnia-Herzegovina,168,168,168,168,168,168,168,168,168
5,Bulgaria,484,456,439,458,..,..,..,..,..
6,Canada,2 886,..,3 139,3 169,3 178,3 183,3 157,3 029,..
7,Croatia,250,239,266,266,266,263,284,285,300
8,Czech Republic,2 085,2 076,2 088,1 932,1 895,1 920,2 003,2 010,1 999
9,Denmark,..,..,..,125,129,125,126,125,122
10,Estonia,319,304,292,294,297,287,287,281,276
11,Finland,476,469,469,376,371,369,371,383,390
12,France,3 413,3 500,3 554,3 601,3 558,3 569,3 562,3 490,3 367
13,Georgia,335,..,..,..,..,..,..,..,..
14,Germany,5 127,..,..,..,..,3 032,..,..,..
15,Greece,178,178,178,179,126,126,126,126,..
16,Hungary,1 077,1 190,1 163,1 131,1 166,1 153,1 170,1 167,1 133
17,Ireland,..,..,56,56,56,56,56,56,56
18,Italy,2 837,2 488,2 341,..,2 728,3 103,..,2 573,..
19,Kazakhstan,..,1 772,1 866,1 897,1 893,1 804,1 725,1 732,1 714
20,Latvia,252,254,250,257,254,255,259,247,221
21,Lithuania,271,265,253,267,239,229,230,216,216
22,Luxembourg,46,43,98,92,89,74,73,74,72
23,Moldova,152,150,139,138,138,138,138,134,134
24,"""Montenegro, Republic of""",..,..,..,..,..,..,31,31,28
25,North Macedonia,55,53,43,43,43,43,42,42,42
26,Poland,4 263,4 180,4 113,4 032,4 143,4 033,4 004,3 825,3 887
27,Portugal,..,..,..,..,170,111,111,119,121
28,Romania,1 834,1 823,1 796,1 795,1 779,1 795,1 769,1 769,1 721
29,Russian Federation,..,..,..,14 425,13 990,14 725,14 365,14 495,14 461
30,"""Serbia, Republic of""",333,339,..,339,337,311,..,226,..
31,Slovak Republic,967,983,973,984,973,952,940,881,850
32,Slovenia,162,156,156,156,156,156,156,155,155
33,Spain,615,606,554,534,557,..,390,433,455
34,Sweden,677,691,674,647,648,622,621,621,651
35,Turkey,608,587,598,590,620,653,668,668,664
36,Ukraine,..,..,4 285,4 121,3 896,3 895,3 895,3 574,3 593
37,United States,23 893,24 250,24 707,25 033,25 916,26 574,26 716,26 547,26 086
