,Country,2010,2011,2012,2013,2014,2015,2016,2017,2018
0,Albania,..,..,..,1 000,..,..,334,334,334
1,Armenia,..,..,703,703,703,703,703,703,..
2,Azerbaijan,2 079,2 079,2 068,2 068,2 066,2 068,..,..,2 133
3,Belarus,..,1 000,5 462,5 469,5 471,5 470,5 459,5 459,5 459
4,Bosnia-Herzegovina,1 027,1 027,1 027,1 027,1 027,1 027,1 018,1 018,1 018
5,Bulgaria,5 831,5 661,5 658,5 540,5 493,5 486,5 486,5 468,5 470
6,Canada,..,64 218,63 015,62 250,62 216,63 476,61 765,61 859,..
7,Croatia,4 102,4 101,4 105,4 090,4 014,3 968,3 950,3 942,3 940
8,Czech Republic,15 666,15 656,15 636,15 607,15 578,15 570,15 539,15 519,15 488
9,Estonia,2 167,2 164,2 164,2 146,2 146,2 144,2 141,2 141,2 140
10,Finland,8 862,8 885,8 883,8 523,8 485,(B) 8 483,8 520,8 513,8 525
11,France,..,..,..,30 318,29 335,28 987,28 364,28 120,27 594
12,Georgia,2 344,..,1 418,1 578,1 576,..,1 576,..,..
13,Germany,69 278,69 222,69 395,69 247,69 092,67 400,..,..,..
14,Greece,3 070,3 076,3 076,3 109,2 762,2 764,2 764,2 764,..
15,Hungary,9 178,9 446,9 421,9 523,9 359,9 358,11 424,11 531,11 336
16,Ireland,2 384,2 384,2 421,2 421,2 421,2 421,2 421,2 421,2 469
17,Israel,..,..,..,..,..,..,..,1 384,1 462
18,Italy,24 216,24 240,24 277,24 292,24 278,24 286,24 435,24 483,24 502
19,Kazakhstan,15 016,14 892,15 333,14 767,..,14 767,15 530,16 040,16 061
20,Latvia,2 202,2 202,2 161,2 161,2 214,2 217,2 217,2 217,2 217
21,Lithuania,2 184,2 184,2 189,2 189,2 189,2 336,2 336,2 336,2 335
22,Luxembourg,614,614,621,621,621,621,626,622,622
23,Moldova,1 157,1 157,1 157,1 157,1 156,1 151,1 151,1 151,1 150
24,"""Montenegro, Republic of""",..,..,..,..,..,..,328,328,328
25,North Macedonia,926,925,924,923,923,923,907,907,907
26,Norway,4 199,4 191,4 136,4 143,4 152,4 152,4 164,4 208,4 177
27,Poland,37 840,38 053,37 642,36 939,37 455,37 572,37 386,37 195,37 087
28,Portugal,3 532,3 483,3 239,3 242,3 244,3 244,3 244,3 244,3 244
29,Romania,20 482,20 129,20 077,20 284,20 241,20 155,20 157,20 144,20 104
30,Russian Federation,85 292,85 166,85 607,85 266,85 266,86 251,86 364,86 534,86 614
31,"""Serbia, Republic of""",3 809,5 541,..,5 541,5 477,5 392,..,5 374,..
32,Slovak Republic,3 622,3 624,3 631,3 631,3 627,3 626,3 626,3 626,3 627
33,Slovenia,2 187,2 177,2 177,2 178,2 178,2 178,2 178,2 178,2 178
34,Spain,18 967,19 166,19 285,20 861,20 761,21 122,22 080,21 853,21 882
35,Sweden,15 497,15 601,15 633,15 468,15 370,15 424,15 459,15 568,15 571
36,Turkey,11 488,11 536,11 536,11 617,12 053,12 099,12 099,12 175,12 307
37,Ukraine,..,..,21 619,21 605,20 948,20 954,20 952,19 770,19 765
38,United Kingdom,31 324,..,31 764,31 781,31 809,31 883,31 910,31 735,..
39,United States,260 595,..,261 206,260 682,..,258 609,257 722,257 532,256 806
