,Country,2010,2011,2012,2013,2014,2015,2016,2017,2018
0,Austria,588,571,550,537,1 158,..,(E) 425,..,(E) 435
1,Azerbaijan,..,252,264,..,..,..,..,..,713 758
2,Bulgaria,277,432,(P) 392,450,529,706,741,660,..
3,Finland,637,756,764,623,832,824,858,901,944
4,Hungary,..,..,..,..,(M) ..,(M) ..,..,(M) ..,(M) ..
5,Kazakhstan,..,24 257,27 687,29 875,27 778,46 531,31 913,63 341,90 613
6,Latvia,53,112,181,146,127,179,193,188,..
7,North Macedonia,..,..,..,..,..,..,9 159,11 833,9 655
8,Norway,..,..,..,4 250,4 264,4 258,..,..,..
9,Poland,1 072,1 629,1 587,1 711,1 993,2 601,2 852,..,..
