,Country,2010,2011,2012,2013,2014,2015,2016,2017,2018
0,Armenia,..,..,1 615,1 608,1 594,1 596,1 587,1 587,1 587
1,Austria,509,509,509,509,509,509,509,509,509
2,Azerbaijan,3 826,4 853,4 693,..,..,3 829,..,..,3 915
3,Bulgaria,1 765,1 765,1 765,1 765,2 645,2 645,2 645,2 765,2 765
4,Croatia,2 184,2 410,2 410,2 530,2 662,2 693,2 693,2 693,2 693
5,Denmark,..,..,..,1 865,1 866,1 866,1 866,1 802,1 768
6,Estonia,(M) ..,(M) ..,(M) ..,(M) ..,(M) ..,(M) ..,(M) ..,(M) ..,..
7,Finland,1 186,1 197,1 286,1 287,1 287,1 287,1 287,1 193,1 193
8,France,..,..,..,..,32 500,..,..,..,..
9,Greece,..,..,..,1 292,1 459,1 459,1 466,1 464,..
10,Hungary,5 577,5 785,5 784,5 782,5 782,5 873,5 964,5 873,5 873
11,Ireland,13 283,13 445,13 548,13 685,13 755,13 772,13 954,14 172,14 390
12,Italy,31 680,32 010,32 245,32 306,32 339,32 508,..,..,32 625
13,Kazakhstan,..,12 318,12 318,12 318,14 895,15 265,15 256,15 256,15 321
14,Latvia,1 240,1 242,1 242,1 242,1 242,1 193,1 191,1 188,1 213
15,Lithuania,1 900,1 900,1 900,2 007,2 007,2 113,2 113,2 113,2 113
16,Malta,..,..,..,(M) ..,(M) ..,(M) ..,(M) ..,(M) ..,(M) ..
17,Moldova,..,..,..,1 560,1 560,1 560,..,..,..
18,North Macedonia,..,..,..,..,159,160,160,160,164
19,Norway,8 085,8 113,7 141,7 131,7 141,7 141,7 141,7 625,7 625
20,Poland,10 451,10 537,10 717,10 761,11 007,12 420,12 412,11 743,10 743
21,Portugal,1 296,1 298,1 298,1 375,1 375,1 375,1 375,1 375,1 375
22,Romania,13 721,13 109,13 176,13 267,13 372,13 446,13 303,13 350,13 381
23,Russian Federation,167 868,171 347,174 811,175 231,177 341,177 689,179 304,179 818,179 260
24,"""Serbia, Republic of""",1 300,1 420,1 473,1 480,1 480,1 517,1 517,1 482,..
25,Slovak Republic,35 017,35 230,35 230,35 452,35 615,36 633,35 602,35 605,35 690
26,Slovenia,..,..,..,..,..,..,(B) 5 827,1 158,1 174
27,Spain,8 981,9 280,9 680,10 678,10 348,10 348,10 348,10 348,10 348
28,Turkey,11 906,12 528,12 603,12 605,12 874,13 276,13 756,14 666,15 860
29,Ukraine,..,..,40 080,40 107,38 796,38 046,38 030,37 916,37 916
30,United States,3 383 443,3 413 680,3 440 938,3 459 607,3 491 110,3 524 459,3 556 742,3 577 599,3 602 373
