,Country,2010,2011,2012,2013,2014,2015,2016,2017,2018
0,Austria,11 052,9 943,10 714,10 710,10 122,8 599,9 071,9 620,7 202
1,Belarus,6 168,6 711,4 023,4 486,3 758,2 960,2 144,2 019,2 195
2,Belgium,161 595,172 905,190 287,187 404,190 303,188 158,192 935,201 129,204 782
3,Bulgaria,18 372,14 448,16 378,16 726,16 922,17 201,17 467,16 247,15 462
4,Canada,450 030,..,..,..,..,..,..,..,..
5,Croatia,6 928,5 184,5 934,5 823,5 377,6 642,6 409,6 221,5 182
6,Czech Republic,833,911,838,608,802,850,832,510,390
7,Estonia,(M) ..,(M) ..,(M) ..,(M) ..,..,..,..,..,..
8,Finland,303,340,471,485,509,503,412,530,580
9,France,69 244,65 666,65 533,65 827,62 937,60 854,64 216,60 533,57 402
10,Germany,229 607,221 966,223 170,226 864,228 489,221 369,221 349,222 731,197 904
11,Hungary,9 952,7 175,8 135,7 857,7 825,8 163,8 224,8 414,6 926
12,Italy,1 259,1 224,654,762,481,379,407,434,(E) 448
13,Kazakhstan,..,1 082,1 291,1 107,1 321,1 219,1 189,1 649,1 183
14,Lithuania,99,95,89,36,47,68,52,15,13
15,Moldova,127,149,144,..,227,152,136,135,127
16,Netherlands,304 298,344 095,..,356 062,366 627,359 897,365 516,365 697,359 417
17,Poland,2 753,3 044,2 468,3 068,5 731,4 907,3 821,3 412,2 988
18,Romania,32 088,29 396,27 937,26 858,27 834,30 020,30 484,29 043,29 714
19,Russian Federation,101 950,125 867,137 488,130 409,116 067,119 399,234 027,115 803,..
20,"""Serbia, Republic of""",11 902,..,..,..,..,1 537,..,1 448,..
21,Slovak Republic,10 103,8 211,8 242,8 107,7 010,5 721,6 758,6 896,5 567
22,Switzerland,6 518,5 678,7 211,6 830,5 982,6 334,5 897,5 790,4 698
23,Ukraine,..,..,3 066,1 693,1 992,1 967,2 244,2 435,2 458
24,United Kingdom,3 456,3 478,3 659,5 252,4 956,3 575,3 394,3 645,3 149
25,United States,..,..,..,591 600,623 500,589 500,568 200,..,..
