,Country,2010,2011,2012,2013,2014,2015,2016,2017,2018
0,Albania,..,..,..,..,..,..,2 032,1 978,1 718
1,Armenia,..,..,2 602,2 824,3 156,3 399,3 203,3 535,..
2,Austria,35 348,35 129,40 831,38 502,37 957,37 960,38 466,37 402,36 846
3,Azerbaijan,2 721,2 890,2 892,..,..,..,..,..,1 817
4,Belarus,6 363,5 897,5 187,4 730,4 550,4 151,3 654,3 418,3 399
5,Belgium,45 918,47 946,44 259,41 347,41 474,40 300,40 023,38 025,38 455
6,Bosnia-Herzegovina,..,..,..,..,..,..,..,7 397,6 194
7,Bulgaria,6 609,6 639,6 717,7 015,7 018,7 225,7 404,6 888,6 684
8,Canada,125 636,124 199,(P) 124 500,(P) 122 090,(P) 115 491,(P) 118 404,..,..,..
9,Croatia,13 272,13 228,11 773,11 225,10 607,11 038,10 779,10 939,10 450
10,Czech Republic,19 676,20 487,20 504,20 342,21 054,21 561,21 386,21 263,21 889
11,Denmark,..,..,..,2 984,2 880,2 853,2 882,2 789,2 964
12,Estonia,1 347,1 492,1 383,1 383,(E) 1 436,(E) 1 392,1 468,1 406,1 469
13,Finland,6 072,6 408,5 725,5 334,5 324,5 185,4 752,4 432,(P) 4 287
14,France,67 288,65 024,60 437,56 812,58 191,56 603,57 522,58 613,55 766
15,Georgia,5 099,..,..,..,..,..,..,..,..
16,Germany,288 297,306 266,299 637,291 105,302 435,305 659,308 145,302 656,308 721
17,Greece,15 032,13 849,12 398,12 109,11 690,11 440,11 318,10 848,..
18,Hungary,16 308,15 827,15 174,15 691,15 847,16 331,16 627,16 489,16 951
19,Ireland,5 780,5 230,5 610,4 976,8 079,7 840,7 773,(P) 7 778,..
20,Israel,..,..,..,..,..,..,..,12 700,12 557
21,Italy,212 997,205 638,188 228,181 660,177 031,174 539,175 791,174 933,172 344
22,Kazakhstan,..,11 955,14 168,23 359,20 378,18 890,17 974,17 019,15 771
23,Latvia,3 193,3 386,3 358,3 489,3 728,3 692,3 792,3 875,3 975
24,Liechtenstein,103,87,88,91,89,98,96,74,102
25,Lithuania,3 530,3 266,3 391,3 391,3 225,3 033,3 201,3 055,2 926
26,Malta,830,1 199,1 279,1 276,1 445,1 377,1 437,1 497,1 346
27,Moldova,..,..,..,2 605,2 536,2 559,2 641,2 641,2 613
28,"""Montenegro, Republic of""",..,..,..,..,..,..,1 698,1 831,1 855
29,North Macedonia,4 223,4 462,4 108,4 230,3 852,3 854,3 902,4 019,3 740
30,Norway,6 434,6 079,6 154,5 241,4 972,4 563,..,..,..
31,Poland,38 832,40 065,37 046,35 847,34 970,32 967,40 766,39 466,37 359
32,Portugal,35 426,32 541,29 867,30 339,30 604,31 953,32 299,34 416,35 802
33,Romania,9 225,26 648,26 928,24 827,25 355,28 944,30 751,31 106,30 202
34,Russian Federation,199 431,199 868,203 597,204 068,199 723,184 000,173 694,169 432,168 099
35,"""Serbia, Republic of""",14 179,14 123,13 363,13 529,13 068,13 638,14 382,14 691,..
36,Slovak Republic,6 570,5 775,5 370,5 113,5 391,5 502,5 602,5 637,5 691
37,Slovenia,7 560,7 218,6 864,6 542,6 264,6 585,6 495,6 185,6 014
38,Spain,85 503,83 027,83 115,89 519,91 570,97 756,..,102 233,102 299
39,Sweden,16 500,16 119,16 458,14 816,12 933,14 672,14 051,14 849,14 233
40,Switzerland,19 609,18 990,18 148,17 473,17 803,17 736,17 577,17 799,18 033
41,Turkey,97 412,110 803,153 552,161 306,168 512,183 011,185 128,182 669,186 532
42,Ukraine,..,..,30 699,30 681,25 854,25 493,26 782,27 220,..
43,United Kingdom,154 414,151 474,145 571,..,..,..,..,..,..
44,United States,1 572 000,1 560 000,1 665 000,(E) 1 621 000,(E) 1 648 000,(E) 1 747 000,(B) 2 211 000,..,..
