,Country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
0,Albania,630.5,574.5,546.4,461.9,395.4,402.8,376.3,341.2,322.5,373.4,393.6,(B) 299.1,263.6,275.5,..,..,..,..,..,..,..
1,Armenia,..,838.8,701.5,691.1,601.7,503.2,422.4,(E) 373.5,(E) 317.0,(E) 299.3,(E) 332.8,(E) 352.3,(E) 390.2,(E) 367.3,358.9,354.7,368.2,369.2,..,..,..
2,Australia,694.4,747.0,715.1,595.8,513.0,491.7,477.3,413.6,406.9,426.4,372.0,(E) 309.8,(E) 313.7,350.3,397.8,499.6,508.3,..,..,..,..
3,Austria,221.8,228.2,213.5,171.8,151.6,140.8,(B) 148.4,128.1,115.6,107.9,116.6,108.2,109.9,106.5,108.0,126.3,126.0,122.4,111.3,114.4,113.2
4,Azerbaijan,3 035.2,..,..,3 076.9,2 682.0,2 005.1,(B) 2 066.0,(B) 2 365.7,(B) 1 818.8,2 212.1,1 848.1,1 389.7,1 294.3,1 225.7,1 243.0,1 745.8,2 392.7,2 246.2,1 972.3,1 855.5,1 743.2
5,Belarus,8 556.1,7 396.5,6 709.6,6 141.6,5 128.8,4 212.5,3 473.9,2 889.0,2 152.0,2 380.9,2 238.3,2 173.5,2 004.2,1 730.8,1 666.4,2 229.8,2 634.2,2 435.2,2 311.5,2 030.6,2 042.6
6,Belgium,285.6,293.6,272.7,212.7,177.6,161.1,152.2,(E) 129.0,(E) 110.2,104.8,(E) 105.8,(E) 96.5,..,..,..,..,..,..,..,..,..
7,Bosnia-Herzegovina,..,..,..,..,..,..,..,173.4,163.0,153.5,..,146.7,200.9,219.0,239.1,289.4,304.9,299.2,272.1,279.7,245.5
8,Bulgaria,(B) 960.1,962.7,871.1,749.0,(B) 717.6,717.1,609.3,495.4,410.9,444.3,491.2,460.1,541.6,581.0,578.4,745.2,758.3,695.6,489.3,382.7,557.9
9,Canada,..,..,..,..,678.6,602.4,542.2,490.3,454.3,470.4,434.4,(E) 417.3,(E) 438.1,(E) 454.7,(B) 484.6,580.8,..,..,..,..,..
10,China,2 245.2,2 000.4,1 965.3,1 897.0,1 898.3,1 821.0,1 677.6,1 482.0,(B) 1 683.2,1 616.8,1 571.5,1 453.9,1 409.1,1 244.9,1 198.4,1 120.2,1 142.4,1 153.9,1 097.5,1 015.9,..
