,Country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
0,Albania,5 424,5 508,6 188,6 600,6 570,6 998,7 430,7 091,6 478,7 402,7 924,7 998,7 653,8 662,..,..,..,..,..,..,..
1,Argentina,..,..,..,..,..,41 621,45 107,45 175,46 566,47 136,52 788,50 508,50 057,47 956,49 095,51 422,54 904,57 145,..,..,..
2,Armenia,1 484,1 725,1 861,2 000,(E) 2 096,(E) 2 250,(E) 2 464,(E) 2 545,(E) 2 545,..,..,..,..,..,..,..,..,..,..,..,..
3,Australia,268 358,266 577,272 525,279 165,291 223,291 968,288 071,292 169,295 032,294 951,296 763,300 065,303 164,305 942,310 236,316 070,323 696,329 514,331 487,..,..
4,Azerbaijan,9 646,9 979,10 187,10 515,11 068,11 770,12 750,14 001,15 090,16 315,17 550,18 924,20 625,22 489,23 604,24 320,24 877,25 353,25 742,26 494,17 146
5,Belgium,127 155,129 506,132 220,132 995,135 476,136 110,137 597,140 742,141 026,141 487,137 176,138 643,138 903,132 125,(E) 134 954,(B) 132 573,(E) 129 667,..,..,..,..
6,Bulgaria,(B) 18 580,18 697,(B) 19 616,16 522,14 461,14 678,14 461,14 633,14 640,12 217,12 024,11 834,11 109,10 742,11 847,11 783,11 215,10 617,10 067,10 699,6 103
7,Canada,503 548,482 553,494 596,486 433,489 781,514 214,511 553,504 924,..,..,..,..,..,..,..,..,..,..,..,..,..
8,Czech Republic,(E) 80 591,(E) 81 377,(E) 81 555,(E) 83 327,(E) 82 676,(E) 83 915,(E) 86 053,(E) 87 959,(E) 88 552,(E) 88 287,(B) 80 977,(E) 81 471,(E) 80 540,(E) 81 277,(E) 84 067,(E) 87 999,(E) 91 355,(E) 95 002,(E) 99 207,(E) 102 657,(E) 81 045
9,Denmark,69 731,69 107,69 227,69 909,71 526,71 653,72 465,(B) 74 168,74 266,73 603,73 189,73 502,74 059,74 627,73 835,74 352,73 197,..,..,..,..
10,Finland,66 805,67 982,69 318,70 598,71 897,72 928,73 535,75 103,74 992,75 746,76 244,76 912,76 845,76 708,76 934,(B) 77 948,(B) 69 130,(B) 79 071,79 334,79 624,73 720
11,France,829 307,855 098,863 412,863 314,865 890,858 149,860 469,867 887,859 331,858 998,866 108,870 125,(B) 921 728,925 789,937 118,947 085,958 149,971 363,966 807,963 692,(P) 742 229
12,Georgia,4 963,5 165,5 321,5 546,5 814,5 965,6 077,6 189,6 242,6 350,6 539,6 690,6 844,6 978,7 122,7 221,7 490,7 736,7 973,8 222,6 103
13,Germany,975 704,997 054,1 001 866,996 493,(B) 1 024 372,1 016 213,1 024 047,1 026 914,1 033 421,1 041 947,1 046 778,1 057 771,1 061 115,1 069 861,1 086 166,1 100 374,1 121 952,1 072 960,1 076 872,(P) 1 083 247,..
14,Greece,(E) 42 086,(E) 42 880,(E) 43 647,(E) 43 603,(E) 44 265,(E) 44 338,(E) 44 120,(E) 44 507,(E) 43 839,..,..,..,..,..,..,..,..,..,..,..,..
15,Hungary,74 315,74 511,75 233,76 408,78 073,76 518,79 214,79 199,79 277,78 550,76 537,76 316,76 467,76 631,(E) 77 901,(E) 79 830,(E) 82 630,(E) 86 476,(E) 90 376,(E) 93 508,(E) 82 004
16,Iceland,4 250,(E) 4 458,(E) 4 583,(E) 4 711,(E) 4 855,(E) 5 145,(E) 5 455,(E) 5 730,(E) 5 587,(E) 5 647,(E) 5 596,(E) 5 392,(E) 5 454,(E) 5 611,(E) 5 899,(E) 6 296,7 301,7 984,8 235,8 139,..
17,India,2 534 000,2 903 900,3 330 000,3 611 200,4 044 700,4 867 614,5 352 764,6 251 956,7 020 032,8 095 465,9 387 508,10 524 522,11 491 103,12 896 412,14 550 190,16 558 039,(E) 18 645 835,(E) 20 879 333,..,..,..
18,Italy,(B) 854 614,860 028,854 634,854 529,(B) 865 074,828 056,829 489,829 493,828 321,869 742,847 781,814 617,726 939,770 877,795 683,831 065,(B) 859 033,900 829,880 987,891 949,..
19,Japan,(B) 1 335 538,1 339 695,1 337 651,1 339 198,1 332 726,1 324 220,1 313 846,1 324 606,1 310 492,1 292 485,1 270 417,1 262 640,1 296 553,1 304 182,1 290 292,1 307 421,1 323 278,1 342 330,1 359 535,1 356 309,..
20,Kazakhstan,..,..,..,..,..,..,..,124 365,126 980,130 466,148 465,188 326,211 264,233 753,249 579,253 991,264 112,272 832,281 500,295 235,108 284
21,Korea,..,326 676,296 884,289 844,242 932,(B) 255 420,259 865,260 888,363 426,366 276,437 244,426 362,425 279,426 281,436 376,446 415,460 790,471 818,479 553,492 278,..
22,Lithuania,..,..,19 040,22 408,29 382,38 488,43 186,42 698,41 341,38 794,35 290,32 697,36 981,36 237,27 411,27 683,28 611,34 259,33 170,..,..
23,Malta,..,..,..,..,..,..,..,..,..,..,..,..,..,..,(P) 1 940,(P) 1 954,(P) 1 968,(P) 1 982,..,..,..
24,"Montenegro, Republic of",..,349,313,291,231,208,247,251,248,201,172,145,173,182,184,191,198,174,..,..,..
25,Netherlands,(E) 171 953,(E) 172 583,(E) 175 127,(E) 176 200,(E) 181 528,(E) 179 564,(E) 179 519,(E) 182 151,(E) 178 549,..,..,..,..,..,..,..,..,..,..,..,..
26,New Zealand,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,(B) 48 309,50 789,(P) 51 896,..
27,North Macedonia,(E) 6 695,(E) 6 470,(E) 6 689,(E) 6 876,(E) 6 116,(E) 5 816,(E) 5 492,(E) 5 627,(E) 6 148,(E) 6 163,(E) 6 822,(E) 7 675,(E) 7 209,(E) 8 024,(E) 9 323,(E) 9 441,(E) 9 344,(E) 11 558,(E) 11 762,(E) 11 793,..
28,Norway,58 667,59 735,60 601,60 903,61 256,61 062,62 028,63 901,65 210,65 824,(B) 65 852,(E) 66 777,(E) 67 574,(E) 68 484,(E) 70 713,(E) 72 344,(E) 72 946,(E) 74 132,(E) 74 853,(E) 75 494,(E) 67 403
29,Poland,(BE) 213 465,(E) 210 206,(E) 208 624,(E) 212 582,(E) 216 585,(E) 219 622,(E) 223 841,(E) 229 818,(E) 240 538,(E) 245 298,(E) 248 382,(BE) 247 406,(E) 246 569,(E) 247 914,(E) 252 205,(E) 255 517,(E) 269 267,(E) 277 929,(E) 289 429,(E) 302 772,(E) 255 998
30,Portugal,(E) 98 038,(E) 98 908,(E) 99 506,(E) 100 126,(E) 101 442,(E) 101 271,(E) 101 078,(E) 101 709,(E) 100 969,..,..,..,..,..,..,..,..,..,..,..,..
31,Russian Federation,340 650,329 817,323 306,323 368,332 734,314 224,313 549,323 759,327 769,292 767,(B) 279 513,278 309,277 918,264 896,257 380,247 266,249 047,246 538,252 081,255 531,166 794
32,Slovak Republic,35 234,35 114,35 896,35 297,34 442,35 746,35 949,35 896,35 258,33 979,34 330,34 656,(E) 34 694,(E) 34 806,(E) 35 115,(E) 36 210,(E) 37 260,(E) 37 923,(E) 38 614,(E) 38 896,..
33,Slovenia,24 532,24 909,25 375,25 554,26 024,26 348,26 932,28 402,28 858,29 811,29 632,..,..,..,..,..,..,..,..,..,..
34,Spain,(B) 350 407,357 348,383 787,392 264,404 036,412 597,412 411,424 313,427 444,430 581,414 987,412 558,398 052,394 163,(B) 373 245,390 084,404 313,390 855,401 178,404 090,..
35,Sweden,(B) 121 516,123 196,125 218,125 918,126 735,126 646,127 568,130 432,130 306,129 981,129 090,130 672,130 271,130 410,132 785,135 042,(B) 117 043,119 419,120 621,121 109,107 890
36,Switzerland,93 119,94 410,96 150,97 283,98 501,100 081,101 361,103 191,105 403,108 810,111 596,112 871,114 250,115 809,117 730,119 547,122 088,123 969,124 944,127 024,..
37,Turkey,191 513,173 779,168 531,170 189,179 475,187 188,192 870,214 668,211 195,217 838,232 497,249 387,265 235,274 403,283 474,299 060,308 681,323 199,338 301,353 860,297 289
38,United Kingdom,731 572,745 408,767 612,763 581,763 504,760 539,766 804,771 195,770 032,766 522,758 832,762 388,772 212,770 187,789 939,797 445,809 674,824 851,837 688,852 744,..
39,United States,(B) 4 379 857,4 380 926,4 475 071,4 508 171,4 579 245,4 607 674,4 557 374,(B) 5 876 670,(B) 5 686 403,6 015 879,6 021 705,6 079 080,6 155 742,6 198 646,6 218 169,6 429 086,6 547 948,6 591 557,..,..,..
