,Country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
0,Albania,65 308 511,67 409 940,65 448 043,69 982 401,75 367 281,77 486 110,78 183 142,73 610 954,74 143 102,68 876 841,66 101 452,64 862 962,415 929 159,412 190 519,374 261 702,374 906 502,381 391 352,616 210 488,647 745 508,666 055 738,659 021 970
1,Armenia,..,..,..,..,..,..,..,..,24 336 607,53 184 601,44 445 662,264 605 302,23 932 886,11 685 514,12 031 463,11 716 919,5 633 900,..,..,..,..
2,Belarus,..,..,..,..,..,..,..,..,..,..,(E) 4 282 096 733,(E) 5 049 461 740,(E) 4 021 657 954,(E) 4 324 966 079,(E) 4 187 260 959,(E) 3 570 701 357,(E) 2 890 894 250,(E) 3 260 242 618,(E) 3 246 753 247,(E) 4 514 066 496,..
3,Belgium,..,..,..,..,..,..,..,..,..,..,..,..,..,19 687 000 000,20 332 000 000,20 599 000 000,21 535 000 000,21 584 000 000,22 474 000 000,23 124 000 000,..
4,Bulgaria,..,..,525 856 762,531 041 560,527 851 730,1 194 907 455,1 181 102 362,1 150 424 379,1 132 528 888,1 124 348 093,1 132 017 589,1 160 650 373,1 487 370 897,1 574 803 150,1 887 718 581,2 090 193 271,2 195 521 014,2 193 475 816,2 204 213 110,2 196 543 614,2 239 492 791
5,Estonia,55 794 869,70 686 283,83 276 878,90 307 159,105 134 662,119 898 253,131 657 996,146 613 322,154 666 189,166 170 286,167 959 812,210 600 000,221 700 000,(B) 293 900 000,289 500 000,283 100 000,280 800 000,273 000 000,277 987 000,294 945 000,301 000 000
6,Finland,3 368 000 000,3 552 000 000,3 695 000 000,3 949 000 000,4 299 000 000,4 651 000 000,5 010 000 000,5 362 000 000,5 949 000 000,6 036 000 000,6 373 000 000,6 799 000 000,7 261 000 000,7 711 000 000,8 173 000 000,8 362 000 000,8 704 000 000,9 141 000 000,9 609 000 000,9 901 000 000,10 026 000 000
7,France,194 857 287 131,195 588 691 165,196 310 725 025,197 160 507 119,198 142 405 869,199 345 043 991,200 644 947 111,202 119 830 280,203 487 588 308,204 536 743 401,205 413 048 885,206 537 904 970,207 607 273 815,209 135 991 508,210 130 321 043,211 184 631 954,211 814 086 212,212 826 996 468,214 112 849 874,216 130 858 151,(P) 216 899 933 655
8,Germany,..,..,..,227 178 000 000,230 862 000 000,(B) 230 995 000 000,231 712 000 000,231 911 000 000,232 347 000 000,232 587 000 000,233 378 000 000,234 587 000 000,236 208 000 000,(B) 237 376 000 000,239 560 000 000,241 663 000 000,243 198 000 000,245 199 000 000,247 411 000 000,250 212 000 000,253 672 000 000
9,Iceland,(M) ..,(M) ..,(M) ..,(M) ..,(M) ..,(M) ..,(M) ..,(M) ..,(M) ..,(M) ..,(M) ..,(M) ..,(M) ..,(M) ..,(M) ..,(M) ..,(M) ..,(M) ..,(M) ..,(M) ..,(M) ..
10,India,..,..,..,..,..,..,..,..,..,..,..,4 944 379 163,6 075 867 422,5 928 516 619,8 786 181 249,9 634 771 128,10 705 583 848,..,..,..,..
11,Ireland,486 366 856,528 834 828,633 988 006,776 486 737,909 133 901,1 032 953 653,1 142 718 084,1 308 216 245,528 167 115,637 646 487,705 376 107,803 032 431,823 125 000,840 143 288,823 623 000,1 369 229 000,1 295 429 129,1 260 580 677,1 205 533 416,1 188 150 450,1 207 000 000
12,Korea,..,..,..,..,..,..,..,..,..,..,..,..,..,34 545 611 673,36 320 265 061,42 909 858 162,48 872 648 093,51 498 485 711,53 872 256 536,58 386 896 323,..
13,Latvia,225 385 990,230 582 469,235 521 658,252 995 100,288 317 578,356 312 014,444 330 983,568 075 405,681 145 487,640 427 298,651 815 278,701 214 906,829 160 218,902 902 090,1 010 715 440,1 185 696 452,1 168 872 878,1 162 096 685,1 159 000 000,1 184 000 000,..
14,Lithuania,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1 057 000 000,1 058 000 000,1 058 000 000,1 059 000 000,655 000 000,655 000 000
15,Malta,(M) ..,(M) ..,(M) ..,(M) ..,(M) ..,(M) ..,(M) ..,(M) ..,(M) ..,(M) ..,(M) ..,(M) ..,(M) ..,(M) ..,(M) ..,(M) ..,(M) ..,(M) ..,(M) ..,(M) ..,(M) ..
16,New Zealand,..,..,..,..,..,..,..,5 673 484 726,5 586 847 328,5 623 057 323,6 766 281 211,7 243 227 335,6 037 933 273,4 990 239 443,5 076 389 692,5 310 735 884,5 306 622 703,5 502 630 295,5 700 975 509,5 756 039 280,5 879 648 177
17,Norway,4 293 971 924,4 555 529 327,5 024 167 454,4 826 301 644,4 864 845 495,5 318 673 639,5 617 985 907,6 115 011 910,6 475 415 816,6 331 798 185,7 333 624 781,8 181 258 260,9 132 365 728,9 475 343 045,9 972 232 529,10 399 141 103,11 261 958 311,12 389 426 066,13 390 725 580,14 389 575 317,..
18,Sweden,15 838 454 161,15 420 227 535,16 446 009 390,17 722 809 171,18 929 534 247,19 912 716 458,23 331 135 919,25 531 500 957,28 140 461 063,25 529 564 652,29 681 048 298,33 164 850 016,35 244 237 197,36 207 155 656,35 156 042 168,35 464 963 387,37 266 168 813,40 202 866 067,41 308 608 032,41 627 135 935,42 410 922 855
19,United Kingdom,..,..,..,..,..,..,..,..,..,..,..,..,..,328 888 130 005,348 934 151 786,390 235 399 449,356 696 788 375,343 140 052 505,371 625 226 040,378 750 712 413,..
20,United States,311 255 411 255,331 174 631 532,316 964 758 175,270 669 378 371,250 140 754 444,255 623 393 316,260 651 429 482,246 096 600 029,237 998 096 015,252 494 078 806,270 877 298 764,264 927 786 161,294 492 843 808,291 296 491 492,299 518 362 432,371 935 832 733,379 089 101 753,377 136 279 111,(E) 365 213 711 384,..,..
