,Country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
0,Albania,110 421 157,109 000 161,70 095 912,61 524 588,93 169 404,70 617 602,176 588 443,253 972 744,501 577 842,487 110 094,242 449 465,211 073 671,181 381 938,234 855 224,193 433 093,179 805 597,89 140 344,159 039 587,169 584 097,176 958 861,193 777 446
1,Armenia,..,..,..,..,..,..,..,..,74 571 644,137 342 993,79 207 717,56 912 144,50 385 177,34 859 273,78 787 965,90 106 584,96 063 309,..,..,..,..
2,Australia,4 111 727 074,3 628 905 871,4 092 838 444,4 833 286 164,6 297 490 327,8 249 461 118,8 224 156 612,9 988 625 292,11 039 399 976,11 480 824 246,14 812 206 641,18 966 838 074,22 503 132 804,17 709 946 636,14 759 164 861,13 253 348 214,14 427 216 902,17 501 662 020,19 743 498 564,..,..
3,Austria,1 674 000 000,1 711 000 000,(B) 1 724 000 000,1 798 000 000,2 067 000 000,2 024 000 000,2 298 000 000,2 379 000 000,2 561 000 000,2 732 000 000,2 337 000 000,2 448 000 000,2 018 000 000,2 022 000 000,2 030 000 000,2 006 000 000,1 969 000 000,2 070 000 000,2 148 000 000,2 303 500 000,2 553 700 000
4,Azerbaijan,35 096 212,56 354 916,71 817 193,38 714 324,55 655 590,101 876 220,271 981 452,377 615 241,1 339 234 014,1 274 334 703,1 548 502 207,1 564 149 227,1 482 139 333,1 917 466 411,1 415 139 595,874 966 957,499 291 584,558 101 220,698 496 465,844 848 421,757 653 850
5,Belarus,..,..,..,..,..,680 716 151,766 854 991,974 844 935,1 153 352 583,843 846 949,1 146 619 397,1 579 866 162,2 114 171 023,1 827 510 176,1 652 618 417,1 195 701 357,968 166 153,1 141 908 904,1 096 570 097,1 392 369 991,..
6,Belgium,1 313 000 000,1 156 000 000,1 374 000 000,1 297 000 000,1 285 000 000,(B) 1 260 527 538,1 259 448 431,1 164 740 802,1 326 865 787,1 767 314 281,(B) 1 878 467 073,1 695 066 303,2 038 431 630,1 954 786 096,(B) 1 627 978 558,(PB) 2 074 993 900,1 994 083 669,(P) 1 773 396 000,(P) 1 804 000 000,(P) 1 831 000 000,..
7,Bulgaria,..,..,..,..,..,402 904 182,492 381 634,663 155 742,327 743 123,180 488 803,500 562 430,601 799 775,699 969 322,628 898 660,731 158 605,1 141 476 634,316 494 529,207 229 778,978 627 672,652 418 448,697 412 823
8,Canada,4 334 159 860,4 868 392 587,4 436 201 780,4 426 675 095,4 529 375 387,6 074 054 448,7 376 070 777,8 449 860 440,9 368 947 605,11 383 421 650,16 076 106 842,15 935 591 742,15 800 902 864,14 097 486 115,(B) 6 071 242 356,8 280 017 049,7 839 181 234,8 399 805 354,7 512 743 432,(P) 8 909 604 900,..
9,China,26 081 743 199,28 898 877 672,..,..,53 598 472 583,67 252 940 616,84 412 490 822,90 445 369 002,113 048 233 040,181 424 801 877,227 359 436 726,220 055 117 845,290 815 007 234,330 627 426 869,395 289 609 840,526 092 564 151,553 708 819 120,634 080 823 786,655 814 699 587,709 678 627 178,749 209 355 737
10,Croatia,325 188 363,327 658 551,653 734 082,1 153 942 693,1 007 948 362,845 841 045,997 692 801,1 160 245 840,1 228 925 002,1 010 856 388,601 341 803,549 714 992,543 788 973,609 051 326,(B) 410 237 602,298 397 688,241 688 234,259 096 511,385 139 052,483 001 267,568 157 699
