,Country,2010,2011,2012,2013,2014,2015,2016,2017,2018
0,Albania,..,..,..,..,..,..,36 096,31 399,33 663
1,Austria,304 000,302 000,300 000,293 371,286 783,280 889,277 077,275 912,274 394
2,Belgium,..,..,..,..,..,..,..,..,167 389
3,Bosnia-Herzegovina,4 449,4 087,3 831,3 488,2 665,2 533,2 348,2 768,4 787
4,Bulgaria,55 000,58 000,62 000,65 000,68 982,71 885,74 690,77 920,80 813
5,Croatia,115 000,112 000,99 000,97 000,94 000,90 440,87 507,85 121,83 362
6,Czech Republic,478 000,481 000,481 000,(B) 479 864,478 771,485 226,485 045,484 957,484 691
7,Denmark,..,..,..,47 716,45 970,44 624,43 111,41 983,38 404
8,Estonia,130,2 100,12 430,13 904,15 278,16 462,17 579,18 713,19 909
9,Finland,260 000,279 000,293 000,303 000,311 097,317 364,323 854,332 016,337 671
10,Greece,..,..,..,..,..,1 441 208,1 316 351,1 398 351,..
11,Ireland,2 700,2 380,2 240,2 140,2 060,2 020,2 030,1 950,1 940
12,Italy,2 550 000,2 550 000,2 153 000,2 256 000,2 516 612,2 421 947,2 476 819,2 528 419,2 574 005
13,Kazakhstan,..,(M) ..,(M) ..,(M) ..,(M) ..,(M) ..,(M) ..,(M) ..,(M) ..
14,Latvia,19 486,21 238,23 209,25 001,26 615,28 047,29 252,30 666,32 185
15,Liechtenstein,1 320,1 246,1 220,1 090,1 030,1 105,(E) 1 148,(E) 1 199,(E) 1 198
16,Lithuania,17 276,18 775,20 644,21 169,(B) 9 789,11 102,10 929,11 018,11 601
17,Luxembourg,26 300,27 100,28 000,8 527,9 385,9 690,9 768,9 691,8 964
18,Malta,76,62,68,88,142,170,253,288,328
19,Moldova,..,..,..,3 808,4 148,4 393,4 646,4 914,4 872
20,"""Montenegro, Republic of""",..,..,..,..,..,..,..,(M) ..,(M) ..
21,Netherlands,1 028 096,1 061 676,1 085 243,1 101 987,1 124 795,1 150 833,1 178 300,1 211 522,1 230 038
22,Norway,169 000,172 000,175 000,176 087,177 502,178 382,178 382,171 998,163 436
23,Poland,922 000,1 033 000,1 100 000,1 163 441,1 216 578,1 259 187,1 292 200,1 327 872,1 349 912
24,Romania,6 000,6 000,6 000,6 565,6 643,6 679,6 709,6 741,6 783
25,Russian Federation,..,..,19 199,..,..,..,..,..,..
26,"""Serbia, Republic of""",9 000,..,..,..,..,..,..,..,..
27,Slovak Republic,28 300,29 900,31 400,31 800,31 900,31 972,30 861,30 499,30 318
28,Slovenia,42 320,42 300,42 100,41 050,41 165,42 216,42 553,60 797,63 790
29,Spain,2 290 000,2 229 000,2 169 000,2 107 000,2 061 044,2 023 211,1 987 470,1 961 523,1 933 445
30,Sweden,78 348,75 169,73 163,73 176,75 211,75 678,76 704,83 079,85 878
31,Switzerland,(E) 140 000,(E) 143 000,(E) 146 000,(E) 147 000,(E) 153 000,(E) 156 000,(E) 140 000,(E) 135 000,(E) 133 000
32,Turkey,615 734,602 700,591 740,539 914,525 426,521 640,516 025,527 683,568 521
33,United Kingdom,81 000,81 000,79 000,75 000,..,64 000,58 400,53 000,48 849
