,Country,2010,2011,2012,2013,2014,2015,2016,2017,2018
0,Albania,..,..,..,1 000,..,..,(M) ..,(M) ..,(M) ..
1,Austria,1 719,1 719,1 719,1 719,1 719,1 719,1 719,1 743,1 743
2,Azerbaijan,21 688,18 986,18 994,..,..,19 016,19 016,19 016,19 176
3,Belarus,..,..,(M) ..,(M) ..,(M) ..,(M) ..,(M) ..,(M) ..,(M) ..
4,Belgium,1 763,..,..,..,..,..,..,..,..
5,Bosnia-Herzegovina,..,..,..,50,..,..,..,172,198
6,Bulgaria,437,458,541,605,610,734,734,734,757
7,Croatia,1 244,1 254,1 254,1 289,1 290,1 310,1 310,1 310,1 310
8,Czech Republic,734,745,751,776,776,776,1 223,1 240,1 252
9,Denmark,..,..,..,1 216,1 232,1 237,1 255,1 308,1 329
10,Estonia,115,115,124,140,141,147,145,154,154
11,Finland,779,790,780,810,881,881,890,893,926
12,France,11 392,11 413,11 413,11 552,11 560,11 599,11 612,11 618,11 671
13,Georgia,..,..,18 945,19 380,19 429,..,20 727,..,..
14,Germany,12 819,12 845,12 879,12 917,12 949,12 993,12 996,13 009,13 141
15,Hungary,1 477,1 516,1 515,1 767,1 782,1 884,1 924,1 937,1 982
16,Ireland,900,900,900,897,897,916,916,916,916
17,Israel,..,..,..,..,..,..,..,605,622
18,Italy,6 668,6 668,6 726,6 751,6 844,6 943,6 943,6 943,..
19,Kazakhstan,..,97 155,97 418,96 873,96 421,96 529,96 353,95 410,96 246
20,Latvia,0,0,0,0,0,0,0,0,0
21,Liechtenstein,(M) ..,(M) ..,(M) ..,0,0,0,0,0,0
22,Lithuania,309,309,309,309,309,309,314,324,324
23,Luxembourg,152,152,152,152,152,161,161,165,165
24,Malta,..,..,..,(M) ..,(M) ..,(M) ..,(M) ..,..,(M) ..
25,"""Montenegro, Republic of""",..,..,..,..,..,..,(M) ..,(M) ..,(M) ..
26,Netherlands,2 646,2 651,2 658,2 666,2 678,2 730,2 756,2 758,2 756
27,North Macedonia,251,259,259,259,259,259,259,259,287
28,Norway,381,393,392,..,..,..,..,523,599
29,Poland,857,1 070,1 365,1 482,1 556,1 559,1 637,1 637,1 637
30,Portugal,2 737,2 737,2 988,3 035,3 065,3 065,3 065,3 065,3 065
31,Romania,332,350,550,644,683,747,747,763,823
32,Russian Federation,637,575,495,475,513,647,1 105,1 089,1 293
33,"""Serbia, Republic of""",495,595,607,607,607,693,741,963,..
34,Slovak Republic,416,419,419,420,420,463,463,482,482
35,Slovenia,607,607,607,607,607,610,610,618,623
36,Spain,14 262,14 531,14 701,14 981,15 049,15 336,15 444,15 523,15 585
37,Sweden,1 971,1 957,2 004,2 044,2 088,2 119,2 118,2 132,2 132
38,Switzerland,1 406,1 415,1 419,1 419,1 429,1 440,1 447,1 458,1 462
39,Turkey,2 080,2 119,2 127,2 244,2 278,2 282,2 542,2 657,2 842
40,Ukraine,..,..,169 694,169 649,169 646,169 644,169 652,169 743,164 000
41,United Kingdom,(E) 3 672,3 686,(E) 3 733,(E) 3 756,(E) 3 760,(E) 3 768,(E) 3 764,(E) 3 803,..
42,United States,99 543,101 410,102 438,103 029,104 467,106 279,107 544,108 394,..
