,Country,2010,2011,2012,2013,2014,2015,2016,2017,2018
0,Albania,..,..,..,..,..,..,199,198,330
1,Austria,157 571,151 931,153 866,153 638,151 048,153 396,162 133,165 077,171 694
2,Azerbaijan,330 706,320 393,327 442,..,..,..,..,..,..
3,Belarus,..,..,73 247,71 097,70 499,65 701,65 117,68 438,72 503
4,Bosnia-Herzegovina,5 543,5 694,5 657,4 827,4 825,4 931,..,4 625,5 380
5,Bulgaria,31 240,31 451,32 332,33 671,..,..,..,..,..
6,Croatia,25 774,24 776,23 710,21 859,20 076,19 716,19 764,21 014,20 103
7,Czech Republic,153 792,153 704,162 821,157 003,155 602,157 416,160 406,163 696,169 196
8,Denmark,..,..,..,70 652,69 796,68 680,68 819,66 927,65 697
9,Estonia,7 426,7 370,6 989,6 618,7 991,7 952,8 752,8 076,7 228
10,Finland,51 000,51 070,50 890,50 461,49 670,48 554,46 828,48 098,50 513
11,France,457 643,477 209,473 904,473 312,452 886,460 005,444 822,458 288,426 787
12,Germany,1 051 036,984 000,1 024 000,1 025 000,1 056 000,1 043 713,1 012 791,1 078 764,1 096 502
13,Greece,..,12 282,11 695,11 190,11 495,10 837,10 040,10 410,..
14,Hungary,100 586,102 323,103 034,97 961,417 380,164 820,136 438,125 413,131 980
15,Ireland,21 335,21 066,20 704,22 343,22 343,18 203,17 688,17 877,17 538
16,Italy,301 816,275 547,259 294,..,..,..,375 175,377 637,388 127
17,Kazakhstan,107 607,114 236,121 783,169 097,165 199,149 045,148 580,158 589,168 525
18,Latvia,16 625,18 471,18 851,17 575,17 654,17 164,15 294,14 522,15 651
19,Lithuania,14 594,15 555,14 859,14 145,14 296,14 137,14 462,15 346,16 294
20,Moldova,774 884,883 160,703 331,896 110,844 890,710 057,715 554,890 820,897 180
21,"""Montenegro, Republic of""",..,..,..,..,..,..,1 506,1 569,1 677
22,Netherlands,139 685,..,..,144 048,145 946,149 365,152 048,154 227,157 775
23,North Macedonia,2 790,2 517,2 292,2 207,2 222,2 172,1 962,1 142,1 877
24,Norway,42 505,43 293,43 613,45 798,46 165,48 563,48 372,49 100,49 168
25,Poland,219 704,220 763,235 053,202 911,196 769,209 138,225 832,286 941,243 816
26,Portugal,..,..,..,..,..,37 142,36 675,37 073,37 073
27,Romania,86 271,92 556,90 124,82 431,77 802,79 941,80 828,81 100,77 292
28,Russian Federation,..,..,..,1 557 022,1 571 721,1 574 547,1 535 301,1 592 092,1 636 610
29,"""Serbia, Republic of""",22 995,..,..,17 478,..,22 175,16 033,21 641,..
30,Slovak Republic,44 029,42 711,43 868,43 251,43 317,45 989,46 675,45 253,47 238
31,Slovenia,19 412,19 880,18 974,18 815,18 291,18 617,19 359,19 767,19 063
32,Spain,206 023,212 021,211 838,211 205,212 970,212 005,208 722,214 855,212 516
33,Sweden,140 412,147 191,145 731,151 185,152 984,152 880,157 723,160 384,165 095
34,Switzerland,210 546,209 954,211 482,215 506,220 327,222 651,227 355,226 135,226 065
35,Turkey,39 025,40 332,35 332,28 945,43 005,41 873,42 481,42 619,52 740
36,Ukraine,..,..,266 420,255 505,225 837,204 807,175 462,208 491,205 551
37,United Kingdom,550 932,..,..,542 981,546 065,568 208,565 660,566 687,..
38,United States,986 794,1 011 718,1 031 898,1 051 155,1 076 113,1 034 103,1 109 910,1 135 771,1 143 716
