,Country,2010,2011,2012,2013,2014,2015,2016,2017,2018
0,Austria,32 393,32 876,31 772,39 262,38 620,39 243,40 541,39 941,39 448
1,Azerbaijan,49 982,45 602,43 316,..,..,49 895,48 258,..,45 241
2,Belarus,91 157,91 333,85 734,78 925,78 504,81 186,77 844,75 493,75 145
3,Bulgaria,8 340,10 237,12 480,11 891,11 315,12 431,12 986,13 240,11 213
4,Canada,..,852 322 498,931 553 301,960 590 510,1 043 155 456,856 913 189,..,..,..
5,Croatia,6 411,5 319,4 457,5 397,4 971,6 207,6 897,7 747,8 551
6,Czech Republic,11 205,10 404,11 392,10 266,12 029,11 040,7 356,13 453,13 839
7,Denmark,..,..,..,8 050,7 081,6 637,5 956,6 806,6 063
8,France,71 254,..,..,..,..,..,..,..,57 378
9,Georgia,38 000 000,..,..,..,..,..,..,..,..
10,Germany,88 842,86 572,87 898,87 332,87 728,90 661,92 208,90 932,(E) 84 481
11,Greece,..,..,..,301,349,423,468,503,..
12,Hungary,13 942,13 860,12 566,12 652,12 960,11 581,11 042,12 462,13 200
13,Italy,126 184,116 720,114 419,114 533,113 497,110 369,112 031,114 124,(E) 115 685
14,Kazakhstan,..,114 109,113 548,122 599,125 382,123 999,122 891,142 958,178 553
15,Latvia,5 635,5 791,6 308,5 466,5 694,4 718,3 617,3 387,2 664
16,Lithuania,14 653,14 724,14 827,14 433,13 026,13 397,12 930,13 209,12 326
17,North Macedonia,857,684,258,..,..,..,..,..,..
18,Norway,39 600,38 900,35 000,32 100,32 500,34 500,36 300,39 300,35 400
19,Poland,56 208,54 482,52 985,50 656,49 810,54 850,54 058,52 393,55 287
20,Portugal,2 596,2 466,2 439,2 375,2 517,2 651,2 657,2 813,2 987
21,Romania,6 551,6 020,5 771,5 625,6 365,6 663,6 825,6 551,6 459
22,Russian Federation,524 893,575 771,555 387,557 704,566 141,577 970,578 617,589 480,602 850
23,"""Serbia, Republic of""",3 170,2 803,2 854,3 445,3 207,3 442,3 646,3 833,..
24,Slovak Republic,..,9 920,8 418,9 788,8 945,9 932,9 171,9 582,9 460
25,Spain,27 755,27 544,26 431,26 169,27 627,31 031,31 004,32 178,32 060
26,Switzerland,5 143,5 180,4 226,5 585,5 618,3 667,3 823,3 758,3 924
27,Turkey,27 041,29 805,26 153,20 668,15 386,35 343,35 906,35 998,28 271
28,Ukraine,..,..,17 218,17 604,16 860,16 760,15 228,..,..
29,United Kingdom,149 280,150 333,147 595,..,..,..,..,..,..
30,United States,..,..,(E) 982 791,(E) 1 014 568,(E) 1 057 352,(E) 1 081 087,(E) 1 138 232,(E) 1 195 189,..
