,Country,2010,2011,2012,2013,2014,2015,2016,2017,2018
0,Albania,..,..,..,..,..,..,89,66,76
1,Armenia,..,..,551,415,375,346,352,367,..
2,Austria,242 092,243 981,262 879,274 327,278 251,282 379,288 792,290 583,309 534
3,Azerbaijan,4 803,3 451,2 668,2 508,..,1 883,1 978,..,2 841
4,Belarus,..,..,100 487,99 435,91 594,87 128,81 795,80 549,79 857
5,Bosnia-Herzegovina,898,821,846,627,528,512,409,472,549
6,Bulgaria,30 102,29 308,26 523,26 072,24 627,22 526,21 434,21 203,21 338
7,Canada,..,4 461,4 246,4 146,4 094,4 171,4 241,4 673,..
8,Croatia,69 564,49 983,27 669,24 265,21 926,21 683,20 742,19 832,20 271
9,Czech Republic,164 802,167 932,172 801,174 486,176 050,176 624,179 172,183 024,189 536
10,Denmark,..,..,..,193 211,195 374,199 331,199 117,194 612,193 122
11,Estonia,4 799,4 758,4 411,4 200,5 905,6 659,6 926,7 433,7 759
12,Finland,68 950,68 376,69 331,69 318,68 262,75 952,82 115,85 703,87 502
13,France,1 084 774,1 125 288,1 150 295,1 164 822,1 157 679,1 204 201,1 236 523,1 277 479,1 246 804
14,Georgia,3 200,..,3 100,3 000,2 700,2 400,2 500,..,..
15,Germany,2 369 019,2 512 521,2 550 000,2 611 600,2 692 400,2 706 900,2 793 330,2 831 444,2 880 871
16,Greece,..,13 305,12 658,13 195,13 399,16 040,15 582,15 359,..
17,Hungary,140 519,145 669,147 803,148 494,146 127,144 397,146 583,147 428,147 986
18,Ireland,38 070,37 222,66 226,67 251,70 416,74 257,76 842,83 150,89 797
19,Israel,..,..,..,..,..,..,..,64 603,67 696
20,Italy,622 283,522 948,(B) 815 594,814 517,821 721,829 494,869 299,864 570,882 243
21,Kazakhstan,19 561,20 513,24 353,28 580,23 229,22 498,23 073,22 914,23 091
22,Latvia,20 804,20 447,19 707,19 730,19 190,17 065,17 228,17 494,18 242
23,Lithuania,3 795,4 127,4 251,4 346,4 126,3 790,3 916,4 176,4 666
24,Luxembourg,17 995,18 200,19 834,20 714,21 503,22 496,22 459,22 930,23 331
25,Moldova,4 964,4 711,4 341,4 092,3 838,3 268,2 258,1 814,1 710
26,"""Montenegro, Republic of""",..,..,..,..,..,..,1 285,927,992
27,Netherlands,..,..,..,378 712,350 767,361 392,367 079,390 569,389 776
28,North Macedonia,1 512,1 421,1 013,853,803,1 022,663,500,540
29,Norway,58 437,59 385,62 689,67 251,70 340,73 836,74 293,73 561,77 740
30,Poland,261 314,263 609,273 182,269 815,268 204,277 321,291 981,303 001,309 722
31,Portugal,153 010,149 060,132 212,126 079,128 295,130 421,133 890,141 876,147 408
32,Romania,64 272,61 000,57 562,57 433,64 760,66 482,64 456,69 057,66 500
33,Russian Federation,946 510,993 144,1 058 799,1 079 565,1 070 325,1 024 661,1 039 694,1 121 281,1 160 426
34,"""Serbia, Republic of""",5 270,..,..,7 158,..,6 258,..,5 638,..
35,Slovak Republic,46 583,47 531,44 698,46 064,49 272,60 566,69 525,75 370,77 753
36,Slovenia,16 220,15 743,15 512,16 420,14 837,14 558,14 008,13 422,13 554
37,Spain,..,..,463 674,..,..,..,..,..,..
38,Sweden,179 000,187 000,193 163,200 706,207 280,214 434,220 945,229 816,246 490
39,Switzerland,493 777,513 402,515 455,541 910,568 539,587 752,607 328,612 680,611 331
40,Turkey,84 173,85 752,70 284,46 441,78 404,95 317,89 038,85 338,100 568
41,Ukraine,..,..,..,425 217,389 306,389 794,389 058,164 942,157 962
42,United Kingdom,1 366 485,..,..,1 599 484,1 679 746,1 722 081,1 772 563,1 757 359,..
43,United States,637 806,654 156,663 286,675 181,694 624,699 528,703 101,691 301,676 176
