,Country,2010,2011,2012,2013,2014,2015,2016,2017,2018
0,Armenia,..,..,2 611,2 599,2 536,2 396,2 437,2 403,..
1,Austria,..,..,85 369,86 132,88 690,90 630,93 090,94 757,..
2,Azerbaijan,..,3 936,4 026,..,..,..,..,..,25 276
3,Belarus,..,11 982,12 074,12 628,11 808,11 185,11 775,12 082,12 400
4,Belgium,131 170,128 922,135 070,(P) 132 615,..,..,..,..,..
5,Bulgaria,9 633,9 481,8 950,8 667,9 920,10 018,9 549,8 917,8 018
6,Croatia,3 284,(E) 29 455,(E) 30 586,30 859,30 962,31 171,31 455,31 862,30 962
7,Czech Republic,79 944,80 304,78 719,79 382,..,84 829,87 257,(E) 90 049,(E) 94 193
8,Denmark,..,..,..,66 794,68 140,70 962,73 393,74 468,74 934
9,Finland,73 185,73 446,73 971,73 816,74 221,74 996,(B) 66 422,76 002,75 961
10,France,860 672,863 752,866 611,782 398,790 856,795 331,813 199,815 421,829 514
11,Georgia,5 885,..,6 219,6 393,6 572,..,6 945,..,..
12,Germany,980 533,990 374,990 582,998 566,1 013 748,1 027 500,1 048 003,1 015 350,1 013 700
13,Italy,(E) 849 192,(E) 816 570,(E) 728 482,(E) 770 590,787 387,820 184,847 244,885 458,858 092
14,Kazakhstan,..,164 201,184 825,205 191,217 145,222 820,237 556,240 587,247 931
15,Latvia,15 012,14 170,14 277,14 466,15 346,16 190,16 479,17 509,17 813
16,Lithuania,35 624,32 918,37 257,36 451,27 486,27 781,28 674,34 392,33 200
17,Moldova,2 817,3 086,3 218,3 080,3 150,3 348,3 529,3 708,4 047
18,Netherlands,..,..,..,199 500,..,..,..,194 200,..
19,North Macedonia,1 440,1 640,1 403,8 024,9 323,9 263,9 261,9 261,9 718
20,Norway,64 700,66 055,65 934,66 729,68 786,..,..,..,..
21,Poland,233 614,(E) 232 808,(E) 232 456,(E) 235 205,(E) 240 068,(E) 243 346,(E) 254 262,..,..
22,Romania,11 955,15 529,16 901,17 082,18 339,17 471,..,..,..
23,"""Serbia, Republic of""",9 912,..,..,..,..,..,..,..,..
24,Slovak Republic,5 372,5 419,5 212,5 115,5 304,5 804,5 987,5 356,5 304
25,Slovenia,28 819,..,..,..,..,..,..,(E) 10 955,..
26,Spain,395 332,391 711,377 544,370 310,350 393,366 092,..,..,..
27,Sweden,108 685,..,..,..,..,..,..,..,..
28,Turkey,226 913,242 265,258 874,268 168,276 073,290 734,300 852,314 734,329 363
29,Ukraine,..,..,59 309,56 641,49 002,40 679,40 452,41 527,40 365
30,United Kingdom,..,..,694 319,686 843,698 779,699 338,706 769,..,..
31,United States,6 830 309,6 808 321,..,..,..,..,..,..,..
