,Country,2010,2011,2012,2013,2014,2015,2016,2017,2018
0,Austria,1 214,1 214,1 214,1 214,1 214,1 214,1 214,1 214,1 214
1,Azerbaijan,1 673,1 673,1 677,..,..,1 526,..,..,1 523
2,Belarus,3 779,3 733,3 734,3 734,3 755,3 737,3 738,3 827,4 030
3,Bulgaria,578,578,570,570,570,570,570,571,571
4,Croatia,610,610,610,610,610,610,610,610,610
5,Czech Republic,674,674,674,674,674,642,642,642,642
6,Denmark,..,..,..,330,330,330,330,330,330
7,France,9 195,..,..,..,6 400,..,..,..,..
8,Georgia,1 768,..,..,..,..,..,..,..,..
9,Germany,2 370,2 370,2 370,2 370,2 370,2 370,2 370,2 370,2 370
10,Greece,116,..,..,53,53,53,53,53,..
11,Hungary,2 209,2 215,2 215,2 217,2 215,2 215,2 215,2 236,2 236
12,Italy,4 291,4 290,4 290,4 303,4 308,4 022,4 012,4 016,4 018
13,Kazakhstan,..,7 912,7 920,7 720,8 301,8 011,8 015,8 013,8 013
14,Latvia,860,860,860,417,417,417,417,414,417
15,Lithuania,500,500,500,500,500,500,500,500,500
16,North Macedonia,144,144,144,144,144,144,144,144,144
17,Norway,1 244,1 244,1 245,1 245,1 245,1 245,1 288,1 288,1 288
18,Poland,2 362,2 444,2 444,2 444,2 483,2 483,2 483,2 483,2 483
19,Portugal,147,147,147,147,147,147,147,147,147
20,Romania,3 346,3 346,2 951,2 951,3 048,3 048,3 047,3 112,3 112
21,Russian Federation,65 113,70 546,74 512,74 739,74 151,74 075,70 836,70 703,70 492
22,"""Serbia, Republic of""",374,279,279,279,279,370,370,279,..
23,Slovak Republic,..,506,506,506,506,506,506,506,506
24,Spain,4 365,4 722,4 743,4 735,4 735,4 736,4 736,4 736,4 723
25,Switzerland,109,109,109,109,109,109,109,109,109
26,Turkey,3 038,3 038,3 038,3 053,3 053,3 053,3 053,3 053,3 060
27,Ukraine,..,..,4 767,4 767,4 767,4 767,4 767,4 767,4 767
28,United Kingdom,4 446,4 446,4 446,..,..,..,..,..,..
29,United States,292 878,295 443,299 693,309 657,321 536,335 738,341 349,347 404,351 460
