,Country,2010,2011,2012,2013,2014,2015,2016,2017,2018
0,Albania,..,..,..,..,..,..,1,1,1
1,Armenia,..,..,1,1,1,1,1,1,..
2,Austria,23,(B) 37,39,40,40,43,39,43,44
3,Azerbaijan,1,1,1,..,..,1,..,..,1
4,Belarus,..,..,1,1,1,1,1,1,1
5,Bosnia-Herzegovina,2,2,2,2,2,2,2,2,2
6,Bulgaria,5,5,5,7,9,8,9,9,..
7,Canada,40,..,..,..,..,..,..,..,..
8,Croatia,5,5,3,3,3,3,7,8,9
9,Czech Republic,24,28,30,32,34,43,47,47,49
10,Estonia,9,9,7,11,8,8,8,8,8
11,Finland,2,2,2,2,3,2,3,3,3
12,France,36,39,52,51,58,59,64,64,..
13,Georgia,..,..,2,2,..,..,3,..,..
14,Germany,125,..,332,329,400,..,..,..,..
15,Greece,..,..,3,3,3,3,3,3,..
16,Hungary,16,..,47,52,52,52,52,52,52
17,Ireland,1,1,2,2,2,2,2,2,2
18,Israel,..,..,..,..,..,..,..,1,1
19,Italy,..,..,..,..,..,..,..,52,..
20,Kazakhstan,..,11,11,11,9,10,11,14,14
21,Latvia,15,14,24,26,32,31,36,38,..
22,Lithuania,1,1,1,1,1,1,1,1,1
23,Luxembourg,2,2,2,..,..,..,..,..,..
24,Moldova,1,1,1,1,1,1,1,1,1
25,"""Montenegro, Republic of""",..,..,..,..,..,..,3,3,3
26,North Macedonia,2,2,2,2,2,2,2,2,2
27,Norway,16,15,16,16,15,15,14,13,13
28,Poland,48,57,58,69,69,72,75,79,78
29,Portugal,5,5,5,5,5,5,5,5,5
30,Russian Federation,..,..,782 258,..,..,..,..,..,..
31,"""Serbia, Republic of""",1,..,..,1,..,4,..,4,..
32,Slovak Republic,16,14,14,17,16,16,16,16,20
33,Slovenia,1,1,1,1,1,1,1,1,1
34,Spain,15,19,18,18,18,18,18,18,18
35,Sweden,29,33,33,30,31,31,30,28,30
36,Switzerland,62,63,66,71,61,63,64,67,66
37,Turkey,1,1,1,1,1,1,2,2,..
38,United Kingdom,..,..,..,39,38,37,39,38,..
39,United States,565,..,574,(M) ..,..,..,..,(P) 613,..
