,Country,2010,2011,2012,2013,2014,2015,2016,2017,2018
0,Belarus,..,..,1,1,1,1,1,1,1
1,Belgium,1 065,1 022,972,922,874,..,..,..,..
2,Bulgaria,28,29,27,24,31,27,29,34,34
3,Croatia,13,13,12,13,17,19,23,22,19
4,Czech Republic,46,44,40,32,33,30,30,33,39
5,Estonia,(E) 7,8,(E) 8,(E) 9,..,..,..,..,..
6,Finland,153,153,152,151,194,197,194,185,189
7,France,890,900,905,876,851,804,744,752,704
8,Germany,1 336,1 331,1 292,1 253,1 204,1 168,1 176,1 157,1 187
9,Hungary,80,77,72,72,71,70,68,70,70
10,Italy,47,109,113,58,66,67,63,59,..
11,Kazakhstan,..,12,10,12,12,8,9,9,9
12,Lithuania,35,31,33,33,36,35,35,30,27
13,Moldova,..,..,..,..,2,2,2,2,2
14,Netherlands,..,..,..,5 661,5 484,5 357,5 136,3 265,5 010
15,Poland,79,67,71,(E) 71,79,89,91,89,89
16,Romania,97,107,103,120,128,154,157,164,161
17,Russian Federation,2 437,2 310,1 574,1 443,1 642,1 520,1 502,1 500,1 449
18,"""Serbia, Republic of""",67,..,..,..,..,72,77,62,..
19,Slovak Republic,30,31,20,31,23,23,10,10,9
20,Switzerland,15,15,15,14,13,13,12,10,10
21,Ukraine,..,..,2 040,2 040,1 261,1 321,1 312,1 401,1 222
22,United Kingdom,158,158,158,158,(E) 158,(E) 158,158,(E) 158,(E) 158
23,United States,..,..,1 595,..,..,..,..,..,..
