,Country,2010,2011,2012,2013,2014,2015,2016,2017,2018
0,Armenia,..,..,1 782,1 710,1 706,1 646,1 606,..,..
1,Austria,28 406,31 710,29 921,34 415,30 187,32 337,33 201,36 351,34 813
2,Azerbaijan,12 476,13 451,13 854,..,..,15 251,..,..,16 911
3,Bulgaria,10 109,12 158,11 923,12 665,11 980,11 326,12 155,13 475,11 951
4,Croatia,2 525,2 453,2 421,2 220,1 947,1 955,2 073,2 445,2 238
5,Denmark,..,..,..,3 568,3 442,3 553,3 470,3 645,3 016
6,Estonia,..,(M) ..,(M) ..,(M) ..,(M) ..,(M) ..,(M) ..,(M) ..,..
7,Finland,3 256,2 854,2 555,2 431,2 139,1 905,1 752,1 643,1 803
8,Greece,..,..,..,3 075,2 354,2 528,3 299,3 968,..
9,Hungary,10 467,17 189,16 574,16 295,16 479,15 084,18 617,25 566,26 033
10,Ireland,60 904,52 394,51 970,49 933,48 046,48 009,57 356,56 938,58 567
11,Italy,..,..,..,..,62,67,70,74,72
12,Kazakhstan,..,99 970,99 674,103 317,99 637,90 644,82 937,89 849,102 863
13,Latvia,3 356 500,3 420 700,3 480 500,3 135 800,3 002 300,2 625 172,2 363 811,1 792 708,1 036 686
14,Lithuania,2 994,3 775,3 732,3 305,3 234,3 211,3 044,3 505,3 446
15,Malta,..,..,..,(M) ..,(M) ..,(M) ..,(M) ..,(M) ..,(M) ..
16,North Macedonia,..,..,..,..,93,94,150,192,177
17,Norway,155 100,145 500,161 612,153 600,151 400,158 255,160 600,177 100,..
18,Romania,6 551,..,..,..,..,..,..,..,(M) ..
19,Russian Federation,536 572,555 143,541 054,537 499,511 972,493 013,509 368,548 762,566 439
20,"""Serbia, Republic of""",1 907,2 063,1 988,..,1 819,1 849,1 976,2 250,..
21,Slovak Republic,71 408,73 139,56 464,57 535,49 991,54 877,59 607,64 217,64 440
22,Spain,27 563,25 642,24 948,22 935,20 739,21 684,22 111,24 136,24 027
23,Turkey,39 620,45 366,47 419,46 830,50 554,50 149,48 410,55 975,51 138
24,Ukraine,..,..,..,105 723,80 409,78 107,89 296,96 914,91 690
