,Country,2010,2011,2012,2013,2014,2015,2016,2017,2018
0,Austria,75 957,77 258,77 178,78 107,80 604,82 622,85 014,86 854,..
1,Azerbaijan,..,17 906,18 113,..,..,..,..,..,..
2,Belgium,98 680,99 660,99 980,102 420,98 800,99 910,..,..,..
3,Bulgaria,1 468,1 434,1 411,1 522,1 400,1 432,1 450,1 450,1 427
4,Croatia,20 971,20 609,20 317,20 216,20 440,21 195,21 920,22 750,23 440
5,Czech Republic,46 381,47 541,46 875,47 156,48 335,50 934,52 775,54 558,56 401
6,Estonia,(E) 8 355,(E) 8 467,8 877,(E) 9 112,(E) 9 472,(E) 9 976,(E) 10 387,(E) 10 811,(E) 11 197
7,Finland,54 715,55 360,55 396,55 331,55 741,56 306,(B) 51 522,51 386,51 597
8,France,560 429,564 963,563 711,567 829,572 394,584 914,599 640,606 042,606 297
9,Hungary,..,36 742,36 062,36 056,36 771,38 581,40 451,(E) 43 016,(E) 44 796
10,Ireland,..,41 681,38 505,39 626,42 738,44 835,46 836,47 795,47 545
11,Italy,..,82 357,76 425,75 122,76 574,79 384,82 024,83 819,84 127
12,Kazakhstan,..,..,..,..,..,(M) ..,(M) ..,(M) ..,(M) ..
13,Lithuania,10 014,10 149,10 196,10 344,10 859,11 134,11 687,12 136,12 483
14,"""Montenegro, Republic of""",..,..,..,..,..,..,(E) 2 393,(E) 2 523,..
15,Netherlands,130 192,(P) 130 550,(P) 130 159,127 233,127 680,129 597,133 093,..,141 841
16,North Macedonia,760,802,810,3 812,4 274,4 421,4 534,4 833,4 800
17,Norway,(E) 43 847,(E) 44 208,(E) 45 292,(E) 45 285,(E) 45 140,(E) 45 715,(E) 46 107,(E) 46 791,(E) 47 506
18,Poland,199 303,207 601,(E) 207 634,212 168,(E) 217 671,(E) 222 106,..,..,..
19,Romania,41 228,42 867,44 571,47 322,49 662,52 173,53 694,55 268,56 899
20,Slovenia,17 826,..,..,..,..,(P) 20 674,20 605,(P) 21 437,..
21,Spain,241 131,234 678,224 285,220 377,222 689,230 840,239 353,244 661,250 192
22,Sweden,76 836,(B) 77 789,77 274,77 761,79 221,80 736,82 602,83 896,84 433
23,Switzerland,60 036,60 868,62 032,63 130,64 216,65 351,66 658,67 822,68 616
24,Turkey,80 124,85 495,93 989,99 431,102 988,113 274,119 671,127 997,..
25,United Kingdom,495 917,488 882,487 052,..,501 511,509 709,519 728,526 423,..
26,United States,4 774 110,4 748 200,4 777 833,4 809 227,4 869 321,4 981 519,5 108 714,5 169 772,5 214 800
